orientation,dist,peak_score
++,203375.0,1.1607677896061295
++,207931.0,1.2397603885509425
++,210706.5,1.227661659011696
++,214454.0,1.2078057750295534
++,219513.5,1.1570203250446083
++,226343.5,1.220656857716643
++,235563.5,1.2243582874509884
++,248011.0,1.0991798721653308
++,264815.0,1.143926984573008
++,287500.0,1.1184025089928078
++,318125.5,1.1667832110921497
++,359469.5,1.1018371090427672
++,415284.0,1.1123197107676892
++,490634.0,1.077341049578914
++,592356.0,1.0301110516192702
++,729680.5,1.0005721669583252
++,915069.0,1.0038073835948953
++,1165343.5,1.0036674428121701
++,1503213.5,0.995475704429019
++,1959338.0,0.9934050357848971
++,2575106.5,0.9944915895927859
++,3406394.5,1.0007012946996137
++,4528633.0,0.996594548809175
++,6043654.5,0.9970727901942512
+-,203375.0,1.415644504308029
+-,207931.0,1.3571600455079835
+-,210706.5,1.5658237078309205
+-,214454.0,1.3280480671798216
+-,219513.5,1.644462078171828
+-,226343.5,1.5648381045582467
+-,235563.5,1.3006492944384327
+-,248011.0,1.3879647524915928
+-,264815.0,1.3602863712756703
+-,287500.0,1.3400232494406383
+-,318125.5,1.2984276538606958
+-,359469.5,1.285178502707219
+-,415284.0,1.2613532010161446
+-,490634.0,1.1847504866353413
+-,592356.0,1.1082004395509597
+-,729680.5,1.060223864057346
+-,915069.0,1.0278152196413648
+-,1165343.5,1.0171689892962503
+-,1503213.5,1.0010056019359295
+-,1959338.0,0.9998155596613599
+-,2575106.5,0.997020319382627
+-,3406394.5,0.996164143869199
+-,4528633.0,0.9984298478529561
+-,6043654.5,0.997797199803962
-+,203375.0,1.0522990511781205
-+,207931.0,1.0510768089270104
-+,210706.5,1.1285268910001955
-+,214454.0,1.0083837929392863
-+,219513.5,1.0651013490684453
-+,226343.5,1.0702854613885007
-+,235563.5,1.0745475571076049
-+,248011.0,1.1026071020545738
-+,264815.0,1.0310081793965524
-+,287500.0,1.042590904060612
-+,318125.5,1.0254308356033561
-+,359469.5,1.0189444809778214
-+,415284.0,1.0313641712744497
-+,490634.0,0.9823820721469397
-+,592356.0,0.9911690335120438
-+,729680.5,0.9756526011094603
-+,915069.0,0.993570902039778
-+,1165343.5,0.9912235929128339
-+,1503213.5,0.991458092202137
-+,1959338.0,0.9981192174366282
-+,2575106.5,0.994426295554621
-+,3406394.5,0.9993404617742261
-+,4528633.0,0.998976018418965
-+,6043654.5,0.9981755426983001
--,203375.0,1.12897533918574
--,207931.0,1.1013164466211514
--,210706.5,1.2376677690363833
--,214454.0,1.122773760328953
--,219513.5,1.2791607283305686
--,226343.5,1.2789642078407426
--,235563.5,1.2833625974144554
--,248011.0,1.1627758206364955
--,264815.0,1.200357706049429
--,287500.0,1.1291727128871103
--,318125.5,1.1176720658757995
--,359469.5,1.1332659544990311
--,415284.0,1.0814729828893908
--,490634.0,1.0540191351915207
--,592356.0,1.0342876505242724
--,729680.5,1.00747219883319
--,915069.0,1.0048226104936588
--,1165343.5,0.9952597579185618
--,1503213.5,0.9936321545007187
--,1959338.0,1.0063900361376517
--,2575106.5,0.9924979898004426
--,3406394.5,0.9978807670247792
--,4528633.0,0.9983796817747381
--,6043654.5,0.9990137916409081
