orientation,dist,peak_score
++,203375.0,1.110769956817535
++,207931.0,1.1664683805914748
++,210706.5,1.1488483922561858
++,214454.0,1.0725916837632519
++,219513.5,1.1061195068873717
++,226343.5,1.1063837520888637
++,235563.5,1.1423973145908393
++,248011.0,1.1015739905937225
++,264815.0,1.1384896796039927
++,287500.0,1.1351328071388676
++,318125.5,1.163468271891149
++,359469.5,1.1687306810895195
++,415284.0,1.1608568161585386
++,490634.0,1.1522582774651091
++,592356.0,1.117173714783385
++,729680.5,1.1200621294413642
++,915069.0,1.0954048813843211
++,1165343.5,1.0798978569088271
++,1503213.5,1.0488101092669502
++,1959338.0,1.0178934163995081
++,2575106.5,0.999803098603806
++,3406394.5,0.9952290895811157
++,4528633.0,0.9961087304171591
+-,203375.0,1.175264030296951
+-,207931.0,1.2014901620281386
+-,210706.5,1.1980537753898521
+-,214454.0,1.1435832971592528
+-,219513.5,1.2095866717183736
+-,226343.5,1.1946561624620686
+-,235563.5,1.2024312360225708
+-,248011.0,1.2225656751400602
+-,264815.0,1.2179873046279117
+-,287500.0,1.2109598733591187
+-,318125.5,1.1984051455998563
+-,359469.5,1.2430505914874654
+-,415284.0,1.2372275346584933
+-,490634.0,1.2264700327329325
+-,592356.0,1.2076817186569144
+-,729680.5,1.1854077347833472
+-,915069.0,1.1611173231569902
+-,1165343.5,1.1227129542272847
+-,1503213.5,1.0743971873153184
+-,1959338.0,1.0362726120758854
+-,2575106.5,1.004662567723001
+-,3406394.5,0.9983611735369027
+-,4528633.0,0.9960580404819217
-+,203375.0,1.0936226094217907
-+,207931.0,1.0434664229547645
-+,210706.5,1.0900463443920938
-+,214454.0,1.0498953975389194
-+,219513.5,1.0792644987575364
-+,226343.5,1.067896386605923
-+,235563.5,1.1187595920129463
-+,248011.0,1.1413235787453637
-+,264815.0,1.116323127566305
-+,287500.0,1.118598497103177
-+,318125.5,1.0869596987909445
-+,359469.5,1.1154973894820543
-+,415284.0,1.0966312695355347
-+,490634.0,1.0922500387969891
-+,592356.0,1.0695070790984709
-+,729680.5,1.0706278987075832
-+,915069.0,1.05200423879707
-+,1165343.5,1.0407169898405668
-+,1503213.5,1.0179235167772722
-+,1959338.0,1.0009228759429016
-+,2575106.5,0.9956673526607392
-+,3406394.5,0.9956108989106359
-+,4528633.0,0.9961261200544759
--,203375.0,1.109912549680356
--,207931.0,1.1491669939539717
--,210706.5,1.1451894974566503
--,214454.0,1.0947065948094852
--,219513.5,1.1608760068565558
--,226343.5,1.1113221247387068
--,235563.5,1.184097230890274
--,248011.0,1.2081859884031938
--,264815.0,1.1860351306290644
--,287500.0,1.1411741860850815
--,318125.5,1.1380315949674462
--,359469.5,1.206711259012749
--,415284.0,1.166742099710127
--,490634.0,1.1693329224271651
--,592356.0,1.14012906701881
--,729680.5,1.130300413299649
--,915069.0,1.1045776170301804
--,1165343.5,1.082842216876317
--,1503213.5,1.0416394959162283
--,1959338.0,1.01850110714432
--,2575106.5,1.0022110066050591
--,3406394.5,0.9965531639483646
--,4528633.0,0.9956468750046136
