orientation,dist,peak_score
++,203375.0,1.258015145349192
++,207931.0,1.4221574588660173
++,210706.5,1.2797592854903461
++,214454.0,1.2214739521948623
++,219513.5,1.245403602597905
++,226343.5,1.239995744978651
++,235563.5,1.32062541040383
++,248011.0,1.18829039156476
++,264815.0,1.2007462613064959
++,287500.0,1.2213222997280382
++,318125.5,1.28163181600547
++,359469.5,1.2628720258297848
++,415284.0,1.2494023235753438
++,490634.0,1.2517600069760948
++,592356.0,1.1912499006066457
++,729680.5,1.171724076009831
++,915069.0,1.1625681485473882
++,1165343.5,1.130742344649858
++,1503213.5,1.1018919394850777
++,1959338.0,1.040334947650187
++,2575106.5,0.9802775914469053
++,3406394.5,0.9158442498012391
++,4528633.0,0.869534223413291
+-,203375.0,1.4305091107176962
+-,207931.0,1.4929511630024757
+-,210706.5,1.5216000847149163
+-,214454.0,1.3231354197408725
+-,219513.5,1.5751906976271914
+-,226343.5,1.5022958006821026
+-,235563.5,1.4268854677431184
+-,248011.0,1.4319231618009132
+-,264815.0,1.3813134468586392
+-,287500.0,1.3807187141280408
+-,318125.5,1.3678121906511003
+-,359469.5,1.4209697391020146
+-,415284.0,1.4187038220374077
+-,490634.0,1.3727540319223661
+-,592356.0,1.3366328965286174
+-,729680.5,1.3005563591469902
+-,915069.0,1.3133646000100017
+-,1165343.5,1.258445166584388
+-,1503213.5,1.1907347986050516
+-,1959338.0,1.1345998071330197
+-,2575106.5,1.0477494267530378
+-,3406394.5,0.9779102885044687
+-,4528633.0,0.8890665733510956
-+,203375.0,1.1914266775656122
-+,207931.0,1.219994800875688
-+,210706.5,1.2558465833323071
-+,214454.0,1.1337400425666964
-+,219513.5,1.1739472748155904
-+,226343.5,1.1501973681802125
-+,235563.5,1.2225565605995725
-+,248011.0,1.2207791743694352
-+,264815.0,1.2277180061822892
-+,287500.0,1.161471839326556
-+,318125.5,1.1355059204556561
-+,359469.5,1.139625709709834
-+,415284.0,1.1379883411897072
-+,490634.0,1.103698530828952
-+,592356.0,1.1075664930608076
-+,729680.5,1.0932909982468413
-+,915069.0,1.0656375503347366
-+,1165343.5,1.054309970071343
-+,1503213.5,1.0099115998671317
-+,1959338.0,0.9585610657565636
-+,2575106.5,0.8986731305708979
-+,3406394.5,0.8828469108924315
-+,4528633.0,0.849190319249094
--,203375.0,1.255478211098411
--,207931.0,1.298740877557636
--,210706.5,1.3482994757299913
--,214454.0,1.2085478139205343
--,219513.5,1.3157588053927407
--,226343.5,1.3572513858240352
--,235563.5,1.3527721618444366
--,248011.0,1.3329684202558867
--,264815.0,1.3149368339602054
--,287500.0,1.2515891887525796
--,318125.5,1.2163756415798483
--,359469.5,1.2697882404095744
--,415284.0,1.2552512671113338
--,490634.0,1.219754827913631
--,592356.0,1.2076686486580677
--,729680.5,1.1968008627972069
--,915069.0,1.1929727997657802
--,1165343.5,1.1579167057804634
--,1503213.5,1.0813726441221774
--,1959338.0,1.0346916929972925
--,2575106.5,0.9785499095040562
--,3406394.5,0.9061574396350317
--,4528633.0,0.8816302937495638
