orientation,dist,peak_score
++,203375.0,1.1924802158199435
++,207931.0,1.2719075912472133
++,210706.5,1.1627482710599166
++,214454.0,1.1344006896151537
++,219513.5,1.1387328808727395
++,226343.5,1.1946440537661505
++,235563.5,1.2086853052179694
++,248011.0,1.1150170614709463
++,264815.0,1.1349463918679872
++,287500.0,1.1408453331478052
++,318125.5,1.208905022141915
++,359469.5,1.14819213610998
++,415284.0,1.157384560034802
++,490634.0,1.150100945392745
++,592356.0,1.0947753306591324
++,729680.5,1.051095446803188
++,915069.0,1.0420907056913808
++,1165343.5,1.0266928330852967
++,1503213.5,1.0072827096851844
++,1959338.0,0.9998376254206258
++,2575106.5,0.995102678402155
++,3406394.5,0.9961204458102714
++,4528633.0,0.997305994429633
+-,203375.0,1.3448829902013586
+-,207931.0,1.2986403725504003
+-,210706.5,1.4462064032105555
+-,214454.0,1.2993278347033792
+-,219513.5,1.5502686406586006
+-,226343.5,1.4934563149772262
+-,235563.5,1.3130562388083389
+-,248011.0,1.3688578240917548
+-,264815.0,1.3408146202163842
+-,287500.0,1.3327215561903
+-,318125.5,1.3183452341560942
+-,359469.5,1.346238626186625
+-,415284.0,1.3205542171513298
+-,490634.0,1.2436549324698762
+-,592356.0,1.191956429996105
+-,729680.5,1.1230910543957633
+-,915069.0,1.0942188201896772
+-,1165343.5,1.0640239696739715
+-,1503213.5,1.023122723663983
+-,1959338.0,1.0064059376378858
+-,2575106.5,0.9980886092122194
+-,3406394.5,0.9949163953988965
+-,4528633.0,0.9975051352307778
-+,203375.0,1.0950662690283863
-+,207931.0,1.0485159227835201
-+,210706.5,1.1387343015064133
-+,214454.0,1.0105688200444545
-+,219513.5,1.089441882546962
-+,226343.5,1.1078682416216026
-+,235563.5,1.0636319534815821
-+,248011.0,1.1206435848753242
-+,264815.0,1.073754739376723
-+,287500.0,1.081461281990434
-+,318125.5,1.0543085545781539
-+,359469.5,1.0544118467187626
-+,415284.0,1.0466505689369392
-+,490634.0,1.038229266929974
-+,592356.0,1.0288935936354004
-+,729680.5,1.0059801847965884
-+,915069.0,1.0057226462172528
-+,1165343.5,0.9995266732982816
-+,1503213.5,0.9952464659617049
-+,1959338.0,0.9920527930458504
-+,2575106.5,0.9917680490747895
-+,3406394.5,0.9963069114259762
-+,4528633.0,0.9965995292190107
--,203375.0,1.156882278221846
--,207931.0,1.1104102659578063
--,210706.5,1.2480486519034235
--,214454.0,1.1364841807657589
--,219513.5,1.2296904700579203
--,226343.5,1.2815443765823875
--,235563.5,1.2990577879446155
--,248011.0,1.1843340710779984
--,264815.0,1.2356444843312786
--,287500.0,1.1760498348203232
--,318125.5,1.1568098430644025
--,359469.5,1.1641400193354017
--,415284.0,1.1350400904147886
--,490634.0,1.1066178745132331
--,592356.0,1.0760634036357088
--,729680.5,1.0478163986907845
--,915069.0,1.0272212484344498
--,1165343.5,1.0210882566334258
--,1503213.5,1.0042398527365002
--,1959338.0,0.9963800269048884
--,2575106.5,0.9943555312360521
--,3406394.5,0.9963275978238629
--,4528633.0,0.9963435012264431
