orientation,dist,peak_score
++,203375.0,1.2864482829100794
++,207931.0,1.3765657686400226
++,210706.5,1.2322971113779853
++,214454.0,1.2063549182065538
++,219513.5,1.195664111668816
++,226343.5,1.2756307878347664
++,235563.5,1.2937302323835742
++,248011.0,1.168612754885531
++,264815.0,1.1969632913630792
++,287500.0,1.2053492773386552
++,318125.5,1.3076456099201847
++,359469.5,1.229372318582364
++,415284.0,1.2540605763391959
++,490634.0,1.2599681428098686
++,592356.0,1.183414573897212
++,729680.5,1.1184565051679398
++,915069.0,1.1154581315836414
++,1165343.5,1.092085129461358
++,1503213.5,1.0357361884526943
++,1959338.0,1.0041992311397065
++,2575106.5,0.962448253689056
++,3406394.5,0.9529774840802753
++,4528633.0,0.9609623794002738
+-,203375.0,1.4734823709199418
+-,207931.0,1.4167713736204033
+-,210706.5,1.5921128732078043
+-,214454.0,1.4182467602114546
+-,219513.5,1.7301510679638339
+-,226343.5,1.6623730475347587
+-,235563.5,1.4289907135916289
+-,248011.0,1.5096656964271529
+-,264815.0,1.4659333465594342
+-,287500.0,1.4640639087445821
+-,318125.5,1.4621378684893889
+-,359469.5,1.5100565497706322
+-,415284.0,1.495287655650817
+-,490634.0,1.4049723260156677
+-,592356.0,1.3490041435356344
+-,729680.5,1.2644584002484502
+-,915069.0,1.2396742827300715
+-,1165343.5,1.2025687189545957
+-,1503213.5,1.0973367541951622
+-,1959338.0,1.037325954679377
+-,2575106.5,0.9874340009881885
+-,3406394.5,0.9401718007609575
+-,4528633.0,0.9626349858222902
-+,203375.0,1.1559356472515814
-+,207931.0,1.083885650824425
-+,210706.5,1.2009815225542058
-+,214454.0,1.038743866801544
-+,219513.5,1.1364430671083945
-+,226343.5,1.1651194344372142
-+,235563.5,1.1028666394796331
-+,248011.0,1.1775377020669693
-+,264815.0,1.1098714700883368
-+,287500.0,1.1221978766112812
-+,318125.5,1.0874869729321033
-+,359469.5,1.0894807113202056
-+,415284.0,1.0815147634183775
-+,490634.0,1.0731708378239642
-+,592356.0,1.0664945281328904
-+,729680.5,1.0248533468725323
-+,915069.0,1.0240600728876526
-+,1165343.5,1.0085500746005978
-+,1503213.5,0.9848843676609371
-+,1959338.0,0.9569386332383524
-+,2575106.5,0.9315285260003738
-+,3406394.5,0.9542902453168558
-+,4528633.0,0.9461357425753424
--,203375.0,1.2333833978240212
--,207931.0,1.1673403915430225
--,210706.5,1.3486190542988266
--,214454.0,1.2051450740572598
--,219513.5,1.3270450040092963
--,226343.5,1.3976356428451941
--,235563.5,1.4100565164997565
--,248011.0,1.2652104448130352
--,264815.0,1.3279317848652743
--,287500.0,1.248988760383967
--,318125.5,1.2354825596458658
--,359469.5,1.2511802446567573
--,415284.0,1.2182634010901998
--,490634.0,1.1830895449919656
--,592356.0,1.1518503750315676
--,729680.5,1.1141255273948656
--,915069.0,1.0785658548059598
--,1165343.5,1.0774686790811459
--,1503213.5,1.0207725509535237
--,1959338.0,0.9808693371000323
--,2575106.5,0.9543088829329481
--,3406394.5,0.9559107302959704
--,4528633.0,0.9452453522010477
