orientation,dist,peak_score
++,203375.0,0.9907082224425453
++,207931.0,1.018087786472882
++,210706.5,1.0464131415229456
++,214454.0,1.0188865732756316
++,219513.5,1.0553060364377076
++,226343.5,0.9987133170693306
++,235563.5,1.0733151124707119
++,248011.0,1.0221830356811026
++,264815.0,1.0192744970213576
++,287500.0,1.0426040361499573
++,318125.5,1.0954208089050177
++,359469.5,1.0744475437551022
++,415284.0,1.0852717687576952
++,490634.0,1.0575613334581306
++,592356.0,1.0433004198735591
++,729680.5,1.0206461500924013
++,915069.0,1.0107861491719692
++,1165343.5,1.0525239069930552
++,1503213.5,1.0401613596994765
++,1959338.0,1.0612092369181945
++,2575106.5,1.052162737182285
++,3406394.5,1.026061355326798
++,4528633.0,1.0322705012927067
+-,203375.0,1.0187055329664392
+-,207931.0,1.0025899049467035
+-,210706.5,1.0363815983417317
+-,214454.0,1.0122650849186963
+-,219513.5,1.0505803048478985
+-,226343.5,1.0665035869474027
+-,235563.5,1.0752964850511404
+-,248011.0,1.0836006543151535
+-,264815.0,1.0661423234718648
+-,287500.0,1.0508339859780835
+-,318125.5,1.0592277400007146
+-,359469.5,1.110604912796017
+-,415284.0,1.1032585403865036
+-,490634.0,1.0904565126948866
+-,592356.0,1.067122841983402
+-,729680.5,1.043304819740593
+-,915069.0,1.0739959431498427
+-,1165343.5,1.042625646320612
+-,1503213.5,1.058111113737239
+-,1959338.0,1.0671572855387987
+-,2575106.5,1.0451568057386345
+-,3406394.5,1.0164080374178572
+-,4528633.0,1.0225568063002568
-+,203375.0,1.0118960090624434
-+,207931.0,0.9760152024618567
-+,210706.5,1.0011967501866235
-+,214454.0,0.9822543761194089
-+,219513.5,1.0153890446141645
-+,226343.5,1.0297257473767831
-+,235563.5,1.0180820029912472
-+,248011.0,1.0121914709356812
-+,264815.0,1.0158548782846972
-+,287500.0,1.0223914538938956
-+,318125.5,1.0271541889418825
-+,359469.5,1.0374719826041943
-+,415284.0,1.0665453714429627
-+,490634.0,1.0408378752603888
-+,592356.0,1.007709747952221
-+,729680.5,1.006417492771852
-+,915069.0,1.0196957671480193
-+,1165343.5,1.0260722065929822
-+,1503213.5,1.041478588910838
-+,1959338.0,1.0373923109956196
-+,2575106.5,1.025425792878981
-+,3406394.5,1.0359677013422093
-+,4528633.0,1.0499938294283153
--,203375.0,1.0354576827076194
--,207931.0,1.0195416253201623
--,210706.5,1.0238240410160637
--,214454.0,0.961254357387832
--,219513.5,1.065327766110717
--,226343.5,1.0597597892173163
--,235563.5,1.065210471965713
--,248011.0,1.0595530765370746
--,264815.0,1.01748002090031
--,287500.0,1.0299510975161772
--,318125.5,1.0656263897309413
--,359469.5,1.0759694234951023
--,415284.0,1.0502877413376543
--,490634.0,1.0530298045448871
--,592356.0,1.0444585901983232
--,729680.5,1.0272864988445478
--,915069.0,1.0590942820943228
--,1165343.5,1.0205373351473022
--,1503213.5,1.013131793129544
--,1959338.0,1.030220104887197
--,2575106.5,1.0359839956792163
--,3406394.5,1.0192226246109666
--,4528633.0,1.0347449575155583
