orientation,dist,peak_score
++,203375.0,1.2142003344269827
++,207931.0,1.2241495080222171
++,210706.5,1.214318586139102
++,214454.0,1.1562341575667139
++,219513.5,1.1325086391922214
++,226343.5,1.2020562278298008
++,235563.5,1.2658084457247176
++,248011.0,1.144153220970462
++,264815.0,1.1809625822695027
++,287500.0,1.1471512278213793
++,318125.5,1.194613347192867
++,359469.5,1.1609808277207418
++,415284.0,1.1459340296560547
++,490634.0,1.108288723654176
++,592356.0,1.0380685493386477
++,729680.5,1.0234623906889304
++,915069.0,1.0136654853562088
++,1165343.5,0.997791064512381
++,1503213.5,0.9923378575338765
++,1959338.0,0.9959870208602991
++,2575106.5,0.9933163300381205
++,3406394.5,0.9941132702764377
++,4528633.0,0.9955526956845726
++,6043654.5,0.9979870389950778
+-,203375.0,1.402350278398507
+-,207931.0,1.3604139039997114
+-,210706.5,1.4862905370390755
+-,214454.0,1.3374377718026151
+-,219513.5,1.546208887562725
+-,226343.5,1.5091081626820007
+-,235563.5,1.3446431491138664
+-,248011.0,1.4182312625105276
+-,264815.0,1.3541507253292062
+-,287500.0,1.3236766571863894
+-,318125.5,1.3244649825081474
+-,359469.5,1.3402668909630857
+-,415284.0,1.2926770227774864
+-,490634.0,1.2168931841284967
+-,592356.0,1.1302771706216044
+-,729680.5,1.0799176587807056
+-,915069.0,1.0486251009099312
+-,1165343.5,1.0145033374904016
+-,1503213.5,1.002950244995378
+-,1959338.0,0.9993844687813803
+-,2575106.5,0.99527495784888
+-,3406394.5,0.9950866431287656
+-,4528633.0,0.997154780436278
+-,6043654.5,0.9991992773618619
-+,203375.0,1.0887355749920449
-+,207931.0,1.049007411857304
-+,210706.5,1.1322261595630938
-+,214454.0,1.0069925132367892
-+,219513.5,1.078675806511614
-+,226343.5,1.1068556262325688
-+,235563.5,1.1083821652103352
-+,248011.0,1.1640933819646646
-+,264815.0,1.085443241614171
-+,287500.0,1.0635377116154654
-+,318125.5,1.0453184003056035
-+,359469.5,1.045480456830009
-+,415284.0,1.0276929138891873
-+,490634.0,1.007309388939846
-+,592356.0,0.9819300598881495
-+,729680.5,0.9850130030664933
-+,915069.0,0.9895994593734487
-+,1165343.5,0.9834453619364101
-+,1503213.5,0.9867077552881084
-+,1959338.0,0.9934019426481255
-+,2575106.5,0.993051358760147
-+,3406394.5,0.9953292139929504
-+,4528633.0,0.9947060670634957
-+,6043654.5,0.9986770357450352
--,203375.0,1.1749407097649733
--,207931.0,1.1232281077028443
--,210706.5,1.2799428016182188
--,214454.0,1.1528626152924906
--,219513.5,1.2611808760233345
--,226343.5,1.2875318009444534
--,235563.5,1.3243990776004098
--,248011.0,1.2444751272208499
--,264815.0,1.2315418702972052
--,287500.0,1.158923347807391
--,318125.5,1.1561585473745581
--,359469.5,1.1690740851782215
--,415284.0,1.1266313635499745
--,490634.0,1.0844246896027652
--,592356.0,1.0337642414767967
--,729680.5,1.0169284702809789
--,915069.0,1.0125588665792142
--,1165343.5,0.9941452969509351
--,1503213.5,0.9956460037901457
--,1959338.0,0.9951706564511745
--,2575106.5,0.9945045458042884
--,3406394.5,0.9952767059562049
--,4528633.0,0.9959511971182037
--,6043654.5,0.9980923625099486
