orientation,dist,peak_score
++,203375.0,1.2271873693216708
++,207931.0,1.3148929535254736
++,210706.5,1.1487023710066109
++,214454.0,1.203041568073458
++,219513.5,1.1861043294472082
++,226343.5,1.2350844665522462
++,235563.5,1.1867939391859958
++,248011.0,1.1602737329211723
++,264815.0,1.1543054922306641
++,287500.0,1.1401708423129209
++,318125.5,1.1771773301536794
++,359469.5,1.0796607048923448
++,415284.0,1.073811914366014
++,490634.0,1.0465620810412286
++,592356.0,1.002218596582805
++,729680.5,0.9924747312350698
++,915069.0,0.9861362198788377
++,1165343.5,0.99436343224548
++,1503213.5,0.9955161102121464
++,1959338.0,0.9961507124209867
++,2575106.5,0.9973049739944762
++,3406394.5,0.9962769382038973
++,4528633.0,0.9984600828082786
+-,203375.0,1.4190430782913905
+-,207931.0,1.3544484406302244
+-,210706.5,1.5000357062039573
+-,214454.0,1.3685370630605567
+-,219513.5,1.5758251775257919
+-,226343.5,1.5473283978189185
+-,235563.5,1.322214916203511
+-,248011.0,1.4174967790845812
+-,264815.0,1.3464029880395272
+-,287500.0,1.3130094001799257
+-,318125.5,1.2718278647257826
+-,359469.5,1.2364435176624364
+-,415284.0,1.1954684366574437
+-,490634.0,1.1169465295614522
+-,592356.0,1.0571473210741653
+-,729680.5,1.0176909354080128
+-,915069.0,0.9935131005616538
+-,1165343.5,0.99385319729555
+-,1503213.5,0.9943962334265616
+-,1959338.0,0.9963318958353774
+-,2575106.5,0.9946043951139294
+-,3406394.5,0.9978008792194301
+-,4528633.0,0.9972789688354197
-+,203375.0,1.1094575353815712
-+,207931.0,1.0466427884514133
-+,210706.5,1.0757147416092128
-+,214454.0,1.0323580671909367
-+,219513.5,1.035624848959788
-+,226343.5,1.0646378698116306
-+,235563.5,1.0671482387689724
-+,248011.0,1.1548108003220543
-+,264815.0,1.0994771633077611
-+,287500.0,1.0650889829638732
-+,318125.5,1.0273528254993267
-+,359469.5,1.0070583512513036
-+,415284.0,1.0008047305208818
-+,490634.0,0.9733404490341461
-+,592356.0,0.9625139280777872
-+,729680.5,0.9741213880506439
-+,915069.0,0.9780081717846302
-+,1165343.5,0.9847087379756911
-+,1503213.5,0.9918238123274684
-+,1959338.0,0.9904950154493901
-+,2575106.5,0.9956355193322141
-+,3406394.5,0.9978108280185828
-+,4528633.0,0.9984427852240516
--,203375.0,1.1924473497101675
--,207931.0,1.1250999477180663
--,210706.5,1.2630932817857166
--,214454.0,1.1618854896713473
--,219513.5,1.281932635318132
--,226343.5,1.2891715633954026
--,235563.5,1.345663987902177
--,248011.0,1.2202940310524348
--,264815.0,1.287412290089601
--,287500.0,1.1831054558326584
--,318125.5,1.1183373789241213
--,359469.5,1.1273315767683734
--,415284.0,1.0443775707758503
--,490634.0,1.0343722560553115
--,592356.0,0.9996312660786824
--,729680.5,0.9950401316464073
--,915069.0,0.9839542680504364
--,1165343.5,0.9830737705931054
--,1503213.5,0.9893971524740189
--,1959338.0,0.9908930611089437
--,2575106.5,0.9936561386644637
--,3406394.5,0.998615233747871
--,4528633.0,0.9977696418634037
