orientation,dist,peak_score
++,203375.0,1.2610901371901309
++,207931.0,1.3559797768020256
++,210706.5,1.159106367253282
++,214454.0,1.2401841138874172
++,219513.5,1.216042206098511
++,226343.5,1.2795141622024637
++,235563.5,1.2187938728936474
++,248011.0,1.189266312783931
++,264815.0,1.1925085010085401
++,287500.0,1.1852092811620212
++,318125.5,1.2405180694940259
++,359469.5,1.1244247221941528
++,415284.0,1.138219987720484
++,490634.0,1.1051662258284636
++,592356.0,1.022729770584811
++,729680.5,0.9975014899602062
++,915069.0,0.9642625549016648
++,1165343.5,0.9842083050487417
++,1503213.5,0.980934520176587
++,1959338.0,0.9718249188742552
++,2575106.5,0.9701354354144964
++,3406394.5,0.9552894749172186
++,4528633.0,0.9761805671865382
+-,203375.0,1.4902405726021772
+-,207931.0,1.4106173514971736
+-,210706.5,1.5905486684092371
+-,214454.0,1.4399340859903915
+-,219513.5,1.681908141156395
+-,226343.5,1.6579787428072246
+-,235563.5,1.38413048433842
+-,248011.0,1.517556197471301
+-,264815.0,1.4350190841899675
+-,287500.0,1.410912786409135
+-,318125.5,1.3808276654019003
+-,359469.5,1.3581042514011363
+-,415284.0,1.3286016484245669
+-,490634.0,1.231257545560282
+-,592356.0,1.1421735534210948
+-,729680.5,1.0695981597468416
+-,915069.0,0.9922702570320169
+-,1165343.5,0.9786465998180842
+-,1503213.5,0.9691172248196616
+-,1959338.0,0.9717443624884279
+-,2575106.5,0.9450030118414936
+-,3406394.5,0.9745931346391297
+-,4528633.0,0.9578174629520255
-+,203375.0,1.1208448397893247
-+,207931.0,1.039077636448037
-+,210706.5,1.0718301450153263
-+,214454.0,1.0291353967702692
-+,219513.5,1.0254150430788709
-+,226343.5,1.066554614021535
-+,235563.5,1.0702562364925317
-+,248011.0,1.1841567154525068
-+,264815.0,1.1166214516700537
-+,287500.0,1.083823864854757
-+,318125.5,1.0335079004075427
-+,359469.5,1.013805275451349
-+,415284.0,1.0144945462548898
-+,490634.0,0.9652269299370584
-+,592356.0,0.9337079374867224
-+,729680.5,0.9480526915727059
-+,915069.0,0.9320098182481589
-+,1165343.5,0.9393438237907065
-+,1503213.5,0.9543688340212962
-+,1959338.0,0.9209151055676752
-+,2575106.5,0.9537340169873145
-+,3406394.5,0.972194051092461
-+,4528633.0,0.9754289367058345
--,203375.0,1.217496977000806
--,207931.0,1.1323906903818868
--,210706.5,1.306032372399945
--,214454.0,1.184709308237527
--,219513.5,1.335651660928415
--,226343.5,1.3471059492575759
--,235563.5,1.4121350954669367
--,248011.0,1.2678091029160894
--,264815.0,1.361110454637574
--,287500.0,1.2384249688240843
--,318125.5,1.1654614017140883
--,359469.5,1.1991533307592561
--,415284.0,1.0830622662432479
--,490634.0,1.077317910861313
--,592356.0,1.0199019922929986
--,729680.5,1.0090890371604775
--,915069.0,0.9541514765483278
--,1165343.5,0.9282924326348494
--,1503213.5,0.9351613753206278
--,1959338.0,0.927082112598379
--,2575106.5,0.9357544027414576
--,3406394.5,0.9833705273792998
--,4528633.0,0.9627447276396188
