orientation,dist,peak_score
++,203375.0,1.1662395041186402
++,207931.0,1.303321624187708
++,210706.5,1.1778950991976376
++,214454.0,1.1893189859381932
++,219513.5,1.2520106077681816
++,226343.5,1.2005644757134306
++,235563.5,1.278305290436105
++,248011.0,1.1765437942036079
++,264815.0,1.2095486024444233
++,287500.0,1.187241889247145
++,318125.5,1.2379044047576828
++,359469.5,1.2446453068616175
++,415284.0,1.2319832909982653
++,490634.0,1.2442696355919112
++,592356.0,1.188386712331767
++,729680.5,1.1832773745711251
++,915069.0,1.1572614802620713
++,1165343.5,1.1147742690114522
++,1503213.5,1.068454206500701
++,1959338.0,1.0353000194296187
++,2575106.5,1.0026807769882364
++,3406394.5,0.9921279863557806
++,4528633.0,0.9918974244166214
+-,203375.0,1.272770709614389
+-,207931.0,1.3206941606337599
+-,210706.5,1.4005349844779411
+-,214454.0,1.2262063490115653
+-,219513.5,1.4446416577294068
+-,226343.5,1.4000972968188956
+-,235563.5,1.2943506245490803
+-,248011.0,1.3612814173850005
+-,264815.0,1.3025111058625294
+-,287500.0,1.3164869706992155
+-,318125.5,1.3148656401260514
+-,359469.5,1.3967858251782315
+-,415284.0,1.3447160876855162
+-,490634.0,1.364145633843341
+-,592356.0,1.3105155219520137
+-,729680.5,1.307344359004713
+-,915069.0,1.2986869986689533
+-,1165343.5,1.233160300957182
+-,1503213.5,1.1562990790885537
+-,1959338.0,1.0887236336643689
+-,2575106.5,1.0252912501791123
+-,3406394.5,0.9999508238874976
+-,4528633.0,0.9926687071628393
-+,203375.0,1.1227281296557887
-+,207931.0,1.0744731373593233
-+,210706.5,1.1741467829413725
-+,214454.0,1.1442894166616338
-+,219513.5,1.0763422459290621
-+,226343.5,1.1158394969556098
-+,235563.5,1.1137929048417352
-+,248011.0,1.1917874314752743
-+,264815.0,1.1885624078995638
-+,287500.0,1.140698530480101
-+,318125.5,1.1007673182937436
-+,359469.5,1.133614338076403
-+,415284.0,1.1329508519339277
-+,490634.0,1.123058873155309
-+,592356.0,1.0932236041013284
-+,729680.5,1.0852564215240263
-+,915069.0,1.0509267297642184
-+,1165343.5,1.031519926200572
-+,1503213.5,1.001169165869978
-+,1959338.0,0.9875368707919128
-+,2575106.5,0.9815055321998374
-+,3406394.5,0.9862201203575734
-+,4528633.0,0.9907257604961442
--,203375.0,1.1541474702183163
--,207931.0,1.1672090671503201
--,210706.5,1.2488483567480695
--,214454.0,1.1563103099796124
--,219513.5,1.2086737422864406
--,226343.5,1.234176651723308
--,235563.5,1.2777374245714925
--,248011.0,1.268482959164997
--,264815.0,1.2778128311437988
--,287500.0,1.230042953514544
--,318125.5,1.20996959496078
--,359469.5,1.2673084262470962
--,415284.0,1.2190693628423643
--,490634.0,1.2355639442418767
--,592356.0,1.184505195991091
--,729680.5,1.205915718174859
--,915069.0,1.156100849683582
--,1165343.5,1.1252655545292511
--,1503213.5,1.0750209435503368
--,1959338.0,1.0318955494879858
--,2575106.5,0.9986183064494312
--,3406394.5,0.99201763840684
--,4528633.0,0.9912932686367568
