orientation,dist,peak_score
++,203375.0,1.2778416267448574
++,207931.0,1.4416816283769762
++,210706.5,1.2795136838986718
++,214454.0,1.29758579773529
++,219513.5,1.3627303332105993
++,226343.5,1.299864524910852
++,235563.5,1.3912715480934796
++,248011.0,1.2557958378853122
++,264815.0,1.294916677282807
++,287500.0,1.2595791986179605
++,318125.5,1.3177116452346664
++,359469.5,1.3296901156098224
++,415284.0,1.3163907019613004
++,490634.0,1.3369597944602287
++,592356.0,1.2695594536415646
++,729680.5,1.276704105954979
++,915069.0,1.2599663191630932
++,1165343.5,1.2206837043316643
++,1503213.5,1.1697687569675268
++,1959338.0,1.131408559900768
++,2575106.5,1.0207657325144532
++,3406394.5,0.9168879169957181
++,4528633.0,0.8521540271899195
+-,203375.0,1.408187084372299
+-,207931.0,1.4666408430509228
+-,210706.5,1.5560264423632675
+-,214454.0,1.340934764580278
+-,219513.5,1.610436790631772
+-,226343.5,1.5502976342334915
+-,235563.5,1.414924651730187
+-,248011.0,1.4920901880318223
+-,264815.0,1.4126219780445612
+-,287500.0,1.4257267180879247
+-,318125.5,1.4184450710007463
+-,359469.5,1.5251687945625338
+-,415284.0,1.4643302933017432
+-,490634.0,1.4959774137402622
+-,592356.0,1.4391351909886756
+-,729680.5,1.4578628163915084
+-,915069.0,1.4853080178648135
+-,1165343.5,1.432650494593195
+-,1503213.5,1.3599081506508364
+-,1959338.0,1.290464431099783
+-,2575106.5,1.1404969651783772
+-,3406394.5,0.9994990247361175
+-,4528633.0,0.8749184754941522
-+,203375.0,1.2221096666948936
-+,207931.0,1.1517067043542233
-+,210706.5,1.269966734095679
-+,214454.0,1.2416024516333128
-+,219513.5,1.1423684474924696
-+,226343.5,1.1910213348219676
-+,235563.5,1.181748315608127
-+,248011.0,1.2744068180445476
-+,264815.0,1.2674369945905504
-+,287500.0,1.1985274601727125
-+,318125.5,1.1413170108162074
-+,359469.5,1.1821065367265342
-+,415284.0,1.1830339380935313
-+,490634.0,1.1683719583886765
-+,592356.0,1.1346502279014734
-+,729680.5,1.1298611018652438
-+,915069.0,1.0877842033609582
-+,1165343.5,1.0666302730308055
-+,1503213.5,1.0090406536182392
-+,1959338.0,0.9688817598496388
-+,2575106.5,0.8915349354126038
-+,3406394.5,0.8438818244107646
-+,4528633.0,0.8198266642628174
--,203375.0,1.2599160620755374
--,207931.0,1.2700040939293435
--,210706.5,1.3693371859661887
--,214454.0,1.2535988737970722
--,219513.5,1.3145772906414155
--,226343.5,1.3439776831372359
--,235563.5,1.3862874121459199
--,248011.0,1.3752379636457377
--,264815.0,1.3803842941835451
--,287500.0,1.3149283233984694
--,318125.5,1.2837530747042312
--,359469.5,1.3584045444136166
--,415284.0,1.2970891315902369
--,490634.0,1.3189762162093384
--,592356.0,1.264023161785782
--,729680.5,1.3105108792526865
--,915069.0,1.261536357115355
--,1165343.5,1.2424140581113883
--,1503213.5,1.1808975347037896
--,1959338.0,1.1217205025257986
--,2575106.5,0.9975765976763874
--,3406394.5,0.9162101553679922
--,4528633.0,0.8414115154753761
