orientation,dist,peak_score
++,203375.0,1.1024957578211603
++,207931.0,1.029377674494098
++,210706.5,1.0463584237722676
++,214454.0,1.1223333684446346
++,219513.5,1.0498046261381644
++,226343.5,1.0409376857356882
++,235563.5,1.027923244798753
++,248011.0,1.066837112090587
++,264815.0,1.0699535008455727
++,287500.0,1.0466127636832565
++,318125.5,1.0987041370816213
++,359469.5,1.1013367782266854
++,415284.0,1.0684519651227835
++,490634.0,1.0493578862172757
++,592356.0,1.027837120498736
++,729680.5,1.0308001595639371
++,915069.0,1.0252246621169494
++,1165343.5,1.0137045139246394
++,1503213.5,1.0047798593408732
++,1959338.0,1.0019317065198634
++,2575106.5,0.9990225415509083
++,3406394.5,0.9994340837149913
++,4528633.0,0.9992878353549095
+-,203375.0,1.0241279207114646
+-,207931.0,1.2030629737209921
+-,210706.5,1.2265236211165804
+-,214454.0,1.0166587241860625
+-,219513.5,1.1446461127024672
+-,226343.5,1.1784611533176228
+-,235563.5,1.0491963990640978
+-,248011.0,1.1377059525311068
+-,264815.0,1.0922873380787317
+-,287500.0,1.1054589223897109
+-,318125.5,1.068087533646599
+-,359469.5,1.107777882322526
+-,415284.0,1.0728506982764192
+-,490634.0,1.1063458203182244
+-,592356.0,1.0670179954656274
+-,729680.5,1.0596449423629462
+-,915069.0,1.0506173352487629
+-,1165343.5,1.0291545446100916
+-,1503213.5,1.012568076841427
+-,1959338.0,1.0067403097140941
+-,2575106.5,0.9992682434705734
+-,3406394.5,0.9992483836794488
+-,4528633.0,0.9995330723377533
-+,203375.0,1.0936497576101651
-+,207931.0,0.98753802329852
-+,210706.5,1.0666985223430185
-+,214454.0,1.049543381231993
-+,219513.5,1.0295441504928897
-+,226343.5,1.0815925533494783
-+,235563.5,0.9903994832796242
-+,248011.0,1.0424980650034084
-+,264815.0,1.046314234097272
-+,287500.0,1.0247937850254705
-+,318125.5,1.0453667541384886
-+,359469.5,1.054933221704498
-+,415284.0,1.0013526846087637
-+,490634.0,1.038757791207973
-+,592356.0,1.034484356573842
-+,729680.5,1.01929600214352
-+,915069.0,1.0096574091618968
-+,1165343.5,1.0057235489616052
-+,1503213.5,0.9991154822606845
-+,1959338.0,0.9970028850325348
-+,2575106.5,0.9991490429843963
-+,3406394.5,0.9994626803661114
-+,4528633.0,0.9992108170150967
--,203375.0,1.0714292290483074
--,207931.0,1.108929845737117
--,210706.5,1.0034924978817055
--,214454.0,1.0384751215649979
--,219513.5,1.0650269229559821
--,226343.5,1.0351201139564685
--,235563.5,1.0267460199880296
--,248011.0,1.10586093533168
--,264815.0,1.093506083879218
--,287500.0,1.0331689481834734
--,318125.5,1.0568523064064261
--,359469.5,1.1081801808830207
--,415284.0,1.0482892714469494
--,490634.0,1.0739395555311166
--,592356.0,1.0492890686987768
--,729680.5,1.0462096986489509
--,915069.0,1.0335017699405151
--,1165343.5,1.011512023484557
--,1503213.5,1.001778051972018
--,1959338.0,0.9997431376999805
--,2575106.5,1.000050489040556
--,3406394.5,0.9990304817650129
--,4528633.0,0.9996728533320844
