orientation,dist,peak_score
++,203375.0,1.4676442228903037
++,207931.0,1.2347448141456727
++,210706.5,1.3056376852595368
++,214454.0,1.5625123872856115
++,219513.5,1.3001574497350965
++,226343.5,1.249368384402235
++,235563.5,1.1793733267132036
++,248011.0,1.3272418605100913
++,264815.0,1.3667758520535902
++,287500.0,1.2616091811259924
++,318125.5,1.487245350748007
++,359469.5,1.4725376465037052
++,415284.0,1.345537613913989
++,490634.0,1.2551319243857475
++,592356.0,1.17334712132932
++,729680.5,1.223186170525181
++,915069.0,1.2423008361381966
++,1165343.5,1.1976244793999322
++,1503213.5,1.1217871998988063
++,1959338.0,1.0873343139841112
++,2575106.5,0.9419639540188522
++,3406394.5,0.9279533808824345
++,4528633.0,0.881819976623788
+-,203375.0,1.2625012265237332
+-,207931.0,1.8207620216531124
+-,210706.5,1.927304762963402
+-,214454.0,1.157122834663917
+-,219513.5,1.7389269975710941
+-,226343.5,1.742852425366235
+-,235563.5,1.2998301250266067
+-,248011.0,1.6117650677383684
+-,264815.0,1.4107331625464783
+-,287500.0,1.470837443135677
+-,318125.5,1.3206715661513388
+-,359469.5,1.502969723578074
+-,415284.0,1.360436384449994
+-,490634.0,1.5273440089598485
+-,592356.0,1.3817234498115223
+-,729680.5,1.3945829730016646
+-,915069.0,1.4513596134809208
+-,1165343.5,1.3527921096736417
+-,1503213.5,1.269478699236198
+-,1959338.0,1.263605612908606
+-,2575106.5,0.9547887988073004
+-,3406394.5,0.9098480059995712
+-,4528633.0,0.9462808624350721
-+,203375.0,1.4929333778087255
-+,207931.0,1.0565854678857092
-+,210706.5,1.296217828311987
-+,214454.0,1.3515612385114872
-+,219513.5,1.2430680933313065
-+,226343.5,1.4319015189264381
-+,235563.5,1.039760306568199
-+,248011.0,1.2414201831774025
-+,264815.0,1.271129816620866
-+,287500.0,1.1602005465986807
-+,318125.5,1.275024069173327
-+,359469.5,1.2825721338422806
-+,415284.0,1.0331158420781956
-+,490634.0,1.2388253629797283
-+,592356.0,1.226389619040889
-+,729680.5,1.1541769057971336
-+,915069.0,1.1217614528635698
-+,1165343.5,1.095037942968248
-+,1503213.5,1.0137723241335441
-+,1959338.0,0.891685827415505
-+,2575106.5,0.9499351401777403
-+,3406394.5,0.9190008947772036
-+,4528633.0,0.8465270085173038
--,203375.0,1.4244905905950698
--,207931.0,1.5010929114405214
--,210706.5,1.1462484265664732
--,214454.0,1.1990681891641417
--,219513.5,1.3932595307559126
--,226343.5,1.20189656800009
--,235563.5,1.1578322565654984
--,248011.0,1.4630027597807098
--,264815.0,1.4023788425120658
--,287500.0,1.178008711608412
--,318125.5,1.2748270858248698
--,359469.5,1.5241526164298527
--,415284.0,1.2506260855229085
--,490634.0,1.3881775512064003
--,592356.0,1.2986577303793327
--,729680.5,1.3244403467581005
--,915069.0,1.3274357917971622
--,1165343.5,1.1690760831344467
--,1503213.5,1.0664003259665562
--,1959338.0,1.0124125385451332
--,2575106.5,1.0229472942989877
--,3406394.5,0.868660333758779
--,4528633.0,0.9504248513149421
