orientation,dist,peak_score
++,203375.0,1.5818665264620282
++,207931.0,1.1094747498865067
++,210706.5,1.429135827416558
++,214454.0,1.713991500445188
++,219513.5,1.5569263832852984
++,226343.5,1.3646401539914486
++,235563.5,1.5964622506182422
++,248011.0,1.48192008730251
++,264815.0,1.3320978835766544
++,287500.0,1.2407168185644444
++,318125.5,1.3676276090811137
++,359469.5,1.5364943251986167
++,415284.0,1.3018046933056993
++,490634.0,1.2929456580323258
++,592356.0,1.2595795655225361
++,729680.5,1.2051295017907517
++,915069.0,1.2202432876435632
++,1165343.5,1.16885771075341
++,1503213.5,1.111401233259441
++,1959338.0,1.0020259007382188
++,2575106.5,0.9123324187766447
++,3406394.5,0.8564720436504676
++,4528633.0,0.8382098055636394
+-,203375.0,1.1798168516005265
+-,207931.0,2.405899727692945
+-,210706.5,2.3515499290093933
+-,214454.0,1.1923983214662726
+-,219513.5,2.807336731502482
+-,226343.5,1.9229862367332335
+-,235563.5,1.395236594934475
+-,248011.0,1.6382560949112688
+-,264815.0,1.6692352242922004
+-,287500.0,1.6556257879567307
+-,318125.5,1.3637661444586342
+-,359469.5,1.5706875954700408
+-,415284.0,1.3733969994459132
+-,490634.0,1.5704727045017
+-,592356.0,1.4287400933732617
+-,729680.5,1.3877840799631784
+-,915069.0,1.397071977918351
+-,1165343.5,1.3575748286450624
+-,1503213.5,1.2181545304209602
+-,1959338.0,1.230115083161011
+-,2575106.5,1.0168129310655576
+-,3406394.5,1.0031453609407215
+-,4528633.0,0.8496526740066537
-+,203375.0,1.2870067253501372
-+,207931.0,1.2027536412341762
-+,210706.5,1.9704241613495257
-+,214454.0,1.3019899673380368
-+,219513.5,1.2631794924836166
-+,226343.5,1.229084262649336
-+,235563.5,1.0931764285335894
-+,248011.0,1.3865407883944814
-+,264815.0,1.2808636951536325
-+,287500.0,1.1984974711544012
-+,318125.5,1.2863366564199352
-+,359469.5,1.3003018440062943
-+,415284.0,0.966580341872237
-+,490634.0,1.1451095658915802
-+,592356.0,1.248037431668549
-+,729680.5,1.136135926193009
-+,915069.0,1.0911730262427992
-+,1165343.5,1.1164394150223034
-+,1503213.5,1.0422139831848556
-+,1959338.0,0.9914933023413628
-+,2575106.5,0.9201407853302727
-+,3406394.5,0.7905895338474559
-+,4528633.0,0.8268707915949782
--,203375.0,1.4529241726663895
--,207931.0,1.5248378695885
--,210706.5,1.3868541454091032
--,214454.0,1.1122371663514876
--,219513.5,1.473107313398323
--,226343.5,1.258709683363616
--,235563.5,1.3455658472630003
--,248011.0,1.3962803336823784
--,264815.0,1.3949273109791143
--,287500.0,1.259434527642248
--,318125.5,1.1987418176080207
--,359469.5,1.5008215829507425
--,415284.0,1.218978140730998
--,490634.0,1.3573752718513248
--,592356.0,1.2829055873306137
--,729680.5,1.3028366259549138
--,915069.0,1.2628603132354155
--,1165343.5,1.2294947860539092
--,1503213.5,1.1224119583338874
--,1959338.0,1.065652220568356
--,2575106.5,0.9212613002956748
--,3406394.5,0.7627484336945909
--,4528633.0,0.7778920882281954
