orientation,dist,peak_score
++,203375.0,0.9372339625753148
++,207931.0,0.9634328237514509
++,210706.5,1.15106258842399
++,214454.0,0.9854811221530072
++,219513.5,1.038203973549421
++,226343.5,0.9318129191476925
++,235563.5,1.3349121970039382
++,248011.0,0.9813677787170073
++,264815.0,0.8717684142580526
++,287500.0,0.8802499312548812
++,318125.5,1.2002896187331529
++,359469.5,1.204572448963534
++,415284.0,1.1482509230879212
++,490634.0,1.1318180990706832
++,592356.0,1.1305539547268617
++,729680.5,1.0511446849336383
++,915069.0,0.9988327850073342
++,1165343.5,1.0429577117900792
++,1503213.5,1.070865418421923
++,1959338.0,1.0660271255839273
++,2575106.5,1.1069016911403693
++,3406394.5,1.0559982933172405
++,4528633.0,1.1383012731294087
+-,203375.0,1.1906429026332146
+-,207931.0,1.0976508163158374
+-,210706.5,1.0609129204411654
+-,214454.0,0.8985388781760446
+-,219513.5,1.2825245650203154
+-,226343.5,1.213218078684787
+-,235563.5,1.061628927353135
+-,248011.0,1.1284142106803854
+-,264815.0,1.0222472303728236
+-,287500.0,1.0034425657788255
+-,318125.5,1.0229567587748056
+-,359469.5,1.2093426213531822
+-,415284.0,1.0376773406504445
+-,490634.0,1.1173145707589387
+-,592356.0,1.0979796391978827
+-,729680.5,1.09179350583848
+-,915069.0,1.1185552546455204
+-,1165343.5,1.061044467168151
+-,1503213.5,1.0965132442030903
+-,1959338.0,1.0911189551453961
+-,2575106.5,1.0521393420937342
+-,3406394.5,1.0203175823438084
+-,4528633.0,1.0920108787671396
-+,203375.0,0.9211686580434462
-+,207931.0,0.8183060914384468
-+,210706.5,0.9563302348515343
-+,214454.0,0.9624421993380743
-+,219513.5,0.9706925708677319
-+,226343.5,1.1147179794162434
-+,235563.5,1.2331159500170585
-+,248011.0,1.030219111906987
-+,264815.0,0.9419474102664673
-+,287500.0,0.8996762108174875
-+,318125.5,0.9652886915215113
-+,359469.5,1.0693258649588446
-+,415284.0,1.010129227440651
-+,490634.0,1.0638889668572862
-+,592356.0,0.9779185988043015
-+,729680.5,1.0034533208434637
-+,915069.0,1.0459143736796457
-+,1165343.5,1.0448963975687742
-+,1503213.5,1.1192610978801538
-+,1959338.0,1.0455621101041843
-+,2575106.5,1.0803662322488745
-+,3406394.5,1.1836544330860133
-+,4528633.0,1.078549099174023
--,203375.0,1.0170145155707684
--,207931.0,1.0443268767170433
--,210706.5,1.0011004799263408
--,214454.0,0.9689919483388699
--,219513.5,1.1933225085286725
--,226343.5,0.9754883430580509
--,235563.5,1.1314779279564182
--,248011.0,1.037808340969787
--,264815.0,1.1014708819149133
--,287500.0,0.9499786807672321
--,318125.5,1.0121403737383798
--,359469.5,1.1477395049642212
--,415284.0,1.0820528203334407
--,490634.0,0.9768292857530101
--,592356.0,1.037603500397358
--,729680.5,1.042133138215347
--,915069.0,0.9976749979311126
--,1165343.5,1.0174445201051883
--,1503213.5,1.0282411965422635
--,1959338.0,1.0138175336988269
--,2575106.5,1.0687705322189736
--,3406394.5,0.9877981853468935
--,4528633.0,1.055945902344876
