orientation,dist,peak_score
++,203375.0,1.032316315077306
++,207931.0,1.0449702299049415
++,210706.5,0.9696941753996278
++,214454.0,1.2485299236782395
++,219513.5,1.0692039453830176
++,226343.5,1.0583670512543781
++,235563.5,0.9747837268209171
++,248011.0,1.1414071561743773
++,264815.0,1.0049266410741522
++,287500.0,0.979962321971314
++,318125.5,1.0574658106569916
++,359469.5,1.0258646689144777
++,415284.0,1.0101619629204632
++,490634.0,1.001292201884002
++,592356.0,0.9957222353999966
++,729680.5,0.9971851010624843
++,915069.0,0.9943729749390624
++,1165343.5,0.9987616289014755
++,1503213.5,0.9981936752945241
++,1959338.0,0.9995504173077935
++,2575106.5,0.9993928406824256
++,3406394.5,0.9992040400055979
++,4528633.0,1.000160252917139
+-,203375.0,0.9826279231747013
+-,207931.0,1.3954833436089649
+-,210706.5,1.1753334180813173
+-,214454.0,0.9786055200187365
+-,219513.5,1.4615985423170317
+-,226343.5,1.3941600128323677
+-,235563.5,1.0117446198667235
+-,248011.0,1.1980720036692964
+-,264815.0,1.1245067457213211
+-,287500.0,1.1170029299769813
+-,318125.5,1.059427338588548
+-,359469.5,1.0660395718006457
+-,415284.0,1.0363983650493904
+-,490634.0,1.0283376681691392
+-,592356.0,1.000518276404039
+-,729680.5,1.0056187758968285
+-,915069.0,0.9992307743512974
+-,1165343.5,0.9991672075652639
+-,1503213.5,0.9992235686420875
+-,1959338.0,1.0004408517121828
+-,2575106.5,0.9993064447446188
+-,3406394.5,1.000057049166925
+-,4528633.0,0.9991812446196019
-+,203375.0,0.9955569284607508
-+,207931.0,1.00051361010519
-+,210706.5,0.9354423984064707
-+,214454.0,0.9670557564581574
-+,219513.5,0.9400526546057966
-+,226343.5,0.991759173287386
-+,235563.5,0.9704628036414271
-+,248011.0,1.0264073167426193
-+,264815.0,0.9871532339949913
-+,287500.0,0.9734562406054681
-+,318125.5,0.9689910181457851
-+,359469.5,0.9825775023461638
-+,415284.0,0.975443360812835
-+,490634.0,0.9784711043874278
-+,592356.0,0.9884664823658824
-+,729680.5,0.9948078353977867
-+,915069.0,0.9964608609569205
-+,1165343.5,0.9980512393476957
-+,1503213.5,0.9998466057547707
-+,1959338.0,0.9984839583240879
-+,2575106.5,0.9995882899929989
-+,3406394.5,0.9997653633903014
-+,4528633.0,0.9992180542124778
--,203375.0,1.0115766829009447
--,207931.0,1.0006102545350228
--,210706.5,0.9770168150717606
--,214454.0,0.9350332432071278
--,219513.5,1.0998379357597916
--,226343.5,1.0309419298828635
--,235563.5,1.0500554588590059
--,248011.0,1.0154666103448342
--,264815.0,1.0365477353414843
--,287500.0,1.0119560147575475
--,318125.5,1.0029323990055736
--,359469.5,1.0230339691403008
--,415284.0,0.998197709933099
--,490634.0,1.0135600292183944
--,592356.0,0.9989162257111817
--,729680.5,1.00225699657217
--,915069.0,1.0001345158761783
--,1165343.5,0.9978079604090867
--,1503213.5,0.9998600132029778
--,1959338.0,0.9989159159594487
--,2575106.5,0.9988758086457366
--,3406394.5,0.9991886214985621
--,4528633.0,0.9997459599545526
