orientation,dist,peak_score
++,203375.0,1.2505773151867399
++,207931.0,1.4420524271725965
++,210706.5,1.1251943587027773
++,214454.0,2.036864207440068
++,219513.5,1.4135092795240483
++,226343.5,1.426760845927807
++,235563.5,1.0584461749549594
++,248011.0,1.7987079416877831
++,264815.0,1.1823310774472722
++,287500.0,1.0470857697838345
++,318125.5,1.4694467098031754
++,359469.5,1.2696905874002484
++,415284.0,1.19292672715541
++,490634.0,1.0988366489293602
++,592356.0,1.008055114355487
++,729680.5,0.9844336134266598
++,915069.0,0.8620394756882206
++,1165343.5,0.9691676091680792
++,1503213.5,0.910921734635785
++,1959338.0,0.9697572774689541
++,2575106.5,0.9418036991376226
++,3406394.5,0.9151266401253919
++,4528633.0,1.0235780281930913
+-,203375.0,1.1994720132238001
+-,207931.0,2.3292447897512663
+-,210706.5,2.1009257157029593
+-,214454.0,1.069210164222958
+-,219513.5,3.261142762488571
+-,226343.5,2.639950872945125
+-,235563.5,1.2627948480643776
+-,248011.0,2.067558265894548
+-,264815.0,1.658260253564699
+-,287500.0,1.7087656606328916
+-,318125.5,1.5051002172915031
+-,359469.5,1.5424883614470075
+-,415284.0,1.399463073401599
+-,490634.0,1.371256009429318
+-,592356.0,1.0628210679511092
+-,729680.5,1.1451814106783826
+-,915069.0,0.9939715465562367
+-,1165343.5,0.9816952851446893
+-,1503213.5,0.9682285649693636
+-,1959338.0,1.0387852447855892
+-,2575106.5,0.9391439227778533
+-,3406394.5,1.0062799506545808
+-,4528633.0,0.8928929224197591
-+,203375.0,1.1663449929794218
-+,207931.0,1.1476578395867159
-+,210706.5,0.9676818378808937
-+,214454.0,1.0300597157314293
-+,219513.5,0.9200000550057379
-+,226343.5,1.1367748361591963
-+,235563.5,1.0778644090209777
-+,248011.0,1.2262127925545694
-+,264815.0,1.1047187851349474
-+,287500.0,1.0504567205645434
-+,318125.5,0.9510776859003396
-+,359469.5,1.008953579486986
-+,415284.0,0.8882939867222225
-+,490634.0,0.8935736987690946
-+,592356.0,0.9087157855978605
-+,729680.5,0.9543853671847444
-+,915069.0,0.9182975468761705
-+,1165343.5,0.9437838880607594
-+,1503213.5,1.0034941672605968
-+,1959338.0,0.883930440294224
-+,2575106.5,0.9593657157676565
-+,3406394.5,0.9780666946777
-+,4528633.0,0.882188577807459
--,203375.0,1.2563021884335235
--,207931.0,1.1969083594412195
--,210706.5,1.1472812619388275
--,214454.0,0.9144973702305478
--,219513.5,1.8015074123070731
--,226343.5,1.350375703944735
--,235563.5,1.3697473201631059
--,248011.0,1.235957569308043
--,264815.0,1.351247441647595
--,287500.0,1.2257118195593009
--,318125.5,1.1473565434469244
--,359469.5,1.3121476771478637
--,415284.0,1.090820447370559
--,490634.0,1.2200192278718283
--,592356.0,1.0517618362266505
--,729680.5,1.0929036040968063
--,915069.0,1.0351141827553518
--,1165343.5,0.9265103902800067
--,1503213.5,1.003278091912906
--,1959338.0,0.9261189502791436
--,2575106.5,0.8954502063549761
--,3406394.5,0.913320226296417
--,4528633.0,0.9650147219667604
