orientation,dist,peak_score
++,203375.0,1.123454428158386
++,207931.0,1.0573727714179244
++,210706.5,1.1716166012376454
++,214454.0,1.1368970517990742
++,219513.5,1.075820745296042
++,226343.5,1.073804681817169
++,235563.5,1.0875420271166554
++,248011.0,1.161936018315495
++,264815.0,1.0980164903063003
++,287500.0,1.0363585829984856
++,318125.5,1.1188541994155956
++,359469.5,1.1672557307862297
++,415284.0,1.0773219619415475
++,490634.0,1.0943269381072238
++,592356.0,1.070488128694473
++,729680.5,1.0670025369269807
++,915069.0,1.0505981549474916
++,1165343.5,1.0231918899300378
++,1503213.5,1.0128664448431164
++,1959338.0,1.0044643584574464
++,2575106.5,0.9982865688642717
++,3406394.5,0.997801330014327
++,4528633.0,0.9993199250745926
+-,203375.0,1.109774082205996
+-,207931.0,1.5839322917587861
+-,210706.5,1.235375505849951
+-,214454.0,1.118457843408936
+-,219513.5,1.4098257368627833
+-,226343.5,1.3503038517624848
+-,235563.5,1.144122750649395
+-,248011.0,1.2449341412980914
+-,264815.0,1.1476339111025138
+-,287500.0,1.185819771739832
+-,318125.5,1.1348210912634134
+-,359469.5,1.196827096660234
+-,415284.0,1.1213922969312191
+-,490634.0,1.2022698660812439
+-,592356.0,1.1125156819534034
+-,729680.5,1.0943691519357164
+-,915069.0,1.0832502897799725
+-,1165343.5,1.0626805389848408
+-,1503213.5,1.0321378517036033
+-,1959338.0,1.0204778125747767
+-,2575106.5,1.0020507503440508
+-,3406394.5,0.9989206464321995
+-,4528633.0,0.9990462887327136
-+,203375.0,1.1082542478812638
-+,207931.0,0.9944932402355484
-+,210706.5,1.3555282116208556
-+,214454.0,1.0566762194132862
-+,219513.5,1.0300982369144849
-+,226343.5,1.0566645588066572
-+,235563.5,1.0037984041794112
-+,248011.0,1.1027219137646453
-+,264815.0,1.0747973067694079
-+,287500.0,1.042061682783235
-+,318125.5,1.0453107658540286
-+,359469.5,1.0818080849786762
-+,415284.0,1.0013740090948078
-+,490634.0,1.047593790609655
-+,592356.0,1.041484841485335
-+,729680.5,1.0196484741348157
-+,915069.0,1.0117335639757716
-+,1165343.5,1.006420261584022
-+,1503213.5,1.0007858615715761
-+,1959338.0,0.9973749426698866
-+,2575106.5,0.9961723890702274
-+,3406394.5,0.9978638301740521
-+,4528633.0,0.9989999929849329
--,203375.0,1.1165410172049923
--,207931.0,1.2145391546543514
--,210706.5,1.1513261858529855
--,214454.0,1.018663356770632
--,219513.5,1.1614428345232997
--,226343.5,1.0625213070855906
--,235563.5,1.0527704832672233
--,248011.0,1.1376034286268522
--,264815.0,1.1379634762135653
--,287500.0,1.0876104061959788
--,318125.5,1.0508380655250755
--,359469.5,1.134489475750676
--,415284.0,1.0583621418560838
--,490634.0,1.106152801582848
--,592356.0,1.0702479494155384
--,729680.5,1.0658071705454693
--,915069.0,1.0382387367016501
--,1165343.5,1.0268603707883934
--,1503213.5,1.0108048035207498
--,1959338.0,1.0052848013572493
--,2575106.5,0.9990625947171965
--,3406394.5,0.9981686789293919
--,4528633.0,0.998390002427507
