orientation,dist,peak_score
++,203375.0,1.5300400628600155
++,207931.0,1.3062335930313553
++,210706.5,1.6464581525266775
++,214454.0,1.6599391035863977
++,219513.5,1.3893627341187833
++,226343.5,1.3450866612572763
++,235563.5,1.4077233427545537
++,248011.0,1.7005416635374366
++,264815.0,1.4684906994656437
++,287500.0,1.1928460961177403
++,318125.5,1.4800548377189289
++,359469.5,1.7085428887609881
++,415284.0,1.3649958798613229
++,490634.0,1.4474084239578655
++,592356.0,1.3912276203747402
++,729680.5,1.4011803179230449
++,915069.0,1.419819585648273
++,1165343.5,1.269834215278826
++,1503213.5,1.21791518881612
++,1959338.0,1.128384551954483
++,2575106.5,0.9252474386178161
++,3406394.5,0.7817035913227139
++,4528633.0,0.8616064807184931
+-,203375.0,1.505183856200528
+-,207931.0,3.2014787391301285
+-,210706.5,1.9080263736811656
+-,214454.0,1.4997074814917837
+-,219513.5,2.7732954432758885
+-,226343.5,2.2715392569885817
+-,235563.5,1.6119587149001702
+-,248011.0,1.9615065933326232
+-,264815.0,1.6165865272623914
+-,287500.0,1.7322716099857642
+-,318125.5,1.5689527686556914
+-,359469.5,1.8149635702944849
+-,415284.0,1.5632143278441948
+-,490634.0,1.9532723980005016
+-,592356.0,1.5615053093587763
+-,729680.5,1.5350539455999046
+-,915069.0,1.6235602788745782
+-,1165343.5,1.6144296394888227
+-,1503213.5,1.4818897705689629
+-,1959338.0,1.5408674914442868
+-,2575106.5,1.1313166196083904
+-,3406394.5,0.899293422945937
+-,4528633.0,0.8213056216387017
-+,203375.0,1.5165693243064435
-+,207931.0,1.10693103524356
-+,210706.5,2.1433063761799227
-+,214454.0,1.3479180233414343
-+,219513.5,1.1876039306446202
-+,226343.5,1.2962786622919955
-+,235563.5,1.0686886500059096
-+,248011.0,1.452181546500129
-+,264815.0,1.3345756009574512
-+,287500.0,1.2146424840485
-+,318125.5,1.2504609225269225
-+,359469.5,1.3787814930130518
-+,415284.0,1.0209941821665938
-+,490634.0,1.2590665152239655
-+,592356.0,1.2356023065547121
-+,729680.5,1.1353723732779066
-+,915069.0,1.1257354121240362
-+,1165343.5,1.0854465243890856
-+,1503213.5,1.0370022647385622
-+,1959338.0,0.9397070884310197
-+,2575106.5,0.7840593044599865
-+,3406394.5,0.762277424848364
-+,4528633.0,0.7636023099608542
--,203375.0,1.5564780291408165
--,207931.0,1.7926208953960998
--,210706.5,1.7787428011533066
--,214454.0,1.1406519176409686
--,219513.5,1.733510845306987
--,226343.5,1.294336966475981
--,235563.5,1.2410130985975973
--,248011.0,1.5863726966091019
--,264815.0,1.5453812705922274
--,287500.0,1.3753713862685644
--,318125.5,1.2353796118384575
--,359469.5,1.5878472569802031
--,415284.0,1.2691430684849414
--,490634.0,1.5100491078248541
--,592356.0,1.3729632560811775
--,729680.5,1.3913435537354881
--,915069.0,1.3031795069791938
--,1165343.5,1.3007988302348297
--,1503213.5,1.1914900089846132
--,1959338.0,1.1945805794230842
--,2575106.5,0.9608876658192828
--,3406394.5,0.7829825476060737
--,4528633.0,0.6579992671524102
