orientation,dist,peak_score
++,83375.0,nan
++,87931.0,nan
++,90706.5,nan
++,94454.0,nan
++,99513.5,nan
++,106343.5,nan
++,115563.5,1.0865891911821646
++,128011.0,1.080176036167681
++,144815.0,1.161218349462344
++,167500.0,1.2055689577271271
++,198125.5,1.1920218824470021
++,239469.5,1.1373671789085615
++,295284.0,1.155929669299459
++,370634.0,1.1531480901802527
++,472356.0,1.1301730452082115
++,609680.5,1.0841130966240653
++,795069.0,1.027781215770314
++,1045343.5,1.0345246218018576
++,1383213.5,1.0085820648670998
++,1839338.0,1.0017750204202382
++,2455106.5,0.9899535182854422
++,3286394.5,0.9948459786731348
++,4408633.0,0.9948998348896059
++,5923654.5,0.998630246659628
++,7968933.5,0.9970355056019764
++,10730060.0,0.997183443021797
+-,83375.0,nan
+-,87931.0,nan
+-,90706.5,nan
+-,94454.0,nan
+-,99513.5,nan
+-,106343.5,nan
+-,115563.5,1.0939171631380955
+-,128011.0,1.2701070935532495
+-,144815.0,1.3183954104042763
+-,167500.0,1.3534376095666423
+-,198125.5,1.3699058551045786
+-,239469.5,1.3645893696466365
+-,295284.0,1.295020818188404
+-,370634.0,1.3093594462334854
+-,472356.0,1.2339015833453255
+-,609680.5,1.1683169671331397
+-,795069.0,1.0910909360130505
+-,1045343.5,1.0777894866034472
+-,1383213.5,1.0280521729489602
+-,1839338.0,1.0128395453009298
+-,2455106.5,0.9932828348977922
+-,3286394.5,0.9927798878871934
+-,4408633.0,0.9963264420391551
+-,5923654.5,0.9994162622780871
+-,7968933.5,0.9964488977244074
+-,10730060.0,0.9948725834435325
-+,83375.0,nan
-+,87931.0,nan
-+,90706.5,nan
-+,94454.0,nan
-+,99513.5,nan
-+,106343.5,nan
-+,115563.5,0.9504172922843787
-+,128011.0,1.020990638658464
-+,144815.0,0.9985824530228506
-+,167500.0,1.0309452970328012
-+,198125.5,1.052810844162341
-+,239469.5,1.0730367335397035
-+,295284.0,1.060090177556805
-+,370634.0,1.0547594974048546
-+,472356.0,1.0301235894762442
-+,609680.5,1.017682078534501
-+,795069.0,1.0010317648320686
-+,1045343.5,1.000244332309385
-+,1383213.5,0.9971893802858731
-+,1839338.0,0.9944495121239271
-+,2455106.5,0.9865593012589843
-+,3286394.5,0.9949860738231028
-+,4408633.0,0.9950931918948716
-+,5923654.5,0.9969841054679711
-+,7968933.5,0.9967839788266858
-+,10730060.0,0.9972398767185575
--,83375.0,nan
--,87931.0,nan
--,90706.5,nan
--,94454.0,nan
--,99513.5,nan
--,106343.5,nan
--,115563.5,1.0426485974132014
--,128011.0,1.1091711157386739
--,144815.0,1.126168838659376
--,167500.0,1.1708939593249466
--,198125.5,1.1764373075824954
--,239469.5,1.229019627239757
--,295284.0,1.1451209095416357
--,370634.0,1.144812316916921
--,472356.0,1.102020722254807
--,609680.5,1.0698876755923712
--,795069.0,1.0230866694205694
--,1045343.5,1.0232522015477228
--,1383213.5,1.0065167223791576
--,1839338.0,1.0017343376395178
--,2455106.5,0.9913119614109265
--,3286394.5,0.9949339546926304
--,4408633.0,0.9969379150689697
--,5923654.5,0.9984344543647323
--,7968933.5,0.9980347766643339
--,10730060.0,0.9989117179118425
