orientation,dist,peak_score
++,83375.0,nan
++,87931.0,nan
++,90706.5,nan
++,94454.0,nan
++,99513.5,nan
++,106343.5,nan
++,115563.5,1.117365643347769
++,128011.0,1.1464575759389617
++,144815.0,1.204331982526345
++,167500.0,1.2160145258020265
++,198125.5,1.1995838828787435
++,239469.5,1.168558854127474
++,295284.0,1.1571237470485647
++,370634.0,1.1517881116081918
++,472356.0,1.1003602999435604
++,609680.5,1.0350917680014002
++,795069.0,1.0185729043450955
++,1045343.5,1.0040065082311713
++,1383213.5,0.9911646326958371
++,1839338.0,0.9954173387451762
++,2455106.5,0.9945480141183416
++,3286394.5,0.992605546075399
++,4408633.0,0.9958459436828759
++,5923654.5,0.998300717076132
++,7968933.5,0.9980549592307904
++,10730060.0,0.9982869964590015
+-,83375.0,nan
+-,87931.0,nan
+-,90706.5,nan
+-,94454.0,nan
+-,99513.5,nan
+-,106343.5,nan
+-,115563.5,1.1994080443698778
+-,128011.0,1.3638903975652716
+-,144815.0,1.3672248946214882
+-,167500.0,1.399914529958608
+-,198125.5,1.4125866916235439
+-,239469.5,1.3796665220083406
+-,295284.0,1.2883363379452253
+-,370634.0,1.2881751233593892
+-,472356.0,1.2167461247825029
+-,609680.5,1.1101336188091873
+-,795069.0,1.059455367752392
+-,1045343.5,1.0293058090648435
+-,1383213.5,0.9983479264061693
+-,1839338.0,0.9993501314768909
+-,2455106.5,0.9947042488124801
+-,3286394.5,0.9948658113824458
+-,4408633.0,0.9964362667102382
+-,5923654.5,0.9991402502454156
+-,7968933.5,0.9970938950665299
+-,10730060.0,0.9968606852980307
-+,83375.0,nan
-+,87931.0,nan
-+,90706.5,nan
-+,94454.0,nan
-+,99513.5,nan
-+,106343.5,nan
-+,115563.5,0.9677892191212011
-+,128011.0,1.069333021683964
-+,144815.0,1.0227528624281677
-+,167500.0,1.0402563867583923
-+,198125.5,1.0475586360020361
-+,239469.5,1.0994832548334457
-+,295284.0,1.0594744952804536
-+,370634.0,1.0426630113669966
-+,472356.0,1.0056912683121086
-+,609680.5,0.9788521474799373
-+,795069.0,0.99546060527834
-+,1045343.5,0.9836530722460879
-+,1383213.5,0.985514400931764
-+,1839338.0,0.992834545026236
-+,2455106.5,0.9935002030293497
-+,3286394.5,0.9941469563061174
-+,4408633.0,0.9949700933380441
-+,5923654.5,0.9987731811317578
-+,7968933.5,0.9975010678709268
-+,10730060.0,0.9960828379368456
--,83375.0,nan
--,87931.0,nan
--,90706.5,nan
--,94454.0,nan
--,99513.5,nan
--,106343.5,nan
--,115563.5,1.079523181545726
--,128011.0,1.1494478300109636
--,144815.0,1.1512660993285966
--,167500.0,1.1960807662196196
--,198125.5,1.1988341049131446
--,239469.5,1.2520207994993418
--,295284.0,1.137290632968944
--,370634.0,1.1420177419953166
--,472356.0,1.0791322093775706
--,609680.5,1.025507441138371
--,795069.0,1.016610535989234
--,1045343.5,0.9986964279645584
--,1383213.5,0.9946228196679655
--,1839338.0,0.9932934655698195
--,2455106.5,0.994247936020203
--,3286394.5,0.9952484215098354
--,4408633.0,0.9954060850970219
--,5923654.5,0.9979182616078083
--,7968933.5,0.9969693562047958
--,10730060.0,0.9971179944733997
