orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.0653881277610864
++,114422.0,1.0135087292809328
++,119349.0,1.0194152242282177
++,125754.0,1.0564626510517778
++,134080.0,1.1370961671255861
++,144904.0,1.142024093641663
++,158975.5,1.1384563714582123
++,177268.5,1.0860044101822361
++,201049.0,1.0376576817136258
++,231963.5,1.0517707657458402
++,272152.5,1.0119762694305416
++,324398.5,1.0116647011453241
++,392318.5,1.0367251401093383
++,480614.0,1.0077471576260235
++,595398.5,1.0041854644779216
++,744618.5,1.004809995438387
++,938604.0,1.0019834978673183
++,1190785.0,1.0075772770627485
++,1518620.5,0.996708220751618
++,1944807.0,1.003633117774986
++,2498849.0,1.0030986839973635
++,3219104.0,1.000774598920276
++,4155435.5,0.9997808819526407
++,5372666.0,1.0017275712339089
++,6955066.0,1.0016025989731634
++,9012186.0,1.0006813734109308
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.1538949188299705
+-,114422.0,1.1383348139572804
+-,119349.0,1.1265347544802486
+-,125754.0,1.215368578823011
+-,134080.0,1.2382027651454954
+-,144904.0,1.2069546304959737
+-,158975.5,1.1895102163741955
+-,177268.5,1.2279872303535944
+-,201049.0,1.1644650100242289
+-,231963.5,1.1698829834386593
+-,272152.5,1.076171982697415
+-,324398.5,1.0466719872138515
+-,392318.5,1.0500234330403053
+-,480614.0,1.0324236582986592
+-,595398.5,1.0213273391746638
+-,744618.5,1.0102039255291981
+-,938604.0,1.0041791374472904
+-,1190785.0,1.005117859909916
+-,1518620.5,1.0048277918366433
+-,1944807.0,1.0074295157563162
+-,2498849.0,1.0050182750255656
+-,3219104.0,1.0022111404637501
+-,4155435.5,0.9990241857432116
+-,5372666.0,1.0027570619302688
+-,6955066.0,1.0024588498941038
+-,9012186.0,1.0019804648209703
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9652581856412005
-+,114422.0,0.9497708372879116
-+,119349.0,0.9572499773711758
-+,125754.0,1.0128173746330147
-+,134080.0,1.0162245786416177
-+,144904.0,1.026791226857849
-+,158975.5,1.0524823372389236
-+,177268.5,1.0449705016539244
-+,201049.0,1.015784335666691
-+,231963.5,1.0011051054428581
-+,272152.5,0.9813534573701745
-+,324398.5,0.9748800135270703
-+,392318.5,0.9860109797978354
-+,480614.0,0.9825796335117314
-+,595398.5,0.9940089481265992
-+,744618.5,0.9941710359677088
-+,938604.0,1.0010105839009975
-+,1190785.0,1.0049777017347656
-+,1518620.5,1.0003225722672866
-+,1944807.0,0.9995806257863835
-+,2498849.0,1.0009881534591103
-+,3219104.0,0.9989411607674232
-+,4155435.5,1.000974847207626
-+,5372666.0,1.0010686046355188
-+,6955066.0,1.002378896134601
-+,9012186.0,1.0016843138435907
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0719307793877184
--,114422.0,1.0765576835562995
--,119349.0,1.0102034875931998
--,125754.0,1.1454090247606303
--,134080.0,1.0524949930532577
--,144904.0,1.1168972666771233
--,158975.5,1.0873750695326876
--,177268.5,1.1490551092782715
--,201049.0,1.0952820701605452
--,231963.5,1.0679173277453131
--,272152.5,1.0416697040532232
--,324398.5,0.9891653310110546
--,392318.5,0.9986026607763228
--,480614.0,1.0012225600849944
--,595398.5,1.0054177144930077
--,744618.5,1.0007736831619733
--,938604.0,1.0006227479550311
--,1190785.0,0.9984781641825857
--,1518620.5,0.9995898010173915
--,1944807.0,1.0015070840585172
--,2498849.0,1.0029618359262684
--,3219104.0,0.9969935426214084
--,4155435.5,1.0001983719851617
--,5372666.0,1.0009134938684296
--,6955066.0,1.002240349663316
--,9012186.0,1.0003435596900712
