orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.281356361036082
++,114422.0,1.2050889814187342
++,119349.0,1.1532881275214883
++,125754.0,1.1924495092042726
++,134080.0,1.2460209614066216
++,144904.0,1.2256411206804174
++,158975.5,1.2615991782327147
++,177268.5,1.2228340918870824
++,201049.0,1.2193628137621615
++,231963.5,1.221030606990794
++,272152.5,1.176787467238805
++,324398.5,1.2398338257969341
++,392318.5,1.238378867689556
++,480614.0,1.220210603318266
++,595398.5,1.173632361740859
++,744618.5,1.1494284010912232
++,938604.0,1.135864394996453
++,1190785.0,1.110421240917618
++,1518620.5,1.0847598968173036
++,1944807.0,1.0302088027913827
++,2498849.0,0.9819154888082311
++,3219104.0,0.9182876708311591
++,4155435.5,0.8649427890715733
++,5372666.0,0.8616439269522673
++,6955066.0,0.8461375949663534
++,9012186.0,0.7829046409222187
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.242230035683667
+-,114422.0,1.2519470809956381
+-,119349.0,1.2278548639431457
+-,125754.0,1.3246995560623929
+-,134080.0,1.4091358109481196
+-,144904.0,1.3007385004365954
+-,158975.5,1.3891454143817745
+-,177268.5,1.3915002645807917
+-,201049.0,1.4071564480040157
+-,231963.5,1.4120870244714372
+-,272152.5,1.3352547858520978
+-,324398.5,1.3386152208193942
+-,392318.5,1.3770460415391845
+-,480614.0,1.3462996890001677
+-,595398.5,1.3019018942271678
+-,744618.5,1.2636049062668908
+-,938604.0,1.2770200359238457
+-,1190785.0,1.222518225599237
+-,1518620.5,1.1579935583600496
+-,1944807.0,1.1131774923539755
+-,2498849.0,1.0494281996730073
+-,3219104.0,0.9775440360408865
+-,4155435.5,0.909429775494679
+-,5372666.0,0.8760490070097341
+-,6955066.0,0.8648875288054612
+-,9012186.0,0.840477380524447
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.174233776771056
-+,114422.0,1.0950947393409516
-+,119349.0,1.1063052775542044
-+,125754.0,1.0901738205778961
-+,134080.0,1.1566302691577475
-+,144904.0,1.0958068522552582
-+,158975.5,1.141733478201907
-+,177268.5,1.1090817049663197
-+,201049.0,1.1415393296033993
-+,231963.5,1.1643920656314435
-+,272152.5,1.1746190065859812
-+,324398.5,1.1426651348566346
-+,392318.5,1.1208767481528028
-+,480614.0,1.088932982031709
-+,595398.5,1.0924742356363168
-+,744618.5,1.0768615592595507
-+,938604.0,1.0479384051395026
-+,1190785.0,1.0468704609574813
-+,1518620.5,0.9992949282716899
-+,1944807.0,0.9563083092829746
-+,2498849.0,0.9008668291273135
-+,3219104.0,0.8825438234712468
-+,4155435.5,0.8579673340973148
-+,5372666.0,0.8282268676331644
-+,6955066.0,0.8357258931401281
-+,9012186.0,0.7784800808377143
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.16520507524179
--,114422.0,1.1940858446600284
--,119349.0,1.1194865481741574
--,125754.0,1.191048634452908
--,134080.0,1.1684232678989273
--,144904.0,1.1859283054565917
--,158975.5,1.1946260998653753
--,177268.5,1.2730261390995885
--,201049.0,1.2451643433562234
--,231963.5,1.2819535267127524
--,272152.5,1.26088074050667
--,324398.5,1.207524675571785
--,392318.5,1.2308323783570172
--,480614.0,1.2015867209681548
--,595398.5,1.1937552915593002
--,744618.5,1.1671113161721738
--,938604.0,1.1594112668074548
--,1190785.0,1.1357486483638615
--,1518620.5,1.0574830881313046
--,1944807.0,1.020360424922166
--,2498849.0,0.9841046810719878
--,3219104.0,0.9129236465570743
--,4155435.5,0.8881589857545136
--,5372666.0,0.8490492307234566
--,6955066.0,0.841468965117969
--,9012186.0,0.8444878981226601
