orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,0.9985879692972504
++,114422.0,0.9428965854468198
++,119349.0,0.9540629075494813
++,125754.0,0.991371833047266
++,134080.0,1.024247118671803
++,144904.0,1.0234893894155013
++,158975.5,1.0390047780140994
++,177268.5,1.0391010699006553
++,201049.0,1.1074904858826204
++,231963.5,1.1078716840251865
++,272152.5,1.0906760058478917
++,324398.5,1.1259872116855576
++,392318.5,1.129622631417775
++,480614.0,1.1324017346571233
++,595398.5,1.1023359539533717
++,744618.5,1.0866123463102744
++,938604.0,1.1052855486388897
++,1190785.0,1.0844909565346559
++,1518620.5,1.0787905865252636
++,1944807.0,1.0623882025780356
++,2498849.0,1.0396804879222137
++,3219104.0,1.0247492746687392
++,4155435.5,1.0142127067460711
++,5372666.0,1.0006655331776129
++,6955066.0,0.9978749281638158
++,9012186.0,0.996260916090747
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,0.9827725192644339
+-,114422.0,0.9679804117411679
+-,119349.0,0.970469772637013
+-,125754.0,1.0132136238542198
+-,134080.0,1.0616278032508901
+-,144904.0,1.0491444255015694
+-,158975.5,1.1017405116508985
+-,177268.5,1.109896867090032
+-,201049.0,1.155022536066391
+-,231963.5,1.1743750047374157
+-,272152.5,1.1495476404362488
+-,324398.5,1.154638405359261
+-,392318.5,1.1696578422728683
+-,480614.0,1.1766919330381627
+-,595398.5,1.1417054984152661
+-,744618.5,1.1224358557308238
+-,938604.0,1.1443867166174233
+-,1190785.0,1.1303457757149298
+-,1518620.5,1.0962774526453218
+-,1944807.0,1.082608793304819
+-,2498849.0,1.0597008932156042
+-,3219104.0,1.0427776003783653
+-,4155435.5,1.0212778304378918
+-,5372666.0,1.0062829262155129
+-,6955066.0,1.000818854765565
+-,9012186.0,0.9972878114669644
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9453858414940092
-+,114422.0,0.9346592702044165
-+,119349.0,0.9200227020233191
-+,125754.0,0.9228625263552961
-+,134080.0,0.9719040279129908
-+,144904.0,0.9911132069179969
-+,158975.5,1.0179711433919234
-+,177268.5,1.023560146148689
-+,201049.0,1.0852908612862866
-+,231963.5,1.0993053769534273
-+,272152.5,1.0938558572295236
-+,324398.5,1.0838232261679457
-+,392318.5,1.0849867549339907
-+,480614.0,1.0886047826968104
-+,595398.5,1.0812707360013523
-+,744618.5,1.066910843860591
-+,938604.0,1.0727909521773933
-+,1190785.0,1.0536520454935796
-+,1518620.5,1.0498210368228114
-+,1944807.0,1.039825862794686
-+,2498849.0,1.0237693678928328
-+,3219104.0,1.0113997955975877
-+,4155435.5,1.0026872267909737
-+,5372666.0,0.9963112359138974
-+,6955066.0,0.9984125757997049
-+,9012186.0,0.9957919983742857
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.9443598216067868
--,114422.0,0.9690484202012001
--,119349.0,0.9164059172297041
--,125754.0,0.9901156065379214
--,134080.0,0.9690930418525929
--,144904.0,1.0191458386439354
--,158975.5,1.0385140494693952
--,177268.5,1.082426931522757
--,201049.0,1.1198425699134376
--,231963.5,1.129925186894482
--,272152.5,1.1187845461493249
--,324398.5,1.1017419837185358
--,392318.5,1.1322519182233852
--,480614.0,1.1337842969010068
--,595398.5,1.1064293853041116
--,744618.5,1.1062932272959538
--,938604.0,1.0981661310078428
--,1190785.0,1.087662077994754
--,1518620.5,1.0654188829929725
--,1944807.0,1.0590021727813617
--,2498849.0,1.0437709269918547
--,3219104.0,1.0299054118534339
--,4155435.5,1.011381775536584
--,5372666.0,1.001938392597875
--,6955066.0,0.997482355154875
--,9012186.0,0.9970799250488382
