orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.1499791548875067
++,114422.0,1.0896574084110493
++,119349.0,1.0124235126914618
++,125754.0,1.0682142304795827
++,134080.0,1.1612909329679408
++,144904.0,1.1464976195224452
++,158975.5,1.222390592396476
++,177268.5,1.2062079146195002
++,201049.0,1.1829656024987822
++,231963.5,1.1567974508836798
++,272152.5,1.1105029520330256
++,324398.5,1.1638098688810046
++,392318.5,1.1568287370977466
++,480614.0,1.1327270218888377
++,595398.5,1.087015835030701
++,744618.5,1.0374390854005766
++,938604.0,1.0343596387749694
++,1190785.0,1.019776520491839
++,1518620.5,1.0058537029246475
++,1944807.0,0.9988674890012101
++,2498849.0,0.9897397335902701
++,3219104.0,0.9955195421585827
++,4155435.5,0.9940860871299557
++,5372666.0,0.9980390532381448
++,6955066.0,0.9980071413505307
++,9012186.0,0.9966342361922167
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.13120359990797
+-,114422.0,1.0776326862718828
+-,119349.0,1.07384748959079
+-,125754.0,1.2463855161058175
+-,134080.0,1.3516628018714847
+-,144904.0,1.268375730178433
+-,158975.5,1.3720551105665846
+-,177268.5,1.3862036729798224
+-,201049.0,1.3516462010860797
+-,231963.5,1.3797664910561351
+-,272152.5,1.3073463163778751
+-,324398.5,1.3077836692797105
+-,392318.5,1.2930995914940675
+-,480614.0,1.2279435211335938
+-,595398.5,1.1744447882393707
+-,744618.5,1.0920346103687188
+-,938604.0,1.0921734542102537
+-,1190785.0,1.0557658669475323
+-,1518620.5,1.018988679900483
+-,1944807.0,1.0080764895976708
+-,2498849.0,0.9941703234308954
+-,3219104.0,0.9937844425388558
+-,4155435.5,0.994112323041284
+-,5372666.0,0.9994272030960807
+-,6955066.0,0.9978452650265657
+-,9012186.0,0.9956480055511517
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9815668832879512
-+,114422.0,0.9636200271028744
-+,119349.0,0.9459555607133511
-+,125754.0,0.9748496980967274
-+,134080.0,1.042976330832618
-+,144904.0,1.002202479760546
-+,158975.5,1.0145073475606763
-+,177268.5,1.053374835854604
-+,201049.0,1.056098134357662
-+,231963.5,1.0748951483223441
-+,272152.5,1.06142504365921
-+,324398.5,1.056558075848606
-+,392318.5,1.0534591369916273
-+,480614.0,1.0270940874122718
-+,595398.5,1.0163925879686238
-+,744618.5,1.004520672440078
-+,938604.0,1.003100760727731
-+,1190785.0,0.9977625094326618
-+,1518620.5,0.9959908688078569
-+,1944807.0,0.9940711856072167
-+,2498849.0,0.9850234860363422
-+,3219104.0,0.9948379777207953
-+,4155435.5,0.995864463169338
-+,5372666.0,0.9964700118079112
-+,6955066.0,0.9964528168309178
-+,9012186.0,0.9968539806766927
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0479755575134575
--,114422.0,1.0860832725240819
--,119349.0,1.009152783603531
--,125754.0,1.1334393323455836
--,134080.0,1.0941522784458446
--,144904.0,1.1333507587698248
--,158975.5,1.1441434221950602
--,177268.5,1.1979863520534195
--,201049.0,1.1768692415615218
--,231963.5,1.2223740874397433
--,272152.5,1.1768428791291854
--,324398.5,1.1410995369125871
--,392318.5,1.1371238468485796
--,480614.0,1.1007003775772992
--,595398.5,1.068605074703347
--,744618.5,1.0289282815244944
--,938604.0,1.0289671618136282
--,1190785.0,1.0161500978494615
--,1518620.5,0.999822989081436
--,1944807.0,1.0004775514462838
--,2498849.0,0.9921205333387358
--,3219104.0,0.995658250826454
--,4155435.5,0.9952528725131616
--,5372666.0,0.9991024767410175
--,6955066.0,0.9981036267153394
--,9012186.0,0.9982040439788038
