orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,0.9990998014714243
++,114422.0,0.9870221984206087
++,119349.0,0.9756895371776148
++,125754.0,1.0111882503032203
++,134080.0,1.003734291983966
++,144904.0,1.0440643508684142
++,158975.5,1.02603578205888
++,177268.5,1.0499957512737286
++,201049.0,1.0174202801411976
++,231963.5,1.0338690069721312
++,272152.5,1.0192443770767081
++,324398.5,1.0724901848809985
++,392318.5,1.085587946878956
++,480614.0,1.0469039089973415
++,595398.5,1.0380468012772024
++,744618.5,1.0089436674300392
++,938604.0,1.010486227282376
++,1190785.0,1.0353261778261105
++,1518620.5,1.0339099383657016
++,1944807.0,1.051197569108236
++,2498849.0,1.0440004433990058
++,3219104.0,1.0459896224300849
++,4155435.5,1.0191114137158284
++,5372666.0,1.046627938001244
++,6955066.0,1.0219127779390558
++,9012186.0,1.0428878796483845
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.0126484624954069
+-,114422.0,1.0399796252799856
+-,119349.0,1.0210486969785155
+-,125754.0,1.050006018820759
+-,134080.0,1.03192279311475
+-,144904.0,1.0305192141691148
+-,158975.5,1.040037410751294
+-,177268.5,1.0622008861747223
+-,201049.0,1.026796645661979
+-,231963.5,1.0597040877518922
+-,272152.5,1.055930370754982
+-,324398.5,1.0713640865778866
+-,392318.5,1.101415199324398
+-,480614.0,1.076624843643974
+-,595398.5,1.0557784554850311
+-,744618.5,1.0338838690613015
+-,938604.0,1.0672779071717287
+-,1190785.0,1.025708098244046
+-,1518620.5,1.051033886577034
+-,1944807.0,1.0579761339777105
+-,2498849.0,1.036044664088573
+-,3219104.0,1.0134861035482707
+-,4155435.5,1.0137319111967436
+-,5372666.0,1.0482893834525242
+-,6955066.0,1.0563653704758438
+-,9012186.0,1.0577477343169341
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9984466940828947
-+,114422.0,0.9606882996642941
-+,119349.0,0.9633502241333931
-+,125754.0,0.9793826107694756
-+,134080.0,1.0004061427462982
-+,144904.0,1.0622248916839934
-+,158975.5,1.0269151323194299
-+,177268.5,1.066182458342319
-+,201049.0,1.0203219975710573
-+,231963.5,1.0051700018705974
-+,272152.5,1.0163237511943979
-+,324398.5,1.0316206243957946
-+,392318.5,1.0507786866661855
-+,480614.0,1.038161201207847
-+,595398.5,1.004373734918664
-+,744618.5,0.9994378245669171
-+,938604.0,1.020741032513358
-+,1190785.0,1.014888413995074
-+,1518620.5,1.0365944292437808
-+,1944807.0,1.0391645245634276
-+,2498849.0,1.0115493346841773
-+,3219104.0,1.035141091627234
-+,4155435.5,1.043021239635283
-+,5372666.0,1.0360218757934196
-+,6955066.0,1.0355284569413947
-+,9012186.0,1.0367074961717202
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.019452028461935
--,114422.0,1.0107001225923349
--,119349.0,0.9719345552500556
--,125754.0,1.0413918265988549
--,134080.0,0.9806267871178703
--,144904.0,1.0295303969224316
--,158975.5,1.0376262471407531
--,177268.5,1.0622641195487184
--,201049.0,1.017473021075896
--,231963.5,1.0572009005400989
--,272152.5,1.0129451169546788
--,324398.5,1.0650483370111645
--,392318.5,1.0503496365651057
--,480614.0,1.0446606012175232
--,595398.5,1.0380781769916694
--,744618.5,1.025471364960438
--,938604.0,1.0491718014585159
--,1190785.0,1.0167267266850808
--,1518620.5,1.0008244054168383
--,1944807.0,1.025676462186592
--,2498849.0,1.0288094290646737
--,3219104.0,1.0267314401059031
--,4155435.5,1.0253852650072448
--,5372666.0,1.0367693668949323
--,6955066.0,1.0278989505171823
--,9012186.0,1.0352240136124493
