orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.0858426709457527
++,114422.0,1.0365075090891298
++,119349.0,0.994074840214303
++,125754.0,1.021968293902366
++,134080.0,1.0610584428281056
++,144904.0,1.122162437264731
++,158975.5,1.1625357332695216
++,177268.5,1.169048843398016
++,201049.0,1.1767011316723837
++,231963.5,1.2158511050981067
++,272152.5,1.1672747419891931
++,324398.5,1.1951242047188977
++,392318.5,1.2385883068188228
++,480614.0,1.2148998492273704
++,595398.5,1.177619150700808
++,744618.5,1.1650238352083275
++,938604.0,1.1347399460154175
++,1190785.0,1.1014845920680072
++,1518620.5,1.0561197316011681
++,1944807.0,1.0304920400143507
++,2498849.0,1.0042338032461244
++,3219104.0,0.9939201981784742
++,4155435.5,0.9908318675296467
++,5372666.0,0.9946459634771676
++,6955066.0,0.9948708052680753
++,9012186.0,0.9943993054550273
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,0.999474258015178
+-,114422.0,1.0051988882941782
+-,119349.0,0.9961463042635601
+-,125754.0,1.0678234106721354
+-,134080.0,1.1691468675534966
+-,144904.0,1.135940043953159
+-,158975.5,1.2536940842799114
+-,177268.5,1.270343027372901
+-,201049.0,1.2917387593662302
+-,231963.5,1.3261350663716347
+-,272152.5,1.2872111683187564
+-,324398.5,1.2957459528287503
+-,392318.5,1.3320297518246114
+-,480614.0,1.3436684052670942
+-,595398.5,1.2914218861955546
+-,744618.5,1.270438234833158
+-,938604.0,1.2692034182355827
+-,1190785.0,1.2134529230838742
+-,1518620.5,1.134671070254941
+-,1944807.0,1.080282264642532
+-,2498849.0,1.0269394616938783
+-,3219104.0,1.0016515775752655
+-,4155435.5,0.9929346399114282
+-,5372666.0,0.9951537052747712
+-,6955066.0,0.9955118056309955
+-,9012186.0,0.9957456160717735
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9617589020735295
-+,114422.0,0.9371374955373757
-+,119349.0,0.9468516989945713
-+,125754.0,0.9581543679292025
-+,134080.0,1.0360214469637652
-+,144904.0,1.0217579804613852
-+,158975.5,1.0538383247493381
-+,177268.5,1.0776339480421837
-+,201049.0,1.1096142136257687
-+,231963.5,1.118273379223238
-+,272152.5,1.1505578362068702
-+,324398.5,1.1023606909595967
-+,392318.5,1.1314022946160065
-+,480614.0,1.1049519583074257
-+,595398.5,1.0832457794778934
-+,744618.5,1.0747349917947462
-+,938604.0,1.044028433408369
-+,1190785.0,1.0243649006785203
-+,1518620.5,0.9953131968464676
-+,1944807.0,0.9859269844036362
-+,2498849.0,0.982455815929828
-+,3219104.0,0.9868247584269183
-+,4155435.5,0.9896694088746223
-+,5372666.0,0.9941046383828454
-+,6955066.0,0.994600699530099
-+,9012186.0,0.995047783704785
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.9246521215404022
--,114422.0,0.9892955727889188
--,119349.0,0.9505254131052314
--,125754.0,1.0654707598040307
--,134080.0,1.034460674468519
--,144904.0,1.113482012120248
--,158975.5,1.1340230468182235
--,177268.5,1.1729264501716345
--,201049.0,1.1769572196825426
--,231963.5,1.224732615127558
--,272152.5,1.2404485383912802
--,324398.5,1.197873148222157
--,392318.5,1.221164852447952
--,480614.0,1.2126956907559827
--,595398.5,1.172314224052828
--,744618.5,1.179915300511575
--,938604.0,1.1380325425912767
--,1190785.0,1.1151770791299964
--,1518620.5,1.0618023809856414
--,1944807.0,1.0259341223433562
--,2498849.0,1.0006558208458145
--,3219104.0,0.9929604167762934
--,4155435.5,0.9912975567855135
--,5372666.0,0.9938823881324997
--,6955066.0,0.9960184577354172
--,9012186.0,0.9950007280490367
