orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,0.9883597649681979
++,114422.0,0.9825298680466424
++,119349.0,0.9578470710201181
++,125754.0,1.0309835273433658
++,134080.0,1.129257754740408
++,144904.0,1.0629681525539552
++,158975.5,0.9824455408384374
++,177268.5,0.9989490903347452
++,201049.0,1.0019540059714906
++,231963.5,1.043801440310892
++,272152.5,0.9883965482111263
++,324398.5,1.0551816948570247
++,392318.5,1.0227235794420262
++,480614.0,1.00172056616201
++,595398.5,1.0143886660598334
++,744618.5,0.9951435818780112
++,938604.0,0.9965676010484523
++,1190785.0,0.9986663264534242
++,1518620.5,0.9998837000899011
++,1944807.0,0.999534816607811
++,2498849.0,0.9998635277564429
++,3219104.0,0.9998557000302929
++,4155435.5,1.0000001092705995
++,5372666.0,0.9995473878802524
++,6955066.0,0.9996755265713192
++,9012186.0,1.0001652195641122
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,0.9748731160132471
+-,119349.0,0.9924333145769687
+-,125754.0,1.17193751743058
+-,134080.0,1.218342283127666
+-,144904.0,1.1768962490293169
+-,158975.5,1.162619009416424
+-,177268.5,1.2054109651494318
+-,201049.0,1.2054813218936749
+-,231963.5,1.220949664658897
+-,272152.5,1.1033693967734983
+-,324398.5,1.0889876208194527
+-,392318.5,1.0438021874277088
+-,480614.0,1.0302302245321941
+-,595398.5,1.016375107986235
+-,744618.5,1.0073143701040006
+-,938604.0,0.9995635182318234
+-,1190785.0,1.0004065169435463
+-,1518620.5,0.9994239761070648
+-,1944807.0,1.0017351813173434
+-,2498849.0,0.999011625113696
+-,3219104.0,1.0002247266178632
+-,4155435.5,0.9999264397463444
+-,5372666.0,0.9999538504399259
+-,6955066.0,1.0002309891334555
+-,9012186.0,0.9999677742370905
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.0487882923231682
-+,114422.0,0.9859730159672667
-+,119349.0,0.8927027079975713
-+,125754.0,0.9353414414603846
-+,134080.0,0.9474399467366581
-+,144904.0,0.9110974273374841
-+,158975.5,0.9538104958673664
-+,177268.5,0.9791124889901281
-+,201049.0,0.995016036994444
-+,231963.5,0.9998316903570765
-+,272152.5,0.9811032467385132
-+,324398.5,1.0204520861305437
-+,392318.5,0.980690162536573
-+,480614.0,0.9840901701302911
-+,595398.5,1.0014193870077226
-+,744618.5,0.9950364203798738
-+,938604.0,1.0005388167732399
-+,1190785.0,0.9979426184817325
-+,1518620.5,0.9976906292516788
-+,1944807.0,1.000929451490666
-+,2498849.0,1.0006625417337651
-+,3219104.0,1.0000942525810892
-+,4155435.5,0.9993945652700785
-+,5372666.0,1.000643217985011
-+,6955066.0,0.9996835586952262
-+,9012186.0,0.9996494896812331
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.839350369647123
--,114422.0,1.039607517866105
--,119349.0,0.9721526999093899
--,125754.0,1.0804073750086767
--,134080.0,0.9632397868553182
--,144904.0,1.0188633604494641
--,158975.5,1.0063072225226624
--,177268.5,1.0441256369002965
--,201049.0,1.0568517872489074
--,231963.5,1.0603808579346987
--,272152.5,1.0147668687659233
--,324398.5,0.9996242645770029
--,392318.5,1.018498228576734
--,480614.0,1.005808435875484
--,595398.5,1.0059581956781292
--,744618.5,1.0037560584816696
--,938604.0,1.0037939550672095
--,1190785.0,1.0021223320049413
--,1518620.5,0.9987751142671598
--,1944807.0,1.001513101249794
--,2498849.0,0.9999477171337798
--,3219104.0,1.0005291824248788
--,4155435.5,0.9999609145771884
--,5372666.0,1.0006692993815516
--,6955066.0,0.9995934173356306
--,9012186.0,0.9989872939382949
