orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.022997105405478
++,114422.0,0.9630342997053712
++,119349.0,0.9416406143942542
++,125754.0,1.024890734885175
++,134080.0,1.1370264386730757
++,144904.0,1.0583480343372416
++,158975.5,0.9867355521448856
++,177268.5,0.9806100276217138
++,201049.0,1.0125928451434127
++,231963.5,1.0594999375240222
++,272152.5,1.000280349210283
++,324398.5,1.0581305890689654
++,392318.5,1.0253865277166268
++,480614.0,0.9993270666819134
++,595398.5,1.0156545247154418
++,744618.5,0.9995401774701752
++,938604.0,0.997109774348739
++,1190785.0,1.0002851522453189
++,1518620.5,1.0004205402454232
++,1944807.0,0.9996376068701383
++,2498849.0,0.9987157367730609
++,3219104.0,0.9999102242100693
++,4155435.5,1.0003935109431317
++,5372666.0,0.9990832139664166
++,6955066.0,0.9997080048452778
++,9012186.0,0.9998842141890432
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.020429793225142
+-,119349.0,0.9830523984886919
+-,125754.0,1.1690270492885573
+-,134080.0,1.2187643369103363
+-,144904.0,1.1701249682309582
+-,158975.5,1.1423623185779002
+-,177268.5,1.2037427974208494
+-,201049.0,1.2101571951832986
+-,231963.5,1.2264806644715103
+-,272152.5,1.1011009588299605
+-,324398.5,1.073957891944687
+-,392318.5,1.0351364827837581
+-,480614.0,1.032990633954844
+-,595398.5,1.0219714703811575
+-,744618.5,1.0017499914565693
+-,938604.0,1.000685783166113
+-,1190785.0,1.0009860899909246
+-,1518620.5,0.9989817796333345
+-,1944807.0,1.0006945156936753
+-,2498849.0,0.9986625450215408
+-,3219104.0,0.9994587647172481
+-,4155435.5,0.9996210294408441
+-,5372666.0,0.9995448387771408
+-,6955066.0,0.999829840585784
+-,9012186.0,0.9993474759285824
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.0554167793877534
-+,114422.0,0.9306970673925633
-+,119349.0,0.8849244915363423
-+,125754.0,0.9160352613288236
-+,134080.0,0.9666818841732971
-+,144904.0,0.912253835874498
-+,158975.5,0.9495295973003679
-+,177268.5,0.9633255631500348
-+,201049.0,1.0025183824074742
-+,231963.5,1.0001100705488755
-+,272152.5,0.9821475326732523
-+,324398.5,1.0204497152283418
-+,392318.5,0.981796087385111
-+,480614.0,0.981976456777369
-+,595398.5,0.9963978094733973
-+,744618.5,0.9993294865502487
-+,938604.0,1.0023087990085464
-+,1190785.0,0.9980775841872787
-+,1518620.5,0.9983344873293879
-+,1944807.0,1.0003062933383566
-+,2498849.0,1.0002467726547357
-+,3219104.0,1.0007636461621594
-+,4155435.5,0.9995552424910963
-+,5372666.0,1.0008209974340818
-+,6955066.0,0.9997756568708074
-+,9012186.0,0.9997875530383341
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.8303085300672222
--,114422.0,0.9564064090715003
--,119349.0,0.9722034290410122
--,125754.0,1.0555644452611905
--,134080.0,0.9567520331758805
--,144904.0,1.0273824809345973
--,158975.5,0.9989194090057779
--,177268.5,1.0311054448096997
--,201049.0,1.0421506755664645
--,231963.5,1.0572281157055394
--,272152.5,1.0070333368806126
--,324398.5,1.0047443357573753
--,392318.5,1.009024334366235
--,480614.0,1.0082023478831565
--,595398.5,1.0047079629365616
--,744618.5,0.9988856503395092
--,938604.0,1.006761364339189
--,1190785.0,1.0012504035978018
--,1518620.5,0.999151524436151
--,1944807.0,0.9999791728463423
--,2498849.0,0.9991104828365963
--,3219104.0,0.9999703355912247
--,4155435.5,0.9995271195084806
--,5372666.0,1.0006362663431994
--,6955066.0,0.999396645503381
--,9012186.0,0.9989810068012658
