orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.1334617840631345
++,114422.0,1.1366185206942048
++,119349.0,1.1553688589668174
++,125754.0,1.1378276147575401
++,134080.0,1.056752324012864
++,144904.0,1.35963087149215
++,158975.5,1.107549978684001
++,177268.5,1.0393191866057774
++,201049.0,1.0524882598928376
++,231963.5,1.1171754950477446
++,272152.5,1.0625410431378277
++,324398.5,1.0354201907615004
++,392318.5,1.0942311988420852
++,480614.0,0.9705449052548184
++,595398.5,0.9602382627466594
++,744618.5,1.0739877259805075
++,938604.0,0.9600426522956008
++,1190785.0,1.1169342921772414
++,1518620.5,1.0172672432256298
++,1944807.0,0.953400968222729
++,2498849.0,0.974154416801283
++,3219104.0,0.9005770487401776
++,4155435.5,1.131752004969954
++,5372666.0,1.0499750654780347
++,6955066.0,1.1021377619173827
++,9012186.0,0.9376405966314507
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.1281752443180302
+-,119349.0,1.030535849576971
+-,125754.0,1.4551496428956892
+-,134080.0,1.4872181253883041
+-,144904.0,1.2477110412464776
+-,158975.5,1.3558527479173752
+-,177268.5,1.258027965206304
+-,201049.0,1.2560298845664415
+-,231963.5,1.3842063010856536
+-,272152.5,1.1987852780883943
+-,324398.5,1.2298858499852043
+-,392318.5,1.1919244599818903
+-,480614.0,1.1743547538004973
+-,595398.5,1.1352729025059034
+-,744618.5,0.9450324988502494
+-,938604.0,0.9965199178599903
+-,1190785.0,1.2130344066679144
+-,1518620.5,1.0650165694923097
+-,1944807.0,1.1246881861816542
+-,2498849.0,0.9779022794039499
+-,3219104.0,0.9541953045160336
+-,4155435.5,1.0162883727199206
+-,5372666.0,1.1477816181263287
+-,6955066.0,0.9909129145157303
+-,9012186.0,1.0300864982259221
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.4260842282721469
-+,114422.0,1.0723810268525782
-+,119349.0,0.9057894096406169
-+,125754.0,1.059580157407521
-+,134080.0,0.9271423082442837
-+,144904.0,1.0681915169296627
-+,158975.5,0.9696347913267449
-+,177268.5,0.9718985912492538
-+,201049.0,1.031750058342027
-+,231963.5,1.0298703285156487
-+,272152.5,0.9541860029184579
-+,324398.5,1.0103759721784702
-+,392318.5,0.9928946328423489
-+,480614.0,0.9347534458260934
-+,595398.5,0.9604277919702604
-+,744618.5,0.9888404068653635
-+,938604.0,0.9527707270298048
-+,1190785.0,1.002784654022537
-+,1518620.5,1.0271530367411805
-+,1944807.0,1.0296124045732944
-+,2498849.0,1.0332135692791797
-+,3219104.0,1.0631938684217443
-+,4155435.5,1.0197889703664769
-+,5372666.0,1.198614900241248
-+,6955066.0,1.1156855768307867
-+,9012186.0,1.0968187026738616
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.033693990912915
--,114422.0,1.3403135401063522
--,119349.0,0.9460579409833206
--,125754.0,1.2687607089417847
--,134080.0,0.9144196044244859
--,144904.0,1.1376926394399969
--,158975.5,1.1268291723106296
--,177268.5,1.198916040250947
--,201049.0,1.1370806739292605
--,231963.5,1.086492526005909
--,272152.5,1.0130712492690628
--,324398.5,0.9361003334177059
--,392318.5,1.0081999686584406
--,480614.0,1.1344505784866226
--,595398.5,0.971993211128908
--,744618.5,1.1291473748801275
--,938604.0,0.9665587675337252
--,1190785.0,1.082432676776445
--,1518620.5,1.0591491685928158
--,1944807.0,1.046097745074121
--,2498849.0,0.8751571998892739
--,3219104.0,1.068244539899458
--,4155435.5,1.2698271095715779
--,5372666.0,1.059929761780626
--,6955066.0,1.0941586126301324
--,9012186.0,1.0033226800704322
