orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.167911546859544
++,114422.0,1.3433057416172658
++,119349.0,1.180125598496083
++,125754.0,1.138268417643866
++,134080.0,1.403889627457148
++,144904.0,1.2952370561309237
++,158975.5,1.1507824086412857
++,177268.5,1.084999331939937
++,201049.0,1.2001757664603376
++,231963.5,1.2319837499993138
++,272152.5,1.273687388319596
++,324398.5,1.4215726383404474
++,392318.5,1.3690876631149214
++,480614.0,1.1991125450098736
++,595398.5,1.1602097446300992
++,744618.5,1.1809303175618697
++,938604.0,1.17587527155758
++,1190785.0,1.1927496019848234
++,1518620.5,1.1128573680071008
++,1944807.0,1.0974940936466873
++,2498849.0,0.9780372908501577
++,3219104.0,0.9495316471754675
++,4155435.5,0.9027360156945301
++,5372666.0,0.9178881128525737
++,6955066.0,0.8599562988987738
++,9012186.0,0.9556876909601937
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.1803909534207078
+-,119349.0,1.1925606721440738
+-,125754.0,1.27969597631908
+-,134080.0,1.4399687789925073
+-,144904.0,1.2864685096911486
+-,158975.5,1.3426408323904058
+-,177268.5,1.2781390405098918
+-,201049.0,1.3455712425545505
+-,231963.5,1.496184079303251
+-,272152.5,1.3163654278359758
+-,324398.5,1.3611578289454556
+-,392318.5,1.330777013515029
+-,480614.0,1.4424637592210614
+-,595398.5,1.3758980434384922
+-,744618.5,1.3199920321943297
+-,938604.0,1.403590819141949
+-,1190785.0,1.3040510850541236
+-,1518620.5,1.2509121896744648
+-,1944807.0,1.261770254721616
+-,2498849.0,0.9461970670818869
+-,3219104.0,0.9366464201661329
+-,4155435.5,0.9130454031058091
+-,5372666.0,0.8457881130481559
+-,6955066.0,0.874391037942696
+-,9012186.0,0.8890091659420187
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.4586276411933354
-+,114422.0,1.359081779660182
-+,119349.0,1.034945530416498
-+,125754.0,1.1664317125779735
-+,134080.0,0.9906007302102913
-+,144904.0,1.1009818450324576
-+,158975.5,1.1319085971100935
-+,177268.5,1.11223462489516
-+,201049.0,1.2788292431832715
-+,231963.5,1.1899568855601381
-+,272152.5,1.1746854291022466
-+,324398.5,1.406892489788442
-+,392318.5,1.065770502223879
-+,480614.0,1.166030717673718
-+,595398.5,1.2201664353176258
-+,744618.5,1.1086401626845233
-+,938604.0,1.1048106252715053
-+,1190785.0,1.0733102727269215
-+,1518620.5,1.0226540572289016
-+,1944807.0,0.9154240900323523
-+,2498849.0,0.9299385452528213
-+,3219104.0,0.9692393056048315
-+,4155435.5,0.855685559345526
-+,5372666.0,0.8906978249017405
-+,6955066.0,0.891970011679527
-+,9012186.0,0.8827661987162034
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0223045510160191
--,114422.0,1.7463878183680583
--,119349.0,1.143982305904521
--,125754.0,1.3830799487910779
--,134080.0,1.0607612910056639
--,144904.0,1.1253406284344891
--,158975.5,1.1678357121460847
--,177268.5,1.186338551178012
--,201049.0,1.2788947918668496
--,231963.5,1.1947763804505545
--,272152.5,1.2810830622051912
--,324398.5,1.3052314071649005
--,392318.5,1.3004805023368315
--,480614.0,1.3304260121844202
--,595398.5,1.3167636616226543
--,744618.5,1.248222048785635
--,938604.0,1.2824303787105529
--,1190785.0,1.123065186834452
--,1518620.5,1.0452261414300457
--,1944807.0,1.0279091020934348
--,2498849.0,0.9664256856395308
--,3219104.0,0.9351694891070477
--,4155435.5,0.8557815809870082
--,5372666.0,0.8923495568085589
--,6955066.0,0.9144987314400919
--,9012186.0,0.8641608041271702
