orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,0.9437112720572252
++,114422.0,0.8728203550338198
++,119349.0,0.9194591035253044
++,125754.0,0.9829482151153064
++,134080.0,1.0025438694464974
++,144904.0,1.018301456374675
++,158975.5,1.0113788330856983
++,177268.5,0.9803186494789649
++,201049.0,1.045304117516491
++,231963.5,1.0489740884903749
++,272152.5,1.0399349192947371
++,324398.5,1.0685612596598144
++,392318.5,1.0705391832733788
++,480614.0,1.0359698648024709
++,595398.5,1.0328765581838388
++,744618.5,1.027531823107575
++,938604.0,1.0340431024506032
++,1190785.0,1.0245567654811198
++,1518620.5,1.018317704175832
++,1944807.0,1.012853430913296
++,2498849.0,1.0097598090865532
++,3219104.0,1.0029795155348107
++,4155435.5,1.0030327822468
++,5372666.0,1.000389488481084
++,6955066.0,0.9998914341564631
++,9012186.0,0.999690374249479
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,0.9556762884310659
+-,119349.0,0.9092951522028956
+-,125754.0,0.9493039651687785
+-,134080.0,1.020141197029372
+-,144904.0,0.9743825628835097
+-,158975.5,1.0378702010875207
+-,177268.5,1.028205543006149
+-,201049.0,1.0762308516482062
+-,231963.5,1.1113383736498021
+-,272152.5,1.0638124006708198
+-,324398.5,1.080525831258223
+-,392318.5,1.05612209821409
+-,480614.0,1.070755760571019
+-,595398.5,1.0486948021457376
+-,744618.5,1.0424640575047177
+-,938604.0,1.0429115434028047
+-,1190785.0,1.0374480931235492
+-,1518620.5,1.0344413809235011
+-,1944807.0,1.0245391251605942
+-,2498849.0,1.0110724530681021
+-,3219104.0,1.0059051046911642
+-,4155435.5,1.0031770179624457
+-,5372666.0,1.001174973641108
+-,6955066.0,0.9999713173387893
+-,9012186.0,0.9995472123968697
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9379840513012634
-+,114422.0,0.911150826480215
-+,119349.0,0.8906946300965991
-+,125754.0,0.92170645380115
-+,134080.0,0.9483160410582987
-+,144904.0,0.9832344502968773
-+,158975.5,1.0194023643532164
-+,177268.5,1.0167020931467352
-+,201049.0,1.0396900727543086
-+,231963.5,1.0329622783489063
-+,272152.5,1.0384262295946425
-+,324398.5,1.0510836532250554
-+,392318.5,1.0152260454105713
-+,480614.0,1.0324566120461465
-+,595398.5,1.0305635434793676
-+,744618.5,1.020840332643047
-+,938604.0,1.0197038195042218
-+,1190785.0,1.014232442042859
-+,1518620.5,1.0135235653106034
-+,1944807.0,1.0079787382893965
-+,2498849.0,1.0047435133710885
-+,3219104.0,1.002205441157689
-+,4155435.5,1.0005533304565486
-+,5372666.0,0.9990583425239277
-+,6955066.0,0.9997671025107528
-+,9012186.0,0.9993603385011222
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.8663700622994649
--,114422.0,0.9750181817472983
--,119349.0,0.9027488818834778
--,125754.0,0.9583560679923138
--,134080.0,0.9047055200968117
--,144904.0,0.9703861902828904
--,158975.5,0.9709622724481701
--,177268.5,1.0222321406676662
--,201049.0,1.052155022445949
--,231963.5,1.061774976371434
--,272152.5,1.0492248500389936
--,324398.5,1.0462905684327048
--,392318.5,1.045511671791423
--,480614.0,1.0431437556355243
--,595398.5,1.0308273169693778
--,744618.5,1.0370356110483092
--,938604.0,1.032598537447408
--,1190785.0,1.0223935922209946
--,1518620.5,1.0133098226016666
--,1944807.0,1.009403319884529
--,2498849.0,1.0110256872185517
--,3219104.0,1.0025704117260283
--,4155435.5,1.001203097816961
--,5372666.0,1.0000226361445774
--,6955066.0,0.999838842186467
--,9012186.0,0.9990990780533096
