orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,0.9765658354744476
++,114422.0,0.9756286905769792
++,119349.0,0.9316994272502362
++,125754.0,0.9294714002868225
++,134080.0,1.0355914154203756
++,144904.0,1.0742623489502907
++,158975.5,1.0693335839120368
++,177268.5,1.0359574772253057
++,201049.0,1.1107401993437354
++,231963.5,1.1145606357708981
++,272152.5,1.061112754957249
++,324398.5,1.1182123315090968
++,392318.5,1.111274737512971
++,480614.0,1.0788863338459143
++,595398.5,1.068433507696733
++,744618.5,1.0599687692372588
++,938604.0,1.0392806834672181
++,1190785.0,1.0206078722376073
++,1518620.5,1.009589936106643
++,1944807.0,1.0045251557412895
++,2498849.0,0.9982799543178142
++,3219104.0,0.9980655977037606
++,4155435.5,0.9991540898910722
++,5372666.0,0.9998503425120866
++,6955066.0,0.9993097991201318
++,9012186.0,0.998958093413687
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,0.944394533232656
+-,119349.0,0.9348957836363819
+-,125754.0,1.001093063131734
+-,134080.0,1.0618891358867333
+-,144904.0,1.0622920325313618
+-,158975.5,1.1692084826723281
+-,177268.5,1.1207926657284424
+-,201049.0,1.2243997433079894
+-,231963.5,1.2522714637242691
+-,272152.5,1.1364622778552464
+-,324398.5,1.177592154693963
+-,392318.5,1.112445760717007
+-,480614.0,1.186584475362302
+-,595398.5,1.1077119430441444
+-,744618.5,1.088674245672058
+-,938604.0,1.0747349740058902
+-,1190785.0,1.056164900917778
+-,1518620.5,1.0287038099632497
+-,1944807.0,1.0190967999450762
+-,2498849.0,1.0024448216057003
+-,3219104.0,0.9987710167253574
+-,4155435.5,0.999429433652584
+-,5372666.0,0.999321413247447
+-,6955066.0,0.9992519561267746
+-,9012186.0,0.9991462429245519
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9307305431023265
-+,114422.0,0.9695458907596104
-+,119349.0,0.9137600744320071
-+,125754.0,0.933347564347638
-+,134080.0,1.0141495217617256
-+,144904.0,0.9738215689760668
-+,158975.5,0.9975506500141602
-+,177268.5,1.0385890764120815
-+,201049.0,1.0719425061726287
-+,231963.5,1.030529881123768
-+,272152.5,1.0550729181466765
-+,324398.5,1.0787566382932277
-+,392318.5,1.0180108166788784
-+,480614.0,1.0389385220058018
-+,595398.5,1.0343917803796359
-+,744618.5,1.0149478566239396
-+,938604.0,1.0105497401930115
-+,1190785.0,1.00374668751616
-+,1518620.5,1.0007127425843434
-+,1944807.0,0.9973780895956814
-+,2498849.0,0.9964236896203134
-+,3219104.0,0.9977019022647129
-+,4155435.5,0.9991640468723172
-+,5372666.0,0.9994704138623917
-+,6955066.0,0.9994540862511208
-+,9012186.0,0.9993079439341972
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.834816370054836
--,114422.0,1.02355043349144
--,119349.0,0.9742759242001392
--,125754.0,1.02804812060523
--,134080.0,0.9212816164500249
--,144904.0,1.024700565268353
--,158975.5,1.0324360611892849
--,177268.5,1.0515275276980782
--,201049.0,1.096217022053947
--,231963.5,1.07843565023155
--,272152.5,1.1087693994632835
--,324398.5,1.074624307961201
--,392318.5,1.07681594993633
--,480614.0,1.096451698443329
--,595398.5,1.0618339426686534
--,744618.5,1.0554146870115453
--,938604.0,1.0338680848702113
--,1190785.0,1.0254788000798005
--,1518620.5,1.0084111511689526
--,1944807.0,1.0044294418655255
--,2498849.0,0.998932173457305
--,3219104.0,0.9982825160998328
--,4155435.5,0.9984869247136149
--,5372666.0,0.9993040117455593
--,6955066.0,0.9992452405011663
--,9012186.0,0.9993998662837892
