orientation,dist,peak_score
++,203375.0,1.158328167319062
++,207931.0,1.240502873372818
++,210706.5,1.1892586112892802
++,214454.0,1.182816508423586
++,219513.5,1.1144993348191472
++,226343.5,1.1999111429686387
++,235563.5,1.2318863170637284
++,248011.0,1.09285269093431
++,264815.0,1.1421046197679323
++,287500.0,1.116122951634105
++,318125.5,1.169254772853621
++,359469.5,1.1110861120510633
++,415284.0,1.1058973637165819
++,490634.0,1.080816411801056
++,592356.0,1.0281877251010985
++,729680.5,1.001361223784431
++,915069.0,0.9968903632554259
++,1165343.5,1.001999807056019
++,1503213.5,0.9975159737918997
++,1959338.0,0.9919098670742528
++,2575106.5,0.998078871050386
++,3406394.5,0.9978271498328561
++,4528633.0,0.9970819101541167
+-,203375.0,1.4072272765004616
+-,207931.0,1.3623459275353618
+-,210706.5,1.538848977870709
+-,214454.0,1.3520411357813216
+-,219513.5,1.6346700326258417
+-,226343.5,1.5412554946941137
+-,235563.5,1.3335922882340105
+-,248011.0,1.3904555909623357
+-,264815.0,1.3612995114336681
+-,287500.0,1.3503490317944822
+-,318125.5,1.3018359735534584
+-,359469.5,1.30889413820754
+-,415284.0,1.2478655312088518
+-,490634.0,1.1813223602205438
+-,592356.0,1.1004719348159049
+-,729680.5,1.0653986813302236
+-,915069.0,1.0243615706385003
+-,1165343.5,1.0183161976516564
+-,1503213.5,1.0004370862985856
+-,1959338.0,0.9976594272125983
+-,2575106.5,0.9989077583666964
+-,3406394.5,0.9958696746924243
+-,4528633.0,0.9983454911092113
-+,203375.0,1.0456385362980876
-+,207931.0,1.012768825125827
-+,210706.5,1.122367000023062
-+,214454.0,1.0141898530875306
-+,219513.5,1.057358289731002
-+,226343.5,1.0707546085254938
-+,235563.5,1.0814119106028408
-+,248011.0,1.0978551124936005
-+,264815.0,1.0353085907146542
-+,287500.0,1.0416312849109337
-+,318125.5,1.0264285101798423
-+,359469.5,1.0222181097544472
-+,415284.0,1.020909695168839
-+,490634.0,0.9794728618393871
-+,592356.0,0.9942792876028212
-+,729680.5,0.9812036948989346
-+,915069.0,0.9845668962401034
-+,1165343.5,0.9898307617611214
-+,1503213.5,0.9914972337708257
-+,1959338.0,0.9980898329173841
-+,2575106.5,0.9976856137538402
-+,3406394.5,0.9985971857395806
-+,4528633.0,0.9978030894646198
--,203375.0,1.1228722971366627
--,207931.0,1.0900856514971928
--,210706.5,1.2508185621018404
--,214454.0,1.1352546369005607
--,219513.5,1.2896154862321323
--,226343.5,1.2990543507734258
--,235563.5,1.3134615412948154
--,248011.0,1.1748847035443224
--,264815.0,1.1997383479938677
--,287500.0,1.15211934765424
--,318125.5,1.1107051102406167
--,359469.5,1.1589332834892685
--,415284.0,1.0886131803576111
--,490634.0,1.0582598951798792
--,592356.0,1.032235943396484
--,729680.5,1.0147688320941999
--,915069.0,0.9982770731979886
--,1165343.5,0.9969496704152211
--,1503213.5,0.9941643078577691
--,1959338.0,1.0038939928744863
--,2575106.5,0.9948764729933394
--,3406394.5,0.9973937363702571
--,4528633.0,0.9967056589892859
