orientation,dist,peak_score
++,93375.0,nan
++,97931.0,nan
++,100706.5,nan
++,104454.0,nan
++,109513.5,nan
++,116343.5,nan
++,125563.5,nan
++,138011.0,nan
++,154815.0,nan
++,177500.0,nan
++,208125.5,nan
++,249469.5,nan
++,305284.0,nan
++,380634.0,nan
++,482356.0,nan
++,619680.5,nan
++,805069.0,nan
++,1055343.5,nan
++,1393213.5,nan
++,1849338.0,nan
++,2465106.5,nan
++,3296394.5,nan
++,4418633.0,nan
+-,93375.0,nan
+-,97931.0,nan
+-,100706.5,nan
+-,104454.0,nan
+-,109513.5,nan
+-,116343.5,nan
+-,125563.5,nan
+-,138011.0,nan
+-,154815.0,nan
+-,177500.0,nan
+-,208125.5,nan
+-,249469.5,nan
+-,305284.0,nan
+-,380634.0,nan
+-,482356.0,nan
+-,619680.5,nan
+-,805069.0,nan
+-,1055343.5,nan
+-,1393213.5,nan
+-,1849338.0,nan
+-,2465106.5,nan
+-,3296394.5,nan
+-,4418633.0,nan
-+,93375.0,nan
-+,97931.0,nan
-+,100706.5,nan
-+,104454.0,nan
-+,109513.5,nan
-+,116343.5,nan
-+,125563.5,nan
-+,138011.0,nan
-+,154815.0,nan
-+,177500.0,nan
-+,208125.5,nan
-+,249469.5,nan
-+,305284.0,nan
-+,380634.0,nan
-+,482356.0,nan
-+,619680.5,nan
-+,805069.0,nan
-+,1055343.5,nan
-+,1393213.5,nan
-+,1849338.0,nan
-+,2465106.5,nan
-+,3296394.5,nan
-+,4418633.0,nan
--,93375.0,nan
--,97931.0,nan
--,100706.5,nan
--,104454.0,nan
--,109513.5,nan
--,116343.5,nan
--,125563.5,nan
--,138011.0,nan
--,154815.0,nan
--,177500.0,nan
--,208125.5,nan
--,249469.5,nan
--,305284.0,nan
--,380634.0,nan
--,482356.0,nan
--,619680.5,nan
--,805069.0,nan
--,1055343.5,nan
--,1393213.5,nan
--,1849338.0,nan
--,2465106.5,nan
--,3296394.5,nan
--,4418633.0,nan
