orientation,dist,peak_score
++,106500.0,1.114318527444722
++,109950.0,1.099234374684436
++,114435.0,1.0932925870331267
++,120265.5,1.1022816576303422
++,127845.0,1.097935619141233
++,137698.5,1.0932813180538854
++,150508.0,1.0823623524258332
++,167160.5,1.0800620387094981
++,188808.5,1.0742647883360175
++,216951.0,1.056295877114303
++,253537.0,1.0515473342068
++,301098.0,1.0389185646616856
++,362927.5,1.0366690248771908
++,443306.0,1.0339219169163734
++,547797.5,1.0248492694466063
++,683637.0,1.0132830623153861
++,860228.5,1.0120287584646226
++,1089797.5,1.0165199311199786
++,1388237.0,1.0112713819294261
++,1776208.0,1.015911622647278
++,2280570.5,1.0060384092742543
++,2936241.5,1.0185575602576968
++,3788614.0,1.0174345130454991
++,4896698.5,0.9981601303264025
++,6337208.5,1.0223794490966838
++,8209871.5,1.0146239699084458
++,10644332.5,1.0063697032492218
+-,106500.0,1.2295887625577693
+-,109950.0,1.188417490432499
+-,114435.0,1.2147349755645225
+-,120265.5,1.1994974169347952
+-,127845.0,1.2022397017798616
+-,137698.5,1.1723526162821716
+-,150508.0,1.1576817157717505
+-,167160.5,1.15077593464389
+-,188808.5,1.151041211771511
+-,216951.0,1.1266530299868072
+-,253537.0,1.1110881811961029
+-,301098.0,1.0776337501164108
+-,362927.5,1.0606260208998752
+-,443306.0,1.0544590562409366
+-,547797.5,1.030437386035799
+-,683637.0,1.029229512477973
+-,860228.5,1.0335827372382917
+-,1089797.5,1.0139364037318053
+-,1388237.0,1.0198660969386302
+-,1776208.0,1.0197246871641439
+-,2280570.5,1.0094370197929943
+-,2936241.5,1.0076887426583643
+-,3788614.0,1.0145010780906423
+-,4896698.5,1.0047133362091751
+-,6337208.5,1.0172280184881612
+-,8209871.5,1.0130976423356661
+-,10644332.5,1.0075849271043715
-+,106500.0,1.0356864113507684
-+,109950.0,1.027780978874865
-+,114435.0,1.028677060321706
-+,120265.5,1.0272422752461399
-+,127845.0,1.0158014913415052
-+,137698.5,1.025222310028419
-+,150508.0,1.0222594023138738
-+,167160.5,1.0234124424527309
-+,188808.5,1.0205722251890539
-+,216951.0,1.019988616869021
-+,253537.0,1.0242824085480058
-+,301098.0,1.0135997911828059
-+,362927.5,0.9995073591775214
-+,443306.0,1.0141738071763133
-+,547797.5,1.0178903113597544
-+,683637.0,1.0152023012062898
-+,860228.5,1.0116846455249227
-+,1089797.5,1.0155551695690175
-+,1388237.0,1.0162008080247789
-+,1776208.0,1.014142083657187
-+,2280570.5,1.0069971218676184
-+,2936241.5,1.0101708040908437
-+,3788614.0,1.0159133291479816
-+,4896698.5,1.0102453646899792
-+,6337208.5,1.0232544072620937
-+,8209871.5,1.0131567086256457
-+,10644332.5,1.0065699442003924
--,106500.0,1.1046760657446548
--,109950.0,1.1086745076416287
--,114435.0,1.096126178344934
--,120265.5,1.0835348999052457
--,127845.0,1.0880140169218526
--,137698.5,1.1101519015095742
--,150508.0,1.081149272476252
--,167160.5,1.0728293282466033
--,188808.5,1.0904459290699302
--,216951.0,1.071300219356749
--,253537.0,1.0591621971944534
--,301098.0,1.0368763435567008
--,362927.5,1.0163233119649386
--,443306.0,1.0342130920140076
--,547797.5,1.0211172685336842
--,683637.0,1.0189640023659081
--,860228.5,1.0213306995655678
--,1089797.5,1.014851662358672
--,1388237.0,1.0188008711758991
--,1776208.0,1.0178280199220644
--,2280570.5,1.0115935156042375
--,2936241.5,1.0071726774116168
--,3788614.0,1.0177699553086563
--,4896698.5,1.0112091787911333
--,6337208.5,1.022820027304771
--,8209871.5,1.0110642416535291
--,10644332.5,0.9981198524616157
