orientation,dist,peak_score
++,106500.0,0.9947993330756281
++,109950.0,0.9877788961527535
++,114435.0,1.0026726733819615
++,120265.5,1.0221910383452513
++,127845.0,1.038212829967515
++,137698.5,1.0555391671299827
++,150508.0,1.064738887413538
++,167160.5,1.0774505296879515
++,188808.5,1.090692857759604
++,216951.0,1.0981544719987557
++,253537.0,1.1059582980580702
++,301098.0,1.1077455815446822
++,362927.5,1.1121431638377453
++,443306.0,1.110704457038022
++,547797.5,1.0974371055562602
++,683637.0,1.0841467643840499
++,860228.5,1.065873460749161
++,1089797.5,1.0440672685354313
++,1388237.0,1.02748896121957
++,1776208.0,1.0119662141224923
++,2280570.5,1.000955546147952
++,2936241.5,0.996809841866239
++,3788614.0,0.9964395859343881
++,4896698.5,0.9971881421197581
++,6337208.5,0.9975076706044204
++,8209871.5,0.9977356079513537
++,10644332.5,0.9978681761724807
+-,106500.0,1.0286351266084313
+-,109950.0,1.0093537262325978
+-,114435.0,1.045963919418444
+-,120265.5,1.0501714304505492
+-,127845.0,1.0677714888006662
+-,137698.5,1.0838953032694056
+-,150508.0,1.0895216977327888
+-,167160.5,1.1087250349961766
+-,188808.5,1.1296120576977873
+-,216951.0,1.1343230266243438
+-,253537.0,1.1488981458013208
+-,301098.0,1.1456580664809746
+-,362927.5,1.1508114534867553
+-,443306.0,1.1486165941425903
+-,547797.5,1.1316512549566298
+-,683637.0,1.1195604442984268
+-,860228.5,1.0978006397853775
+-,1089797.5,1.0711851724661046
+-,1388237.0,1.0477858864623313
+-,1776208.0,1.0222822650148595
+-,2280570.5,1.0064134799187263
+-,2936241.5,0.9980809695102506
+-,3788614.0,0.9974220075190441
+-,4896698.5,0.9971224933783958
+-,6337208.5,0.997527523661839
+-,8209871.5,0.9979748451771812
+-,10644332.5,0.9980994420353322
-+,106500.0,0.9677887252263936
-+,109950.0,0.9736694487459027
-+,114435.0,0.9841509388291921
-+,120265.5,0.9926405017084848
-+,127845.0,1.010682404546551
-+,137698.5,1.0304462826878145
-+,150508.0,1.039501992693988
-+,167160.5,1.0506939450681168
-+,188808.5,1.0533423418415735
-+,216951.0,1.0692100942594358
-+,253537.0,1.0769070154053386
-+,301098.0,1.0742995788959866
-+,362927.5,1.0741039680861095
-+,443306.0,1.0738966609478375
-+,547797.5,1.068203577648068
-+,683637.0,1.0492716569119733
-+,860228.5,1.0358210981171538
-+,1089797.5,1.0210164931818657
-+,1388237.0,1.0105536677408293
-+,1776208.0,1.0018060961883326
-+,2280570.5,0.9974706655825184
-+,2936241.5,0.9963978955934033
-+,3788614.0,0.9957562546266879
-+,4896698.5,0.9972788736167384
-+,6337208.5,0.997117974141015
-+,8209871.5,0.9976714239588402
-+,10644332.5,0.9979799040351887
--,106500.0,0.997358346935131
--,109950.0,0.9966858020670305
--,114435.0,1.018450915365844
--,120265.5,1.0209671362616264
--,127845.0,1.045339438560038
--,137698.5,1.0615710966569056
--,150508.0,1.0665019626651326
--,167160.5,1.0740643222563642
--,188808.5,1.0950167359728766
--,216951.0,1.0992450074730564
--,253537.0,1.1142308855137375
--,301098.0,1.1091212706612092
--,362927.5,1.109650745415908
--,443306.0,1.1105698757169216
--,547797.5,1.0978251312042742
--,683637.0,1.0845850941537916
--,860228.5,1.065059968829693
--,1089797.5,1.0458962602379493
--,1388237.0,1.0281245869544582
--,1776208.0,1.0097952010077798
--,2280570.5,1.0028599334915016
--,2936241.5,0.997469679638171
--,3788614.0,0.9965378491098518
--,4896698.5,0.9967292892772014
--,6337208.5,0.9969909267882349
--,8209871.5,0.9979571985895377
--,10644332.5,0.9981680466889421
