orientation,dist,peak_score
++,106500.0,1.1022175883021421
++,109950.0,1.1008342891685479
++,114435.0,1.1135653929982854
++,120265.5,1.1312942135087476
++,127845.0,1.1353435538885923
++,137698.5,1.1449881187709268
++,150508.0,1.1429536669314522
++,167160.5,1.1453380753975058
++,188808.5,1.1535094612430914
++,216951.0,1.1547497482235962
++,253537.0,1.1597024902696589
++,301098.0,1.1562551026934702
++,362927.5,1.1640823919911134
++,443306.0,1.1665413310261845
++,547797.5,1.1517177464112065
++,683637.0,1.1439729741717375
++,860228.5,1.1304500491054195
++,1089797.5,1.1081747106335615
++,1388237.0,1.0908156188558606
++,1776208.0,1.0576811071218217
++,2280570.5,1.0082216884027495
++,2936241.5,0.9655165637218344
++,3788614.0,0.9434501626320675
++,4896698.5,0.9410052884666158
++,6337208.5,0.9319047898306736
++,8209871.5,0.9282502339263917
++,10644332.5,0.9296784027637048
+-,106500.0,1.148618958715224
+-,109950.0,1.1319445504740733
+-,114435.0,1.1740144443520357
+-,120265.5,1.1716584443819826
+-,127845.0,1.18180457587735
+-,137698.5,1.1854537483581877
+-,150508.0,1.1795382653066961
+-,167160.5,1.1913726165613912
+-,188808.5,1.208337769505705
+-,216951.0,1.205224384167665
+-,253537.0,1.2177836402084175
+-,301098.0,1.2086630520367097
+-,362927.5,1.2167558683926578
+-,443306.0,1.2197999317904462
+-,547797.5,1.2024777810513911
+-,683637.0,1.2006357490288915
+-,860228.5,1.1854703993658846
+-,1089797.5,1.1647033136463976
+-,1388237.0,1.1466234988117596
+-,1776208.0,1.0991603034788449
+-,2280570.5,1.0420560952377445
+-,2936241.5,0.9829629624350767
+-,3788614.0,0.9576287183970399
+-,4896698.5,0.940103120600261
+-,6337208.5,0.9332813298028046
+-,8209871.5,0.9349762825940255
+-,10644332.5,0.9359639234391754
-+,106500.0,1.0627137516196004
-+,109950.0,1.0721184748176953
-+,114435.0,1.0810098967464101
-+,120265.5,1.089362403377019
-+,127845.0,1.0960918337936998
-+,137698.5,1.1083302869047167
-+,150508.0,1.1066370210235548
-+,167160.5,1.108594598863437
-+,188808.5,1.1019560154774044
-+,216951.0,1.114176850775645
-+,253537.0,1.1200858779624252
-+,301098.0,1.110950516109039
-+,362927.5,1.1109106880601438
-+,443306.0,1.1139595926149548
-+,547797.5,1.1094270806342774
-+,683637.0,1.0884456867839716
-+,860228.5,1.0761495499019578
-+,1089797.5,1.0589833497990633
-+,1388237.0,1.0414584530412287
-+,1776208.0,1.0137187894425967
-+,2280570.5,0.9836311835948706
-+,2936241.5,0.9596276835172662
-+,3788614.0,0.9343364313720026
-+,4896698.5,0.9432283906847282
-+,6337208.5,0.923995724397594
-+,8209871.5,0.927993703184772
-+,10644332.5,0.9341555851525446
--,106500.0,1.105978341069917
--,109950.0,1.1061228687673739
--,114435.0,1.1306707034941332
--,120265.5,1.1261862401888028
--,127845.0,1.1469160449846396
--,137698.5,1.1521010629560053
--,150508.0,1.1453276000859125
--,167160.5,1.1432305839015715
--,188808.5,1.15964976663036
--,216951.0,1.157684873508613
--,253537.0,1.17261992440725
--,301098.0,1.1589852662258777
--,362927.5,1.160612321589996
--,443306.0,1.1665131664878965
--,547797.5,1.1538118709308591
--,683637.0,1.14594175234675
--,860228.5,1.12938055818709
--,1089797.5,1.113607279739046
--,1388237.0,1.0922981824277553
--,1776208.0,1.0480455019678623
--,2280570.5,1.0215316485103958
--,2936241.5,0.9745982369544228
--,3788614.0,0.9465353644219023
--,4896698.5,0.9338373392982365
--,6337208.5,0.9222582843272177
--,8209871.5,0.9354863960887962
--,10644332.5,0.9394172764562685
