orientation,dist,peak_score
++,106500.0,1.1137930647532874
++,109950.0,1.1030514397454612
++,114435.0,1.105773425905757
++,120265.5,1.1331291168475102
++,127845.0,1.1292734565443001
++,137698.5,1.1315815682351278
++,150508.0,1.1285835186662556
++,167160.5,1.1343828144124481
++,188808.5,1.1388101787845657
++,216951.0,1.153924192023787
++,253537.0,1.1498303241901748
++,301098.0,1.1490944634118248
++,362927.5,1.1583224593386208
++,443306.0,1.1534092042404398
++,547797.5,1.1428188667246184
++,683637.0,1.1319910667881499
++,860228.5,1.135721704015758
++,1089797.5,1.1253525817711316
++,1388237.0,1.1270769054737486
++,1776208.0,1.1180668711692352
++,2280570.5,1.1045380821106072
++,2936241.5,1.0863164377175372
++,3788614.0,1.0614350119089457
++,4896698.5,1.019814581851879
++,6337208.5,0.9446373010417493
++,8209871.5,0.8907437110738736
++,10644332.5,0.8785457060500103
+-,106500.0,1.1587305471359268
+-,109950.0,1.141325231042428
+-,114435.0,1.1607171699414989
+-,120265.5,1.1593080320487985
+-,127845.0,1.1731561131537545
+-,137698.5,1.1670213007693238
+-,150508.0,1.1613495115414234
+-,167160.5,1.1673772306236296
+-,188808.5,1.1811610142452649
+-,216951.0,1.189650410189641
+-,253537.0,1.1943551056797985
+-,301098.0,1.1870778856219333
+-,362927.5,1.2010220024280673
+-,443306.0,1.20469217597838
+-,547797.5,1.1871841202381717
+-,683637.0,1.177506057548892
+-,860228.5,1.1754894794738004
+-,1089797.5,1.1667107571581825
+-,1388237.0,1.164990839221913
+-,1776208.0,1.1635992295952575
+-,2280570.5,1.151518650024496
+-,2936241.5,1.1340475460709796
+-,3788614.0,1.1099886759153454
+-,4896698.5,1.0570467764440337
+-,6337208.5,0.9878688878749337
+-,8209871.5,0.9040105357198984
+-,10644332.5,0.8779069862088453
-+,106500.0,1.0744392443791775
-+,109950.0,1.0712976364820868
-+,114435.0,1.0813012058048033
-+,120265.5,1.0876363347784963
-+,127845.0,1.0932960731402508
-+,137698.5,1.1019806504567433
-+,150508.0,1.0993406152196517
-+,167160.5,1.1035164935940867
-+,188808.5,1.1034966280539058
-+,216951.0,1.1185349755043732
-+,253537.0,1.1146183129871017
-+,301098.0,1.1109058276883308
-+,362927.5,1.1140806195320438
-+,443306.0,1.1104921888453514
-+,547797.5,1.1110193014204544
-+,683637.0,1.096333441758008
-+,860228.5,1.097620993800019
-+,1089797.5,1.0895665627330433
-+,1388237.0,1.0874329929611528
-+,1776208.0,1.0795176051333355
-+,2280570.5,1.0615261884954703
-+,2936241.5,1.0439623673782814
-+,3788614.0,1.020155744996769
-+,4896698.5,0.981760401624185
-+,6337208.5,0.9211157472460847
-+,8209871.5,0.8826584778475735
-+,10644332.5,0.8779005692954625
--,106500.0,1.111352476980073
--,109950.0,1.1130091703916882
--,114435.0,1.1230162313398016
--,120265.5,1.1213589844064562
--,127845.0,1.135365857513514
--,137698.5,1.1386864230146516
--,150508.0,1.133384023511201
--,167160.5,1.1399299297914642
--,188808.5,1.1480878325099892
--,216951.0,1.1503494140753598
--,253537.0,1.152738949509091
--,301098.0,1.147626811618276
--,362927.5,1.1554420013393125
--,443306.0,1.1641461718231074
--,547797.5,1.1517149376545037
--,683637.0,1.1410124689339405
--,860228.5,1.137368020194397
--,1089797.5,1.1315030386184746
--,1388237.0,1.1254890350677236
--,1776208.0,1.1251966144189636
--,2280570.5,1.1096108449442483
--,2936241.5,1.0907726003389084
--,3788614.0,1.0682121149899475
--,4896698.5,1.0179220500605537
--,6337208.5,0.9570741069000741
--,8209871.5,0.8860586624885787
--,10644332.5,0.8841707974847436
