orientation,dist,peak_score
++,106500.0,1.0056731117044286
++,109950.0,0.9882284429637489
++,114435.0,0.9919543752422956
++,120265.5,1.0213586872699412
++,127845.0,1.0302776481645013
++,137698.5,1.0415889905943465
++,150508.0,1.0491198810235602
++,167160.5,1.0621240123172433
++,188808.5,1.073807773262339
++,216951.0,1.0920550896856305
++,253537.0,1.0928596455006399
++,301098.0,1.0950658922520116
++,362927.5,1.1018413892802892
++,443306.0,1.0988900190764503
++,547797.5,1.087479872318541
++,683637.0,1.0794076885980464
++,860228.5,1.0772424908475715
++,1089797.5,1.066586149394861
++,1388237.0,1.0594337029491014
++,1776208.0,1.0483361655224537
++,2280570.5,1.0346183123288901
++,2936241.5,1.0205292153886043
++,3788614.0,1.0091514028135622
++,4896698.5,1.002171603755556
++,6337208.5,0.9977129976018748
++,8209871.5,0.997556214599959
++,10644332.5,0.9980164283162642
+-,106500.0,1.0365507954503506
+-,109950.0,1.0139532001385079
+-,114435.0,1.0280472064222188
+-,120265.5,1.0344700271478187
+-,127845.0,1.0533614706101502
+-,137698.5,1.0648050007353407
+-,150508.0,1.0712227924643956
+-,167160.5,1.0852447312248428
+-,188808.5,1.1023995428835485
+-,216951.0,1.1168629161928163
+-,253537.0,1.1236118135409736
+-,301098.0,1.1211880064982793
+-,362927.5,1.1307746195023636
+-,443306.0,1.1329794606729129
+-,547797.5,1.1163256816229299
+-,683637.0,1.1078335621532975
+-,860228.5,1.1017881121669162
+-,1089797.5,1.0911646131153043
+-,1388237.0,1.0791980928661
+-,1776208.0,1.0683552812103936
+-,2280570.5,1.0511471594247148
+-,2936241.5,1.0324948452699174
+-,3788614.0,1.0178099834073835
+-,4896698.5,1.005925654556502
+-,6337208.5,0.9997562263432634
+-,8209871.5,0.9978831011727398
+-,10644332.5,0.9977899274838369
-+,106500.0,0.9703286143103591
-+,109950.0,0.9667961678952148
-+,114435.0,0.9789876343674292
-+,120265.5,0.9861922680251379
-+,127845.0,1.0004214509263658
-+,137698.5,1.0223407091879346
-+,150508.0,1.0291359065514722
-+,167160.5,1.0416952267838486
-+,188808.5,1.049696128460194
-+,216951.0,1.0648010055771902
-+,253537.0,1.0691366159491469
-+,301098.0,1.0686653471480696
-+,362927.5,1.0738393070102634
-+,443306.0,1.0695401193698566
-+,547797.5,1.0668166052401742
-+,683637.0,1.0559162263697972
-+,860228.5,1.055363554661865
-+,1089797.5,1.0468526992304445
-+,1388237.0,1.0408126198487102
-+,1776208.0,1.0305583634182267
-+,2280570.5,1.0185487820676353
-+,2936241.5,1.009172667150433
-+,3788614.0,1.0018270402152796
-+,4896698.5,0.9987638577466865
-+,6337208.5,0.9965369407299549
-+,8209871.5,0.9974740514612715
-+,10644332.5,0.9979988573766774
--,106500.0,0.9957656068732794
--,109950.0,0.9935985090154055
--,114435.0,1.007531958122911
--,120265.5,1.0109532279080513
--,127845.0,1.029710963864409
--,137698.5,1.0445832108891286
--,150508.0,1.0507409088766415
--,167160.5,1.066936813311036
--,188808.5,1.0797556457203026
--,216951.0,1.0863989002948395
--,253537.0,1.094479484976046
--,301098.0,1.0930429775529065
--,362927.5,1.1003795532570841
--,443306.0,1.1035688883536643
--,547797.5,1.0928047296793604
--,683637.0,1.0841954003727174
--,860228.5,1.0791104604778972
--,1089797.5,1.0701283583629122
--,1388237.0,1.0597315132674932
--,1776208.0,1.0500487338369415
--,2280570.5,1.0357035286620289
--,2936241.5,1.0209281455006387
--,3788614.0,1.010268706530025
--,4896698.5,1.0020383536743447
--,6337208.5,0.9982539654337566
--,8209871.5,0.9975826562166188
--,10644332.5,0.9979089465167854
