orientation,dist,peak_score
++,106500.0,1.2185852752226098
++,109950.0,1.2072476039391642
++,114435.0,1.2136313262576097
++,120265.5,1.2238560819989843
++,127845.0,1.2256629996400612
++,137698.5,1.2215341286689592
++,150508.0,1.2035886834757714
++,167160.5,1.211634601838036
++,188808.5,1.19828080553768
++,216951.0,1.198824730316514
++,253537.0,1.1806035857716883
++,301098.0,1.1692851413486578
++,362927.5,1.1683783873370186
++,443306.0,1.1581328858352782
++,547797.5,1.1211965800229962
++,683637.0,1.0835329804116132
++,860228.5,1.0607933995859717
++,1089797.5,1.0281960593112167
++,1388237.0,1.012816065584183
++,1776208.0,0.9872028451639171
++,2280570.5,0.9681492560807878
++,2936241.5,0.9668001428998612
++,3788614.0,0.9502511315502173
++,4896698.5,0.9535630684233586
++,6337208.5,0.9485230773613755
++,8209871.5,0.9482355820261046
++,10644332.5,0.950518871105438
+-,106500.0,1.39969987295874
+-,109950.0,1.3268842800946494
+-,114435.0,1.3757430124416326
+-,120265.5,1.3765623903066353
+-,127845.0,1.3911088602902235
+-,137698.5,1.3594142088690648
+-,150508.0,1.3551113694211718
+-,167160.5,1.3598720393547423
+-,188808.5,1.3468062248010468
+-,216951.0,1.3457028200892034
+-,253537.0,1.3429701481550096
+-,301098.0,1.309918303991814
+-,362927.5,1.305334791979484
+-,443306.0,1.2839042044392808
+-,547797.5,1.2238561373271553
+-,683637.0,1.181172175888034
+-,860228.5,1.141736049902134
+-,1089797.5,1.0954736291203893
+-,1388237.0,1.0550872290671722
+-,1776208.0,1.0182755874881066
+-,2280570.5,0.9896163798957445
+-,2936241.5,0.9679351799566451
+-,3788614.0,0.951047560750024
+-,4896698.5,0.9577089115144628
+-,6337208.5,0.9535514230535795
+-,8209871.5,0.94071800205023
+-,10644332.5,0.9538792507305118
-+,106500.0,1.0793537603620955
-+,109950.0,1.0844997241891379
-+,114435.0,1.084367044652482
-+,120265.5,1.0908906108253145
-+,127845.0,1.1000485382336072
-+,137698.5,1.0963528538115956
-+,150508.0,1.0904238236349066
-+,167160.5,1.0920042653748083
-+,188808.5,1.078888865912009
-+,216951.0,1.0908429748456154
-+,253537.0,1.0749958562855295
-+,301098.0,1.0694407534408394
-+,362927.5,1.0653274275995714
-+,443306.0,1.064263392635169
-+,547797.5,1.0363113398007155
-+,683637.0,1.0214160990947052
-+,860228.5,1.0092927336504767
-+,1089797.5,0.9894455215661929
-+,1388237.0,0.9883183533367832
-+,1776208.0,0.9693945051177668
-+,2280570.5,0.9620217242782148
-+,2936241.5,0.9657397100509585
-+,3788614.0,0.9520591430027026
-+,4896698.5,0.9581573459942937
-+,6337208.5,0.9532123647237765
-+,8209871.5,0.9428332479886968
-+,10644332.5,0.950055660528944
--,106500.0,1.2052178828447824
--,109950.0,1.1973393281497144
--,114435.0,1.2220243090864675
--,120265.5,1.2007497688065594
--,127845.0,1.2238728439243207
--,137698.5,1.2277085997392578
--,150508.0,1.215747413502972
--,167160.5,1.2099789217889072
--,188808.5,1.2105667839522116
--,216951.0,1.2146873831012335
--,253537.0,1.1908993353801387
--,301098.0,1.1751073365443523
--,362927.5,1.1675950797847678
--,443306.0,1.1560915893174826
--,547797.5,1.110142762303324
--,683637.0,1.0911850639916343
--,860228.5,1.0626911786218094
--,1089797.5,1.032489224045147
--,1388237.0,1.01143830060927
--,1776208.0,0.9906662522501333
--,2280570.5,0.9805341797517068
--,2936241.5,0.9639903780052013
--,3788614.0,0.9509716254210137
--,4896698.5,0.9576849732044012
--,6337208.5,0.9585563245722323
--,8209871.5,0.9411809375945022
--,10644332.5,0.9540894759597744
