orientation,dist,peak_score
++,106500.0,1.2139004560470523
++,109950.0,1.2050101613168775
++,114435.0,1.2166309671372686
++,120265.5,1.2267992626028468
++,127845.0,1.2258044711463545
++,137698.5,1.2157350706100942
++,150508.0,1.1968711428036019
++,167160.5,1.2107964798444606
++,188808.5,1.1941143576386977
++,216951.0,1.1979992060354494
++,253537.0,1.1787259347700059
++,301098.0,1.1696810005238611
++,362927.5,1.1689059413147338
++,443306.0,1.1612630583491874
++,547797.5,1.1227513927155417
++,683637.0,1.0775239401854082
++,860228.5,1.0604687180394712
++,1089797.5,1.0299694334486351
++,1388237.0,1.011165007756868
++,1776208.0,0.9894049958346584
++,2280570.5,0.9672251219232699
++,2936241.5,0.9723571461769882
++,3788614.0,0.9530525698035058
++,4896698.5,0.9622097827701231
++,6337208.5,0.9478135631119977
++,8209871.5,0.9480250597990026
++,10644332.5,0.9487258325036847
+-,106500.0,1.3969736534022936
+-,109950.0,1.3264707619245937
+-,114435.0,1.372154145843655
+-,120265.5,1.3772311576311445
+-,127845.0,1.3938037947177992
+-,137698.5,1.3584728966159503
+-,150508.0,1.3583121066573218
+-,167160.5,1.3661810148572202
+-,188808.5,1.3423401392704721
+-,216951.0,1.340229703502863
+-,253537.0,1.3415274554915937
+-,301098.0,1.3069594347842597
+-,362927.5,1.3042903866069695
+-,443306.0,1.280355325298201
+-,547797.5,1.2242473717181142
+-,683637.0,1.1781965250444766
+-,860228.5,1.1433130725793588
+-,1089797.5,1.0966569681075273
+-,1388237.0,1.052274222620386
+-,1776208.0,1.0209935056535497
+-,2280570.5,0.9910679776589488
+-,2936241.5,0.9756487204360722
+-,3788614.0,0.948500437025561
+-,4896698.5,0.9601450145443544
+-,6337208.5,0.9562599934984124
+-,8209871.5,0.9399411666756812
+-,10644332.5,0.9471239974716146
-+,106500.0,1.0704195781330808
-+,109950.0,1.0823889033068583
-+,114435.0,1.0855198960063284
-+,120265.5,1.090296264942731
-+,127845.0,1.0981795286947464
-+,137698.5,1.0958843345819111
-+,150508.0,1.0864149592114163
-+,167160.5,1.0933732228607294
-+,188808.5,1.0762841936913834
-+,216951.0,1.0878129009573718
-+,253537.0,1.0747522915781802
-+,301098.0,1.0674663661189587
-+,362927.5,1.0657522237814352
-+,443306.0,1.0620353559847648
-+,547797.5,1.0411398120951945
-+,683637.0,1.022179377632423
-+,860228.5,1.0110373708011233
-+,1089797.5,0.9924809463738012
-+,1388237.0,0.9935918519527093
-+,1776208.0,0.9756153576518568
-+,2280570.5,0.9588316679393383
-+,2936241.5,0.96290780087877
-+,3788614.0,0.9470408725835592
-+,4896698.5,0.9653553984547796
-+,6337208.5,0.9493896028822982
-+,8209871.5,0.9465122910248893
-+,10644332.5,0.9596085180329305
--,106500.0,1.2045150369653788
--,109950.0,1.198260642531039
--,114435.0,1.218475050167072
--,120265.5,1.1948776449207623
--,127845.0,1.2193526952428246
--,137698.5,1.2245931405503552
--,150508.0,1.2171503492733895
--,167160.5,1.2133605009466426
--,188808.5,1.2101931589632473
--,216951.0,1.2129395684733084
--,253537.0,1.1904618982716022
--,301098.0,1.17558896427593
--,362927.5,1.1671916473504687
--,443306.0,1.1540957469544648
--,547797.5,1.1131650350716427
--,683637.0,1.0921136864525447
--,860228.5,1.065247844391507
--,1089797.5,1.03546691813727
--,1388237.0,1.0141838631122302
--,1776208.0,0.9961696011729997
--,2280570.5,0.9845642102190657
--,2936241.5,0.9659313407278378
--,3788614.0,0.9512694102591708
--,4896698.5,0.9626857886945298
--,6337208.5,0.9574337419093523
--,8209871.5,0.9446751075396228
--,10644332.5,0.9642206367135031
