orientation,dist,peak_score
++,106500.0,0.9571389949658828
++,109950.0,0.9488278624916099
++,114435.0,0.9603772438844816
++,120265.5,0.9634589786183686
++,127845.0,0.975723663334587
++,137698.5,0.9762323261700012
++,150508.0,0.9858974217862706
++,167160.5,0.9808601824288435
++,188808.5,0.9915964068300434
++,216951.0,0.9988367499725856
++,253537.0,1.0083077579229132
++,301098.0,1.011027039631387
++,362927.5,1.0147848445100498
++,443306.0,1.0125819719780864
++,547797.5,1.0124608869793845
++,683637.0,1.0087055122598292
++,860228.5,1.0098942541202516
++,1089797.5,1.0090550117986097
++,1388237.0,1.0079459184160764
++,1776208.0,1.0054647480099494
++,2280570.5,1.004185088762298
++,2936241.5,1.0034137517516593
++,3788614.0,1.0020316843437231
++,4896698.5,1.002008546750731
++,6337208.5,1.000948318841424
++,8209871.5,1.00154313709496
++,10644332.5,1.0013827468061351
+-,106500.0,0.9856324698683645
+-,109950.0,0.9575978743490364
+-,114435.0,0.9696161260958388
+-,120265.5,0.9720402288885568
+-,127845.0,0.9829325775042004
+-,137698.5,0.991159885412599
+-,150508.0,0.9915691329632781
+-,167160.5,0.9952789585016661
+-,188808.5,1.0028290408073548
+-,216951.0,1.0101264598365676
+-,253537.0,1.0171986781243643
+-,301098.0,1.0189432334593334
+-,362927.5,1.0237417831975053
+-,443306.0,1.0215686558415376
+-,547797.5,1.0170248290004125
+-,683637.0,1.0130275509873334
+-,860228.5,1.012618030239857
+-,1089797.5,1.0096941344740837
+-,1388237.0,1.0085343225508598
+-,1776208.0,1.0066083508917294
+-,2280570.5,1.0055368397845963
+-,2936241.5,1.004479751251088
+-,3788614.0,1.002080133404722
+-,4896698.5,1.0020862090042444
+-,6337208.5,1.0013958751587004
+-,8209871.5,1.001420962872797
+-,10644332.5,1.0014526090273541
-+,106500.0,0.9573802353669388
-+,109950.0,0.9519618358042997
-+,114435.0,0.9464819758468193
-+,120265.5,0.9539184361083618
-+,127845.0,0.955412251867032
-+,137698.5,0.9694576535913682
-+,150508.0,0.9814016262610821
-+,167160.5,0.9843506533817677
-+,188808.5,0.9933943442492681
-+,216951.0,0.9981891852948837
-+,253537.0,1.0006948752289304
-+,301098.0,1.0093810955730782
-+,362927.5,1.0098550416320535
-+,443306.0,1.0116176235566539
-+,547797.5,1.0082400736795236
-+,683637.0,1.005417728279111
-+,860228.5,1.007444487684292
-+,1089797.5,1.006010449591935
-+,1388237.0,1.0076324914636867
-+,1776208.0,1.0062579771078763
-+,2280570.5,1.0039338861228644
-+,2936241.5,1.0037689473430875
-+,3788614.0,1.0010683624302397
-+,4896698.5,1.0021523957016842
-+,6337208.5,1.001298952486089
-+,8209871.5,1.0017876691000804
-+,10644332.5,1.001103966875273
--,106500.0,0.9712608640686625
--,109950.0,0.9538648746121566
--,114435.0,0.9608409669993436
--,120265.5,0.9594193945836698
--,127845.0,0.9667261186796131
--,137698.5,0.9720885398606258
--,150508.0,0.9844202438421374
--,167160.5,0.9932237868063325
--,188808.5,1.00370520368783
--,216951.0,1.004529641625707
--,253537.0,1.0066255176637093
--,301098.0,1.0145623472611724
--,362927.5,1.0145649532517214
--,443306.0,1.018139075437684
--,547797.5,1.012091025681778
--,683637.0,1.009878791346562
--,860228.5,1.0096538297144475
--,1089797.5,1.0081604179438892
--,1388237.0,1.0074552016566072
--,1776208.0,1.006880573554438
--,2280570.5,1.004331264237324
--,2936241.5,1.0041124525434093
--,3788614.0,1.0019725094833707
--,4896698.5,1.00196022016301
--,6337208.5,1.0019448325036555
--,8209871.5,1.001355561427155
--,10644332.5,1.0011475348128323
