orientation,dist,peak_score
++,106500.0,1.0076988604347878
++,109950.0,1.0077938712498091
++,114435.0,1.0249609041931034
++,120265.5,1.0291224301280915
++,127845.0,1.0404453466670076
++,137698.5,1.0304041209424701
++,150508.0,1.034443027885632
++,167160.5,1.0218017161522062
++,188808.5,1.0291025265132296
++,216951.0,1.0334509752192715
++,253537.0,1.0405131424068526
++,301098.0,1.0406488238609706
++,362927.5,1.045752060938601
++,443306.0,1.0376456823572022
++,547797.5,1.037686951917807
++,683637.0,1.0277125819822914
++,860228.5,1.0337476352339354
++,1089797.5,1.0348491553922812
++,1388237.0,1.0354598379318452
++,1776208.0,1.0302637689261511
++,2280570.5,1.02653161847519
++,2936241.5,1.0277994263437706
++,3788614.0,1.0199635206673732
++,4896698.5,1.0238555740857866
++,6337208.5,1.0164143901015754
++,8209871.5,1.025807485094559
++,10644332.5,1.0272129213895422
+-,106500.0,1.0426649930430534
+-,109950.0,1.021600915073656
+-,114435.0,1.040061896543192
+-,120265.5,1.0406397808214998
+-,127845.0,1.0527121074453685
+-,137698.5,1.0543015052922016
+-,150508.0,1.0456390065035475
+-,167160.5,1.046409241022441
+-,188808.5,1.049093073247826
+-,216951.0,1.052432487258708
+-,253537.0,1.0581203184679382
+-,301098.0,1.0556123199728389
+-,362927.5,1.0640452464549317
+-,443306.0,1.058704306157006
+-,547797.5,1.0491373442180771
+-,683637.0,1.0398335780518542
+-,860228.5,1.0424016175843354
+-,1089797.5,1.038337325642461
+-,1388237.0,1.0387364918089226
+-,1776208.0,1.03400216712389
+-,2280570.5,1.032483675661425
+-,2936241.5,1.0341511116648905
+-,3788614.0,1.020196839797595
+-,4896698.5,1.0260393574791082
+-,6337208.5,1.0218736484097064
+-,8209871.5,1.0256534767294123
+-,10644332.5,1.0265494243290265
-+,106500.0,1.0082744656533333
-+,109950.0,1.0038153751393928
-+,114435.0,1.0016359134804598
-+,120265.5,1.0124349117797076
-+,127845.0,1.0064186912187016
-+,137698.5,1.0201530967317196
-+,150508.0,1.0271324156800428
-+,167160.5,1.0257708092857905
-+,188808.5,1.029949843682266
-+,216951.0,1.0309672411230086
-+,253537.0,1.0264252746568299
-+,301098.0,1.0374711002785895
-+,362927.5,1.0363580390262621
-+,443306.0,1.035892691060699
-+,547797.5,1.0283928140964664
-+,683637.0,1.0198190195511931
-+,860228.5,1.0270972622441294
-+,1089797.5,1.0260504460142221
-+,1388237.0,1.0339973922814598
-+,1776208.0,1.033286150383054
-+,2280570.5,1.0247571087257414
-+,2936241.5,1.0292601376025705
-+,3788614.0,1.0129367265283182
-+,4896698.5,1.024180502737047
-+,6337208.5,1.020570900838534
-+,8209871.5,1.0298387227971466
-+,10644332.5,1.024712865133294
--,106500.0,1.0248253325059986
--,109950.0,1.0097681539018823
--,114435.0,1.0197505317277562
--,120265.5,1.0176057183308718
--,127845.0,1.0228036350827705
--,137698.5,1.0257395169999142
--,150508.0,1.0333388902847533
--,167160.5,1.040026682329466
--,188808.5,1.0496530188622324
--,216951.0,1.043369560504839
--,253537.0,1.039729120866414
--,301098.0,1.0480907720033743
--,362927.5,1.046179100978923
--,443306.0,1.050706271703135
--,547797.5,1.0384462473309326
--,683637.0,1.0325925394252415
--,860228.5,1.0335365413505366
--,1089797.5,1.0339191319252792
--,1388237.0,1.033419033088024
--,1776208.0,1.0355468533438499
--,2280570.5,1.0275185172349905
--,2936241.5,1.0315930283793244
--,3788614.0,1.019374212678207
--,4896698.5,1.0234783599677557
--,6337208.5,1.027668460213201
--,8209871.5,1.0235000408028143
--,10644332.5,1.0259439880595131
