orientation,dist,peak_score
++,106500.0,0.9495379827276542
++,109950.0,0.9514586507871685
++,114435.0,0.9607324264842483
++,120265.5,0.9665047774596863
++,127845.0,0.9758284497543879
++,137698.5,0.9802872579380278
++,150508.0,0.9827982968360942
++,167160.5,0.9826091281605464
++,188808.5,0.9912619511996308
++,216951.0,0.9965899890141403
++,253537.0,1.006735612939465
++,301098.0,1.0114339287282292
++,362927.5,1.0145168699193274
++,443306.0,1.0143436526007266
++,547797.5,1.0123743364600302
++,683637.0,1.0081234441288955
++,860228.5,1.0094467875914348
++,1089797.5,1.0084602283201656
++,1388237.0,1.0082334002560212
++,1776208.0,1.00497939901931
++,2280570.5,1.0044315558150387
++,2936241.5,1.003035779858803
++,3788614.0,1.0017703730753593
++,4896698.5,1.0021586944109095
++,6337208.5,1.0011288650544186
++,8209871.5,1.001349092572694
++,10644332.5,1.0019342765780441
+-,106500.0,0.9876412615119499
+-,109950.0,0.9528521649426898
+-,114435.0,0.972529637561296
+-,120265.5,0.9754654289583923
+-,127845.0,0.9845299363755033
+-,137698.5,0.9910358755964863
+-,150508.0,0.9942771464157856
+-,167160.5,0.9926113582358007
+-,188808.5,1.0005197207779521
+-,216951.0,1.0066633818641741
+-,253537.0,1.016050965710931
+-,301098.0,1.020122201637963
+-,362927.5,1.0243839956142444
+-,443306.0,1.02201274218352
+-,547797.5,1.017123897167391
+-,683637.0,1.0133204637001885
+-,860228.5,1.0122741197899188
+-,1089797.5,1.0092322584271758
+-,1388237.0,1.009473297099978
+-,1776208.0,1.0059214034943365
+-,2280570.5,1.0060107734339603
+-,2936241.5,1.0046086755652843
+-,3788614.0,1.0020193243668958
+-,4896698.5,1.0017104707119096
+-,6337208.5,1.0016188661605452
+-,8209871.5,1.0014383358109193
+-,10644332.5,1.0018870431311648
-+,106500.0,0.9580231326994372
-+,109950.0,0.9510811367853389
-+,114435.0,0.9406290448043295
-+,120265.5,0.9524081417779502
-+,127845.0,0.9528759313144081
-+,137698.5,0.9681295699554977
-+,150508.0,0.980695748447165
-+,167160.5,0.9834204967294939
-+,188808.5,0.9945424417950801
-+,216951.0,0.9974260125615214
-+,253537.0,1.0018630939061308
-+,301098.0,1.0104960209373186
-+,362927.5,1.0093562258298312
-+,443306.0,1.012349524954233
-+,547797.5,1.0107977105982806
-+,683637.0,1.0050975034468443
-+,860228.5,1.005692521875971
-+,1089797.5,1.0060189575536604
-+,1388237.0,1.0085215168684878
-+,1776208.0,1.0060600765867376
-+,2280570.5,1.0035489140905685
-+,2936241.5,1.0035819412278677
-+,3788614.0,1.0010427225048608
-+,4896698.5,1.002474064886277
-+,6337208.5,1.0016616673370016
-+,8209871.5,1.0016937175510576
-+,10644332.5,1.0013675287313846
--,106500.0,0.973465287085793
--,109950.0,0.9502226658761989
--,114435.0,0.9566188890762449
--,120265.5,0.9567481787727722
--,127845.0,0.9634693296061695
--,137698.5,0.9713353846171584
--,150508.0,0.9849219702770222
--,167160.5,0.9917451885359106
--,188808.5,1.0011284189113052
--,216951.0,1.0028615849841656
--,253537.0,1.0073942310602535
--,301098.0,1.0208208623347974
--,362927.5,1.0127755975632533
--,443306.0,1.0174292087054635
--,547797.5,1.0128315103322738
--,683637.0,1.009792424135685
--,860228.5,1.0093917454909525
--,1089797.5,1.0076388857949727
--,1388237.0,1.0078471414535168
--,1776208.0,1.0060675174072808
--,2280570.5,1.0041062148121815
--,2936241.5,1.0039109189088768
--,3788614.0,1.0021549352796708
--,4896698.5,1.0016299062202283
--,6337208.5,1.0021816819221074
--,8209871.5,1.0015945623851414
--,10644332.5,1.000899740909739
