orientation,dist,peak_score
++,106500.0,1.2241358446809472
++,109950.0,1.2240306355477626
++,114435.0,1.2121177371209306
++,120265.5,1.2363804825461584
++,127845.0,1.2300363770280323
++,137698.5,1.2133624273210393
++,150508.0,1.1965046860652946
++,167160.5,1.2011422956883928
++,188808.5,1.1928830043933374
++,216951.0,1.1835663606950872
++,253537.0,1.1625287509751763
++,301098.0,1.1446996212356093
++,362927.5,1.1332335092680446
++,443306.0,1.1108325449484233
++,547797.5,1.0696485150097534
++,683637.0,1.0342546829818156
++,860228.5,1.01313603442675
++,1089797.5,0.9861220474588417
++,1388237.0,0.9738817491181108
++,1776208.0,0.9645610949970624
++,2280570.5,0.9514354289014965
++,2936241.5,0.9416542132839327
++,3788614.0,0.9450650944005168
++,4896698.5,0.9384276824131165
++,6337208.5,0.9362423880061863
++,8209871.5,0.9373527144347507
++,10644332.5,0.9384925572558236
+-,106500.0,1.4063241251762066
+-,109950.0,1.3413786434735893
+-,114435.0,1.3765652583406882
+-,120265.5,1.3829912452452726
+-,127845.0,1.387922764450522
+-,137698.5,1.349649048707238
+-,150508.0,1.3461637713827745
+-,167160.5,1.3523076419986166
+-,188808.5,1.3421003755588496
+-,216951.0,1.32493306384864
+-,253537.0,1.3196524093178903
+-,301098.0,1.274732332302602
+-,362927.5,1.2675710848398225
+-,443306.0,1.2333701966326838
+-,547797.5,1.1657963578668022
+-,683637.0,1.1256161575583206
+-,860228.5,1.0789383580050198
+-,1089797.5,1.0377394969708083
+-,1388237.0,0.998396343564264
+-,1776208.0,0.9748044677390867
+-,2280570.5,0.9591872364008691
+-,2936241.5,0.9466787265584838
+-,3788614.0,0.9490863327418502
+-,4896698.5,0.9478263780316105
+-,6337208.5,0.941958463839277
+-,8209871.5,0.9359773843890681
+-,10644332.5,0.9285033252173642
-+,106500.0,1.0698180524502914
-+,109950.0,1.078898502331192
-+,114435.0,1.0811628301385514
-+,120265.5,1.0873055355124936
-+,127845.0,1.089795522276417
-+,137698.5,1.0835664943162557
-+,150508.0,1.0754433791307207
-+,167160.5,1.0772042558112838
-+,188808.5,1.061631634171576
-+,216951.0,1.0706225189828311
-+,253537.0,1.0487705101571017
-+,301098.0,1.0413512266053717
-+,362927.5,1.0263748779478008
-+,443306.0,1.0192398181907634
-+,547797.5,0.9907223947233362
-+,683637.0,0.9755711471822366
-+,860228.5,0.9643837429295675
-+,1089797.5,0.9492320489836448
-+,1388237.0,0.9534883856511825
-+,1776208.0,0.9555542330556102
-+,2280570.5,0.9479133064100161
-+,2936241.5,0.9469750569827586
-+,3788614.0,0.9425348170806267
-+,4896698.5,0.9399790957439389
-+,6337208.5,0.9390049463612882
-+,8209871.5,0.9382848149069725
-+,10644332.5,0.9364095383475137
--,106500.0,1.2114386065455798
--,109950.0,1.1966112048477147
--,114435.0,1.21743501934553
--,120265.5,1.2005528975377018
--,127845.0,1.2205407247882265
--,137698.5,1.2232717507480961
--,150508.0,1.20140024928801
--,167160.5,1.195246262031403
--,188808.5,1.201986987733819
--,216951.0,1.1898553578686846
--,253537.0,1.1682883330382459
--,301098.0,1.1469735445835283
--,362927.5,1.1282943513263115
--,443306.0,1.111576874223729
--,547797.5,1.0665644794436442
--,683637.0,1.040118325392013
--,860228.5,1.012281562337129
--,1089797.5,0.985237757503376
--,1388237.0,0.9687454955701573
--,1776208.0,0.9590236476124787
--,2280570.5,0.9582190673079576
--,2936241.5,0.9479104637996119
--,3788614.0,0.9471559085631226
--,4896698.5,0.9444881524943172
--,6337208.5,0.9437168028116801
--,8209871.5,0.9378390986241308
--,10644332.5,0.9334812651046901
