orientation,dist,peak_score
++,106500.0,1.2148854567350196
++,109950.0,1.2012376588752085
++,114435.0,1.2196499988859522
++,120265.5,1.230342174033337
++,127845.0,1.2314522437630175
++,137698.5,1.2209862131188238
++,150508.0,1.2057998884461434
++,167160.5,1.2005776667307175
++,188808.5,1.175345217852501
++,216951.0,1.1550022554568176
++,253537.0,1.1198583658029755
++,301098.0,1.0816234975820513
++,362927.5,1.0512923781355685
++,443306.0,1.0269772937412913
++,547797.5,1.0036785644608803
++,683637.0,0.9915206044454913
++,860228.5,0.9901503169051243
++,1089797.5,0.992802249224856
++,1388237.0,0.9930227759901362
++,1776208.0,0.9950968040512722
++,2280570.5,0.9961596002762189
++,2936241.5,0.9965384054170177
++,3788614.0,0.9971854389506501
++,4896698.5,0.9975530789972527
++,6337208.5,0.9980819391450952
++,8209871.5,0.9980799311741
++,10644332.5,0.9983097776273056
+-,106500.0,1.3746427633867173
+-,109950.0,1.2996148555492995
+-,114435.0,1.3483861577190537
+-,120265.5,1.3385314474934467
+-,127845.0,1.3545095998758114
+-,137698.5,1.3224515837534168
+-,150508.0,1.3119003400733669
+-,167160.5,1.3033576967018559
+-,188808.5,1.2869317348431155
+-,216951.0,1.2604292332923748
+-,253537.0,1.2226042938121047
+-,301098.0,1.1626876617139934
+-,362927.5,1.1175768912159587
+-,443306.0,1.0780288083634977
+-,547797.5,1.030818214478808
+-,683637.0,1.0088329073016766
+-,860228.5,0.9964919460299619
+-,1089797.5,0.9948581013906168
+-,1388237.0,0.9938641828667901
+-,1776208.0,0.9955405837094766
+-,2280570.5,0.9962226516139684
+-,2936241.5,0.9966692658271024
+-,3788614.0,0.997676148783526
+-,4896698.5,0.9974901306291677
+-,6337208.5,0.9983860623210488
+-,8209871.5,0.9981715663797164
+-,10644332.5,0.9987159406865437
-+,106500.0,1.120122859562185
-+,109950.0,1.11180016871782
-+,114435.0,1.109661574747653
-+,120265.5,1.1120620305860935
-+,127845.0,1.1265693213289663
-+,137698.5,1.1300985474278842
-+,150508.0,1.1239219536855427
-+,167160.5,1.1102865785702514
-+,188808.5,1.0863442662391427
-+,216951.0,1.0772777856791655
-+,253537.0,1.0480295154831971
-+,301098.0,1.0229569932706473
-+,362927.5,1.003564986778571
-+,443306.0,0.989051233263065
-+,547797.5,0.9818658253089732
-+,683637.0,0.9804928220673002
-+,860228.5,0.9860915696297108
-+,1089797.5,0.9903697741475523
-+,1388237.0,0.9921241517038941
-+,1776208.0,0.9947549398776014
-+,2280570.5,0.9956120049698183
-+,2936241.5,0.9961378066538631
-+,3788614.0,0.9969395534858937
-+,4896698.5,0.9976407033092991
-+,6337208.5,0.9980921706083665
-+,8209871.5,0.9982674743317125
-+,10644332.5,0.9981245257593834
--,106500.0,1.2177442827983074
--,109950.0,1.2000310126969935
--,114435.0,1.2281712995459457
--,120265.5,1.2025980196966795
--,127845.0,1.2196954037608756
--,137698.5,1.2287279455295166
--,150508.0,1.2083946393961558
--,167160.5,1.1949627665141072
--,188808.5,1.189111802164052
--,216951.0,1.167156609257568
--,253537.0,1.1243952387359204
--,301098.0,1.0869511367633702
--,362927.5,1.0509838117730017
--,443306.0,1.0258460782651047
--,547797.5,1.0017768868229062
--,683637.0,0.9923630688186588
--,860228.5,0.9906539208756543
--,1089797.5,0.9914350817423774
--,1388237.0,0.9919546775316231
--,1776208.0,0.9945915293919829
--,2280570.5,0.9954149856960739
--,2936241.5,0.9963905083076962
--,3788614.0,0.9974331636126388
--,4896698.5,0.9977324436646349
--,6337208.5,0.9981722099193451
--,8209871.5,0.9981896125749318
--,10644332.5,0.9981662720969943
