orientation,dist,peak_score
++,106500.0,1.2549318988613956
++,109950.0,1.2465480030915739
++,114435.0,1.2600822469822497
++,120265.5,1.2654527486896452
++,127845.0,1.2595262414552455
++,137698.5,1.242978316365516
++,150508.0,1.2238457132281872
++,167160.5,1.2179041363249805
++,188808.5,1.195017330117351
++,216951.0,1.1816888268786168
++,253537.0,1.1521296054441663
++,301098.0,1.1164536867153554
++,362927.5,1.085910297987276
++,443306.0,1.059612991953375
++,547797.5,1.0193316547298032
++,683637.0,0.9877586555550745
++,860228.5,0.9740418953326532
++,1089797.5,0.9730964818977432
++,1388237.0,0.9655351791734604
++,1776208.0,0.9675985366968238
++,2280570.5,0.968067062428375
++,2936241.5,0.9641142518050814
++,3788614.0,0.9660676761372509
++,4896698.5,0.9619644850786324
++,6337208.5,0.9644498748286949
++,8209871.5,0.9601734326469469
++,10644332.5,0.9630900554892264
+-,106500.0,1.4427955482695471
+-,109950.0,1.3705161236590895
+-,114435.0,1.420971159472683
+-,120265.5,1.4044384545193394
+-,127845.0,1.4147987179476358
+-,137698.5,1.3714426988029786
+-,150508.0,1.3545317847157081
+-,167160.5,1.3472145633791204
+-,188808.5,1.3384065623769321
+-,216951.0,1.3210895589986198
+-,253537.0,1.2904852472777786
+-,301098.0,1.2318289056536655
+-,362927.5,1.1918252699880325
+-,443306.0,1.1524885812378958
+-,547797.5,1.0809540407662788
+-,683637.0,1.0360715962353089
+-,860228.5,0.997443732313758
+-,1089797.5,0.9845910577344648
+-,1388237.0,0.9713232738661728
+-,1776208.0,0.9704999875744396
+-,2280570.5,0.9685628812816988
+-,2936241.5,0.9650994334620862
+-,3788614.0,0.9712060617295971
+-,4896698.5,0.9617341288006864
+-,6337208.5,0.9710812497259764
+-,8209871.5,0.9625594082245537
+-,10644332.5,0.971035574957865
-+,106500.0,1.1301232230181086
-+,109950.0,1.1282944934496915
-+,114435.0,1.1248284081013558
-+,120265.5,1.1250411023090339
-+,127845.0,1.1312493790316078
-+,137698.5,1.130626456943595
-+,150508.0,1.121325926086201
-+,167160.5,1.10738548717304
-+,188808.5,1.0830993091809908
-+,216951.0,1.0803886031546504
-+,253537.0,1.0547314086866013
-+,301098.0,1.0295049865227606
-+,362927.5,1.0079023457834246
-+,443306.0,0.9894714312341324
-+,547797.5,0.9702261329166022
-+,683637.0,0.9548496924012744
-+,860228.5,0.958572343238017
-+,1089797.5,0.9611781441572429
-+,1388237.0,0.9607765544925257
-+,1776208.0,0.9637685449745415
-+,2280570.5,0.9629379433138844
-+,2936241.5,0.9609723209313245
-+,3788614.0,0.961198106667616
-+,4896698.5,0.9639651556749966
-+,6337208.5,0.9663821757415737
-+,8209871.5,0.9655709094159171
-+,10644332.5,0.9602338519950886
--,106500.0,1.2562110361109509
--,109950.0,1.2394412064637295
--,114435.0,1.2685847900647333
--,120265.5,1.2348869337774995
--,127845.0,1.2506064706060422
--,137698.5,1.2578348419500305
--,150508.0,1.2273043207387957
--,167160.5,1.2141121740104834
--,188808.5,1.2143547361582905
--,216951.0,1.2006258807666719
--,253537.0,1.159285915422611
--,301098.0,1.1241168323997608
--,362927.5,1.0854332218104674
--,443306.0,1.0600826443273756
--,547797.5,1.0179556381186499
--,683637.0,0.9907912789369121
--,860228.5,0.9765622033672585
--,1089797.5,0.9685862668513527
--,1388237.0,0.959026666348257
--,1776208.0,0.9626063698981076
--,2280570.5,0.9607384850457789
--,2936241.5,0.9641628526963455
--,3788614.0,0.9669681138204785
--,4896698.5,0.9666386046718491
--,6337208.5,0.9688717567952843
--,8209871.5,0.9638578402419524
--,10644332.5,0.9610182699296813
