orientation,dist,peak_score
++,106500.0,1.0499607204364434
++,109950.0,1.0299730879595779
++,114435.0,1.0433373705586173
++,120265.5,1.0766552152534943
++,127845.0,1.0892864351514533
++,137698.5,1.101251913597879
++,150508.0,1.1107270945690908
++,167160.5,1.1376825454787154
++,188808.5,1.147016266100855
++,216951.0,1.1714039007165513
++,253537.0,1.165042702516649
++,301098.0,1.1667527148697792
++,362927.5,1.1758842700894188
++,443306.0,1.1631625410749558
++,547797.5,1.147057319829557
++,683637.0,1.1340143107704592
++,860228.5,1.1120696332215663
++,1089797.5,1.0813064340598435
++,1388237.0,1.0519434875584222
++,1776208.0,1.0219296009938428
++,2280570.5,0.999050379097391
++,2936241.5,0.9922184138570005
++,3788614.0,0.9921472381004878
++,4896698.5,0.993953907411512
++,6337208.5,0.9947904220989143
++,8209871.5,0.9960686598529634
++,10644332.5,0.9964060725486134
+-,106500.0,1.117086367765019
+-,109950.0,1.067950487275007
+-,114435.0,1.1070142693651965
+-,120265.5,1.1199112179005308
+-,127845.0,1.1486679246845497
+-,137698.5,1.1558255452556123
+-,150508.0,1.173438798933843
+-,167160.5,1.1994421670449529
+-,188808.5,1.2172363248074884
+-,216951.0,1.2416134470177076
+-,253537.0,1.253581496454979
+-,301098.0,1.250151247623024
+-,362927.5,1.2578481528906194
+-,443306.0,1.2551443121714343
+-,547797.5,1.2332543748991178
+-,683637.0,1.2181038603946788
+-,860228.5,1.193014077552154
+-,1089797.5,1.157149864179837
+-,1388237.0,1.1141546735612065
+-,1776208.0,1.0657105648102632
+-,2280570.5,1.022877895090606
+-,2936241.5,1.001828633001739
+-,3788614.0,0.9952188643962028
+-,4896698.5,0.9947191185773593
+-,6337208.5,0.9950232264214312
+-,8209871.5,0.9959922666275254
+-,10644332.5,0.9966261808537689
-+,106500.0,0.9849807073249025
-+,109950.0,0.9902125062599445
-+,114435.0,1.0043461767577915
-+,120265.5,1.0124722262836636
-+,127845.0,1.041557359201849
-+,137698.5,1.0539939644816612
-+,150508.0,1.0622615916234937
-+,167160.5,1.0800151992033606
-+,188808.5,1.0833483127957944
-+,216951.0,1.0993713622782253
-+,253537.0,1.097243278325728
-+,301098.0,1.0901609957874894
-+,362927.5,1.0961766703080058
-+,443306.0,1.0894843723032053
-+,547797.5,1.0795314788617407
-+,683637.0,1.0612390300961307
-+,860228.5,1.0397990998777542
-+,1089797.5,1.0210846092740247
-+,1388237.0,1.0018200491356666
-+,1776208.0,0.9879181048803399
-+,2280570.5,0.9824357859226116
-+,2936241.5,0.9861099873945458
-+,3788614.0,0.9902849632592778
-+,4896698.5,0.9933711000406213
-+,6337208.5,0.9945494172490406
-+,8209871.5,0.9961162136884008
-+,10644332.5,0.996546056022499
--,106500.0,1.0432267476683368
--,109950.0,1.0325699105289012
--,114435.0,1.0611427082080618
--,120265.5,1.057355590960551
--,127845.0,1.0969026115108047
--,137698.5,1.1079151405628842
--,150508.0,1.1204955725588195
--,167160.5,1.1450519879655026
--,188808.5,1.1570609572467618
--,216951.0,1.1687486757088454
--,253537.0,1.1698108152501159
--,301098.0,1.1680400472283294
--,362927.5,1.169304490250874
--,443306.0,1.1744058969887166
--,547797.5,1.1543246509045209
--,683637.0,1.138820211296154
--,860228.5,1.1114192048706502
--,1089797.5,1.0856790630912754
--,1388237.0,1.0521672639687785
--,1776208.0,1.0226905252129446
--,2280570.5,1.0006726753684252
--,2936241.5,0.992433595648988
--,3788614.0,0.9921230691796342
--,4896698.5,0.9938057359994221
--,6337208.5,0.9949629459722048
--,8209871.5,0.9959794125502046
--,10644332.5,0.9967901245275808
