orientation,dist,peak_score
++,106500.0,1.041004044353524
++,109950.0,1.030386103676035
++,114435.0,1.0324646248283507
++,120265.5,1.0709641538235184
++,127845.0,1.0874635906647805
++,137698.5,1.095181419084814
++,150508.0,1.105601093312945
++,167160.5,1.1327491246621073
++,188808.5,1.1401479657965403
++,216951.0,1.1675332071351365
++,253537.0,1.1691264986221148
++,301098.0,1.1641930903791793
++,362927.5,1.1732263814780777
++,443306.0,1.1631099426890847
++,547797.5,1.1438962062195794
++,683637.0,1.1313975253830246
++,860228.5,1.1178653954153914
++,1089797.5,1.0855604601195055
++,1388237.0,1.0569462191366181
++,1776208.0,1.0248743260457414
++,2280570.5,1.0043818748033513
++,2936241.5,0.9947095390166629
++,3788614.0,0.9943529059319101
++,4896698.5,0.994950032567005
++,6337208.5,0.9956254118005603
++,8209871.5,0.9964589394535615
++,10644332.5,0.9968842565660314
+-,106500.0,1.14339302671788
+-,109950.0,1.0635684837483763
+-,114435.0,1.1072710579820593
+-,120265.5,1.1095512684661961
+-,127845.0,1.1478735189992006
+-,137698.5,1.1597177557891163
+-,150508.0,1.1726416406072029
+-,167160.5,1.196192048197612
+-,188808.5,1.2175866189575555
+-,216951.0,1.2373125541373735
+-,253537.0,1.252094782736868
+-,301098.0,1.2481639002708202
+-,362927.5,1.2615414929643936
+-,443306.0,1.2590998002711749
+-,547797.5,1.2317738207744426
+-,683637.0,1.218089651697505
+-,860228.5,1.1987361074222451
+-,1089797.5,1.161094352313903
+-,1388237.0,1.1205527733189784
+-,1776208.0,1.0750134873654873
+-,2280570.5,1.0303860945487011
+-,2936241.5,1.0070061707651474
+-,3788614.0,0.999034079027129
+-,4896698.5,0.9955426518077416
+-,6337208.5,0.9955671429592318
+-,8209871.5,0.9965214263801475
+-,10644332.5,0.9972700265551594
-+,106500.0,0.9813278916225087
-+,109950.0,0.9806045244475458
-+,114435.0,0.9892159637828325
-+,120265.5,1.0063051966808578
-+,127845.0,1.0332127715297217
-+,137698.5,1.0434263416537406
-+,150508.0,1.0512994063076238
-+,167160.5,1.070741764400069
-+,188808.5,1.0795907221795846
-+,216951.0,1.1006072708503876
-+,253537.0,1.1019920363444458
-+,301098.0,1.0895764136948725
-+,362927.5,1.0935089816858021
-+,443306.0,1.0899286156823444
-+,547797.5,1.078507996559743
-+,683637.0,1.060142508510149
-+,860228.5,1.0423836544209542
-+,1089797.5,1.0215649913792213
-+,1388237.0,1.0044640306017178
-+,1776208.0,0.9904537563754205
-+,2280570.5,0.9865518470192505
-+,2936241.5,0.987671696054948
-+,3788614.0,0.9917666351966846
-+,4896698.5,0.9940835828222159
-+,6337208.5,0.9953319367134803
-+,8209871.5,0.996896625855777
-+,10644332.5,0.9968650598596056
--,106500.0,1.0367036099623006
--,109950.0,1.0221404150987645
--,114435.0,1.0621619650438525
--,120265.5,1.0589390536366878
--,127845.0,1.0929772002014535
--,137698.5,1.1123687510967641
--,150508.0,1.1178972584600597
--,167160.5,1.1402124765632842
--,188808.5,1.155940033650667
--,216951.0,1.1646230351563207
--,253537.0,1.170746390345963
--,301098.0,1.166516441922923
--,362927.5,1.169045849341772
--,443306.0,1.1763015068241167
--,547797.5,1.153075925356672
--,683637.0,1.1397472555107704
--,860228.5,1.1176778910730527
--,1089797.5,1.0888406319655346
--,1388237.0,1.0565981736500103
--,1776208.0,1.0294448214030607
--,2280570.5,1.0055886679840298
--,2936241.5,0.995155204605263
--,3788614.0,0.9948302176130923
--,4896698.5,0.994045226080443
--,6337208.5,0.9954531260282752
--,8209871.5,0.996877362723241
--,10644332.5,0.9969404417821534
