orientation,dist,peak_score
++,106500.0,1.1726457111214994
++,109950.0,1.1622270903976344
++,114435.0,1.1591544177904032
++,120265.5,1.1999150765935578
++,127845.0,1.203571670272897
++,137698.5,1.1979576616617136
++,150508.0,1.1961348054247352
++,167160.5,1.217188373465685
++,188808.5,1.2148739817199241
++,216951.0,1.2387460341159753
++,253537.0,1.237293994976623
++,301098.0,1.227523880558725
++,362927.5,1.2384279729942975
++,443306.0,1.2323725478762042
++,547797.5,1.2141100559309326
++,683637.0,1.2089751522130419
++,860228.5,1.2028261288483673
++,1089797.5,1.173781106057597
++,1388237.0,1.1476039467431882
++,1776208.0,1.093862375009657
++,2280570.5,1.0290397652080865
++,2936241.5,0.95195964837031
++,3788614.0,0.9028817476319636
++,4896698.5,0.8622704707704385
++,6337208.5,0.8310276283826877
++,8209871.5,0.827291083608792
++,10644332.5,0.8251707092964753
+-,106500.0,1.3036909206686702
+-,109950.0,1.21327895429638
+-,114435.0,1.2627139303817736
+-,120265.5,1.2546527951656945
+-,127845.0,1.2884905136945684
+-,137698.5,1.286284536709275
+-,150508.0,1.284606563038534
+-,167160.5,1.3018267113929267
+-,188808.5,1.3185994438985533
+-,216951.0,1.3317305445012242
+-,253537.0,1.347977172722836
+-,301098.0,1.339721990482714
+-,362927.5,1.357279015571121
+-,443306.0,1.364041323525046
+-,547797.5,1.3388296734952805
+-,683637.0,1.3378598358365652
+-,860228.5,1.3349911053159196
+-,1089797.5,1.3142037322772502
+-,1388237.0,1.291842358226445
+-,1776208.0,1.2552343779681752
+-,2280570.5,1.1574948272655468
+-,2936241.5,1.059563670150235
+-,3788614.0,0.9754850125090075
+-,4896698.5,0.8790045946813689
+-,6337208.5,0.8399321650456038
+-,8209871.5,0.8263195793478438
+-,10644332.5,0.8522403024016039
-+,106500.0,1.0916786362128539
-+,109950.0,1.0951322163355048
-+,114435.0,1.097055885669636
-+,120265.5,1.1131561649248285
-+,127845.0,1.1287521480405158
-+,137698.5,1.1273201036468008
-+,150508.0,1.1248590602104986
-+,167160.5,1.1334982733644237
-+,188808.5,1.1323705142311677
-+,216951.0,1.1504005616555029
-+,253537.0,1.149950493523343
-+,301098.0,1.1286672026216882
-+,362927.5,1.1320869403981728
-+,443306.0,1.1315484827354376
-+,547797.5,1.1210503109128664
-+,683637.0,1.099373254278646
-+,860228.5,1.078751964575278
-+,1089797.5,1.052134529269909
-+,1388237.0,1.02338090922527
-+,1776208.0,0.9771303720473838
-+,2280570.5,0.931822270117747
-+,2936241.5,0.8865306943290701
-+,3788614.0,0.8595918203797603
-+,4896698.5,0.8393300713574369
-+,6337208.5,0.8215977811270488
-+,8209871.5,0.84424953174255
-+,10644332.5,0.8248365115803014
--,106500.0,1.1650097695353188
--,109950.0,1.15160810623892
--,114435.0,1.197206925480787
--,120265.5,1.1860583516489884
--,127845.0,1.2115350322795824
--,137698.5,1.221648397436022
--,150508.0,1.2114413244914575
--,167160.5,1.2255620602528419
--,188808.5,1.234081635591197
--,216951.0,1.2360822932885285
--,253537.0,1.2416354850913107
--,301098.0,1.2326652792826382
--,362927.5,1.2352546300536507
--,443306.0,1.2489920278770372
--,547797.5,1.2280274465041172
--,683637.0,1.2208359699116542
--,860228.5,1.2040277526046923
--,1089797.5,1.181628295063332
--,1388237.0,1.1481796372869684
--,1776208.0,1.1098936917121136
--,2280570.5,1.0342913806926337
--,2936241.5,0.958611486017394
--,3788614.0,0.9119906410966193
--,4896698.5,0.8446263302707432
--,6337208.5,0.8343636953025273
--,8209871.5,0.8382590239406172
--,10644332.5,0.8305716092545861
