orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.0267985436924694
++,114435.0,1.0285481300956683
++,120265.5,1.0459080862874564
++,127845.0,1.0310155876540759
++,137698.5,1.0438508447723305
++,150508.0,1.0386526756941343
++,167160.5,1.0461662134900098
++,188808.5,1.0336282550574207
++,216951.0,1.0332479359034508
++,253537.0,1.0200930074275123
++,301098.0,1.0238603648482096
++,362927.5,1.0156911503333008
++,443306.0,1.0056722815529222
++,547797.5,1.00233166524086
++,683637.0,1.0004898791077586
++,860228.5,1.0007465362080432
++,1089797.5,0.999685031245428
++,1388237.0,1.0000887173515305
++,1776208.0,0.9994090145374285
++,2280570.5,0.9992689027165803
++,2936241.5,0.9997098472167653
++,3788614.0,0.9998604638009727
++,4896698.5,0.9998331914839627
++,6337208.5,0.9996319983327139
++,8209871.5,0.9999592282141361
++,10644332.5,0.9998593430156566
+-,106500.0,nan
+-,109950.0,1.1249419656159596
+-,114435.0,1.172008941101665
+-,120265.5,1.155102576652007
+-,127845.0,1.169860270112146
+-,137698.5,1.1122974633540994
+-,150508.0,1.1224855233555182
+-,167160.5,1.1260465627352907
+-,188808.5,1.1047767950279934
+-,216951.0,1.0907050248700527
+-,253537.0,1.0807845930679354
+-,301098.0,1.0523255192879353
+-,362927.5,1.036280390169156
+-,443306.0,1.021768245878454
+-,547797.5,1.008311900787962
+-,683637.0,1.0066837123839194
+-,860228.5,1.0018222554597553
+-,1089797.5,1.000341351064105
+-,1388237.0,1.000196480722576
+-,1776208.0,0.9996762193332724
+-,2280570.5,0.9997409447923895
+-,2936241.5,0.9998920452044507
+-,3788614.0,0.9997224177846294
+-,4896698.5,0.9997978141917383
+-,6337208.5,0.9997218989066516
+-,8209871.5,0.9998502134540169
+-,10644332.5,0.9997859976740802
-+,106500.0,nan
-+,109950.0,0.9449014792053811
-+,114435.0,0.9533872046188426
-+,120265.5,0.9793895514390529
-+,127845.0,0.9770179836919041
-+,137698.5,0.9873369091880453
-+,150508.0,0.9862300148680658
-+,167160.5,0.9852554610737168
-+,188808.5,0.995035433003592
-+,216951.0,0.9981609932102763
-+,253537.0,0.9935106337342308
-+,301098.0,1.0000535628764227
-+,362927.5,0.9985317379078553
-+,443306.0,0.997485682556197
-+,547797.5,0.9977047587270776
-+,683637.0,0.998047979555662
-+,860228.5,0.9989417071317587
-+,1089797.5,0.9988729033272467
-+,1388237.0,0.9992816562794016
-+,1776208.0,0.9993544164117665
-+,2280570.5,0.999571184544674
-+,2936241.5,0.9995342208795082
-+,3788614.0,0.9997891348655473
-+,4896698.5,0.9995817710632385
-+,6337208.5,0.9996668431091189
-+,8209871.5,0.9997878965726577
-+,10644332.5,0.9996614928904424
--,106500.0,nan
--,109950.0,1.0278996634635298
--,114435.0,1.0322584716679135
--,120265.5,1.0310827421836275
--,127845.0,1.0204809136806885
--,137698.5,1.0649708381262515
--,150508.0,1.0366292781109263
--,167160.5,1.0407577794329845
--,188808.5,1.0433701403308788
--,216951.0,1.036203602855112
--,253537.0,1.0230950161804793
--,301098.0,1.0189429164423756
--,362927.5,1.0102107982892483
--,443306.0,1.0089703047811678
--,547797.5,1.0028316819675969
--,683637.0,1.0021172970680547
--,860228.5,1.0003924025252755
--,1089797.5,0.9995873684165516
--,1388237.0,0.9992997684257032
--,1776208.0,0.9992728253389206
--,2280570.5,0.9994717003993725
--,2936241.5,0.9995803100193038
--,3788614.0,0.999846746083747
--,4896698.5,0.9998379228316416
--,6337208.5,0.9996724408485369
--,8209871.5,0.999849618684083
--,10644332.5,0.9997157991756265
