orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.2709176500872283
++,114435.0,1.268785630951959
++,120265.5,1.2975923035736041
++,127845.0,1.243419006837815
++,137698.5,1.2574371671974256
++,150508.0,1.2236371084023094
++,167160.5,1.2620507333927267
++,188808.5,1.2066222479102926
++,216951.0,1.2078537461242793
++,253537.0,1.161178925753179
++,301098.0,1.1890276271774403
++,362927.5,1.1498251102435693
++,443306.0,1.080960307064548
++,547797.5,1.0486076296035076
++,683637.0,1.0197028567367623
++,860228.5,1.0248990562295417
++,1089797.5,0.9954075854548359
++,1388237.0,1.0058210876055584
++,1776208.0,0.9718075716732764
++,2280570.5,0.955906047042993
++,2936241.5,0.9749096054744696
++,3788614.0,0.9856599098221127
++,4896698.5,0.9780165322391811
++,6337208.5,0.9436028161116152
++,8209871.5,0.9913113833277639
++,10644332.5,0.9759329832498285
+-,106500.0,nan
+-,109950.0,1.5240447694831876
+-,114435.0,1.6465233193786117
+-,120265.5,1.5865513135586597
+-,127845.0,1.6175244094286154
+-,137698.5,1.452868041507137
+-,150508.0,1.478553436476429
+-,167160.5,1.4897564070491542
+-,188808.5,1.4362351820273505
+-,216951.0,1.4206607347927984
+-,253537.0,1.423881870998731
+-,301098.0,1.3184847864660192
+-,362927.5,1.2708008421086925
+-,443306.0,1.2043506744066637
+-,547797.5,1.107442933033215
+-,683637.0,1.1089274908245272
+-,860228.5,1.0443383418203795
+-,1089797.5,1.0143251864361325
+-,1388237.0,1.01141394899598
+-,1776208.0,0.9837957826450704
+-,2280570.5,0.9820023533723797
+-,2936241.5,0.9933070243608249
+-,3788614.0,0.975073448148261
+-,4896698.5,0.9733890261745144
+-,6337208.5,0.9596798757361644
+-,8209871.5,0.9711923528743338
+-,10644332.5,0.959491643558313
-+,106500.0,nan
-+,109950.0,1.0544884681136022
-+,114435.0,1.0703228689407747
-+,120265.5,1.1194929246091399
-+,127845.0,1.0797587501650832
-+,137698.5,1.090388056235344
-+,150508.0,1.0668687568901338
-+,167160.5,1.0426140442181493
-+,188808.5,1.064264804835375
-+,216951.0,1.0622746156202658
-+,253537.0,1.0311544672640514
-+,301098.0,1.0533333403406528
-+,362927.5,1.029254573705016
-+,443306.0,1.0127160045467818
-+,547797.5,0.9959270769412273
-+,683637.0,0.9832385773602732
-+,860228.5,0.986584781355807
-+,1089797.5,0.9711255623637757
-+,1388237.0,0.973865868937607
-+,1776208.0,0.968327496452266
-+,2280570.5,0.9742723195614101
-+,2936241.5,0.9617488525853453
-+,3788614.0,0.977183688615385
-+,4896698.5,0.9461527555901192
-+,6337208.5,0.9472263383653899
-+,8209871.5,0.9615338363190687
-+,10644332.5,0.932994394366673
--,106500.0,nan
--,109950.0,1.2770319385843603
--,114435.0,1.2829836460412145
--,120265.5,1.2529348836080312
--,127845.0,1.2083796214065115
--,137698.5,1.3241098793158845
--,150508.0,1.2312528501499491
--,167160.5,1.2317406331996457
--,188808.5,1.2448415997975795
--,216951.0,1.2204300340242669
--,253537.0,1.1775837616062188
--,301098.0,1.1534659088190127
--,362927.5,1.1096763684893691
--,443306.0,1.1107462801611485
--,547797.5,1.053598178234173
--,683637.0,1.0479972988889252
--,860228.5,1.017727966903637
--,1089797.5,0.9937766702346433
--,1388237.0,0.9762574517123584
--,1776208.0,0.9630551110119874
--,2280570.5,0.9666239614657246
--,2936241.5,0.9661202121536243
--,3788614.0,0.9828755073258689
--,4896698.5,0.9799010806134736
--,6337208.5,0.9510377031752602
--,8209871.5,0.9704349404014082
--,10644332.5,0.9443425678366744
