orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.1095568322577494
++,114435.0,1.0703836580826795
++,120265.5,1.1159504267310492
++,127845.0,1.089971283943421
++,137698.5,1.1043716893418871
++,150508.0,1.1161445824666223
++,167160.5,1.09593593923047
++,188808.5,1.0868438074143651
++,216951.0,1.05987025965401
++,253537.0,1.0743131112990965
++,301098.0,1.0565185847624416
++,362927.5,1.0594924181219454
++,443306.0,1.0490053256667538
++,547797.5,1.0406238495295836
++,683637.0,1.0561790351063496
++,860228.5,1.0112531166527567
++,1089797.5,1.029257886528772
++,1388237.0,1.034597449077257
++,1776208.0,1.0264919987836505
++,2280570.5,1.0204600479309853
++,2936241.5,1.0033162107023603
++,3788614.0,1.00821085284459
++,4896698.5,1.0008997057525826
++,6337208.5,1.0284549807349883
++,8209871.5,1.0203966630096895
++,10644332.5,0.9686528182264091
+-,106500.0,nan
+-,109950.0,1.1968831410522107
+-,114435.0,1.265854140478074
+-,120265.5,1.2236733388470569
+-,127845.0,1.2836496150803145
+-,137698.5,1.185797495874355
+-,150508.0,1.1970184745680095
+-,167160.5,1.1775384658952903
+-,188808.5,1.147972088869254
+-,216951.0,1.1440441885416042
+-,253537.0,1.1501339165092048
+-,301098.0,1.0806371955155032
+-,362927.5,1.0647162792808862
+-,443306.0,1.0484923748788564
+-,547797.5,1.0089067128101668
+-,683637.0,1.0238974591719914
+-,860228.5,1.0452224359342275
+-,1089797.5,1.0350318862766912
+-,1388237.0,0.9828490584607781
+-,1776208.0,1.0206163655524683
+-,2280570.5,1.0085226735302089
+-,2936241.5,1.0381891825897924
+-,3788614.0,0.9923423020581243
+-,4896698.5,1.0285453976884131
+-,6337208.5,1.0220969042533186
+-,8209871.5,1.0229301199290002
+-,10644332.5,1.0336837988218965
-+,106500.0,nan
-+,109950.0,1.0273891526461258
-+,114435.0,1.0089620175220058
-+,120265.5,0.997131594471355
-+,127845.0,1.0191507282800727
-+,137698.5,1.0519857393139818
-+,150508.0,1.0224876909473148
-+,167160.5,1.0198178903896826
-+,188808.5,1.0596203018983386
-+,216951.0,1.0230551504012204
-+,253537.0,1.0306395883777688
-+,301098.0,1.0421670136810564
-+,362927.5,1.0256590946290078
-+,443306.0,1.0657709272802345
-+,547797.5,1.0157978248360409
-+,683637.0,1.0560163212610032
-+,860228.5,0.9975460887128427
-+,1089797.5,1.0216280772907393
-+,1388237.0,1.0336566245075403
-+,1776208.0,1.00890332721164
-+,2280570.5,1.021208131268929
-+,2936241.5,1.001104683473803
-+,3788614.0,1.0214966021788083
-+,4896698.5,1.025188254069331
-+,6337208.5,1.0408408356470606
-+,8209871.5,1.0221587990642167
-+,10644332.5,0.9764016820558457
--,106500.0,nan
--,109950.0,1.0937434550682508
--,114435.0,1.0768165940419894
--,120265.5,1.0922314939870406
--,127845.0,1.078351450080678
--,137698.5,1.1455864871798467
--,150508.0,1.0984107083197092
--,167160.5,1.0606952074851121
--,188808.5,1.1144366815458224
--,216951.0,1.0547722394227117
--,253537.0,1.075978469834649
--,301098.0,1.0479544833265646
--,362927.5,1.0212469228441143
--,443306.0,1.035594978190848
--,547797.5,1.007824286407694
--,683637.0,1.0538131495334824
--,860228.5,1.022368434375094
--,1089797.5,1.0262286899831246
--,1388237.0,0.9912172290532851
--,1776208.0,1.013260828830315
--,2280570.5,1.0022967329363475
--,2936241.5,1.009542857697676
--,3788614.0,1.0333641698067717
--,4896698.5,1.0352303657005344
--,6337208.5,1.0222207730770203
--,8209871.5,1.0392291876211195
--,10644332.5,1.0654088777502904
