orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.041370796572782
++,114435.0,1.0375182181850762
++,120265.5,1.0565924650882383
++,127845.0,1.0401691615779927
++,137698.5,1.0524919415249199
++,150508.0,1.05164788436183
++,167160.5,1.0701036769748098
++,188808.5,1.0626849832125538
++,216951.0,1.0649086920036375
++,253537.0,1.0598292430593454
++,301098.0,1.0588389175049293
++,362927.5,1.0557346238814636
++,443306.0,1.0424197742193515
++,547797.5,1.0325190070702273
++,683637.0,1.0228603913278402
++,860228.5,1.0161961346362147
++,1089797.5,1.0084088491148075
++,1388237.0,1.004057790013539
++,1776208.0,1.0007050023202326
++,2280570.5,0.999041839162622
++,2936241.5,0.9987960722582193
++,3788614.0,0.9991494385087364
++,4896698.5,0.9992749672053356
++,6337208.5,0.9994478095977783
++,8209871.5,0.9995053815264074
++,10644332.5,0.9996007163524477
+-,106500.0,nan
+-,109950.0,1.064264906179244
+-,114435.0,1.1006516880431219
+-,120265.5,1.087801291492184
+-,127845.0,1.102709545651384
+-,137698.5,1.0962205958379219
+-,150508.0,1.1017454631882668
+-,167160.5,1.1189049950713486
+-,188808.5,1.0988388912432356
+-,216951.0,1.1089105103984802
+-,253537.0,1.1068560570774553
+-,301098.0,1.0986271634550469
+-,362927.5,1.0854014094439268
+-,443306.0,1.0730441922784013
+-,547797.5,1.057385105954403
+-,683637.0,1.0452394848922548
+-,860228.5,1.0299884140138813
+-,1089797.5,1.0171807904656929
+-,1388237.0,1.0113663938757695
+-,1776208.0,1.0036682479561085
+-,2280570.5,1.0009573708247672
+-,2936241.5,0.9995018766572479
+-,3788614.0,0.9992877180080274
+-,4896698.5,0.9993468643997825
+-,6337208.5,0.9994286652921529
+-,8209871.5,0.999579934550772
+-,10644332.5,0.9996220131559811
-+,106500.0,nan
-+,109950.0,0.9730566135012746
-+,114435.0,0.9895282594010035
-+,120265.5,1.000909921552138
-+,127845.0,1.0067555394720697
-+,137698.5,1.0081404191379484
-+,150508.0,1.0148624858316184
-+,167160.5,1.0256238250974914
-+,188808.5,1.032053393753658
-+,216951.0,1.0367018607738592
-+,253537.0,1.0289274411173979
-+,301098.0,1.0287181878321394
-+,362927.5,1.0236757111995585
-+,443306.0,1.0168252587676305
-+,547797.5,1.0136935017363458
-+,683637.0,1.0089498884947412
-+,860228.5,1.0023788158299096
-+,1089797.5,0.9998571122946691
-+,1388237.0,0.9981197465339349
-+,1776208.0,0.997422159515583
-+,2280570.5,0.9978030876602734
-+,2936241.5,0.9985628326488646
-+,3788614.0,0.9988194308349716
-+,4896698.5,0.9992528192119354
-+,6337208.5,0.9993312511013848
-+,8209871.5,0.9995536677326488
-+,10644332.5,0.9996504906684508
--,106500.0,nan
--,109950.0,1.022231236797532
--,114435.0,1.0312690025061906
--,120265.5,1.0220606353932291
--,127845.0,1.034958107249182
--,137698.5,1.082062681958407
--,150508.0,1.051329309544547
--,167160.5,1.064227467579174
--,188808.5,1.0627138185235858
--,216951.0,1.0643638165428848
--,253537.0,1.0619280011888979
--,301098.0,1.0629285813813427
--,362927.5,1.0484251980414907
--,443306.0,1.0432769642733861
--,547797.5,1.0386569268184782
--,683637.0,1.025082780481359
--,860228.5,1.0159753650412926
--,1089797.5,1.0080585879385866
--,1388237.0,1.004196987981655
--,1776208.0,1.0005673312738992
--,2280570.5,0.9992936537093965
--,2936241.5,0.9990069196239926
--,3788614.0,0.9990981175366589
--,4896698.5,0.9993210043133295
--,6337208.5,0.9994371464363992
--,8209871.5,0.9995277100860503
--,10644332.5,0.9995763891280263
