orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.2967986176060675
++,114435.0,1.2604813366669578
++,120265.5,1.29283716248126
++,127845.0,1.2276900816454759
++,137698.5,1.2329613175281402
++,150508.0,1.2131378543872686
++,167160.5,1.2558722810267269
++,188808.5,1.2284286483678266
++,216951.0,1.2363847560272676
++,253537.0,1.2246278787364635
++,301098.0,1.2339927324549111
++,362927.5,1.2373236667331922
++,443306.0,1.2004304292782588
++,547797.5,1.1783948208684902
++,683637.0,1.150931253586845
++,860228.5,1.1362040055071398
++,1089797.5,1.0996598575667609
++,1388237.0,1.0755575299816158
++,1776208.0,1.0254326569900687
++,2280570.5,0.9617414725709187
++,2936241.5,0.8994419874780515
++,3788614.0,0.8704544283020508
++,4896698.5,0.8371192002211862
++,6337208.5,0.8146891611913691
++,8209871.5,0.7857514661435234
++,10644332.5,0.8055426957409657
+-,106500.0,nan
+-,109950.0,1.340779342489126
+-,114435.0,1.4199982779806597
+-,120265.5,1.3678715187414447
+-,127845.0,1.3856083290803494
+-,137698.5,1.3465386082781468
+-,150508.0,1.3434346268876767
+-,167160.5,1.379209483214138
+-,188808.5,1.3243090204123016
+-,216951.0,1.3615548075179729
+-,253537.0,1.3695158550996402
+-,301098.0,1.354344018382931
+-,362927.5,1.3389261857199943
+-,443306.0,1.3216986226715177
+-,547797.5,1.293162646199209
+-,683637.0,1.2751598147760415
+-,860228.5,1.2330084726345176
+-,1089797.5,1.184757850668257
+-,1388237.0,1.1820298354001404
+-,1776208.0,1.0942906006017223
+-,2280570.5,1.0435528015711795
+-,2936241.5,0.9583630776047549
+-,3788614.0,0.8888404207430609
+-,4896698.5,0.856693424082646
+-,6337208.5,0.8078594508735606
+-,8209871.5,0.817364201337014
+-,10644332.5,0.8150443062659203
-+,106500.0,nan
-+,109950.0,1.1191686676876498
-+,114435.0,1.1468927254547179
-+,120265.5,1.1506083371753628
-+,127845.0,1.1367133348672496
-+,137698.5,1.1151723231563557
-+,150508.0,1.1154063659542182
-+,167160.5,1.1335103600745136
-+,188808.5,1.1434682239133107
-+,216951.0,1.15147399405166
-+,253537.0,1.125677491631281
-+,301098.0,1.1278963591660116
-+,362927.5,1.1147694598312523
-+,443306.0,1.0910864155855369
-+,547797.5,1.0855626993208434
-+,683637.0,1.0698422723249386
-+,860228.5,1.0318711750266625
-+,1089797.5,1.009952843070157
-+,1388237.0,0.9800607108932251
-+,1776208.0,0.9423067529000564
-+,2280570.5,0.9024864397197769
-+,2936241.5,0.8779167784138856
-+,3788614.0,0.8189117537868933
-+,4896698.5,0.8265933556878436
-+,6337208.5,0.7780186124290829
-+,8209871.5,0.8049531129770816
-+,10644332.5,0.8293276799025143
--,106500.0,nan
--,109950.0,1.2456330032972838
--,114435.0,1.2606760076421288
--,120265.5,1.2039454890701826
--,127845.0,1.216813001647616
--,137698.5,1.3152841674455276
--,150508.0,1.2128478512332448
--,167160.5,1.238214278681735
--,188808.5,1.2317428329316127
--,216951.0,1.2336925086602148
--,253537.0,1.2322413436186515
--,301098.0,1.2421736598239608
--,362927.5,1.2041186546906624
--,443306.0,1.2032802312805098
--,547797.5,1.2071082858568611
--,683637.0,1.1664018068038282
--,860228.5,1.1329065773084428
--,1089797.5,1.096976692626726
--,1388237.0,1.0776210419063605
--,1776208.0,1.0221889496867904
--,2280570.5,0.9700340960457243
--,2936241.5,0.9210151571192466
--,3788614.0,0.8609161885910055
--,4896698.5,0.8409517131152481
--,6337208.5,0.8106190901076521
--,8209871.5,0.7904970270704244
--,10644332.5,0.791116397412786
