orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.04759003361597
++,114435.0,1.0399813305718482
++,120265.5,1.0555634385381851
++,127845.0,1.039670504281828
++,137698.5,1.0517458581886663
++,150508.0,1.0527262928293106
++,167160.5,1.0682376361495693
++,188808.5,1.0622849046570009
++,216951.0,1.0643783938863445
++,253537.0,1.0604799983398645
++,301098.0,1.0579834850206509
++,362927.5,1.056516519813927
++,443306.0,1.042253477005421
++,547797.5,1.032668462297027
++,683637.0,1.0239612685185666
++,860228.5,1.0158355851740866
++,1089797.5,1.0081418944612188
++,1388237.0,1.0042249530939802
++,1776208.0,1.0005747241694145
++,2280570.5,0.9993270817057401
++,2936241.5,0.9988915851786545
++,3788614.0,0.99914765348489
++,4896698.5,0.9992845320457168
++,6337208.5,0.9994797060727459
++,8209871.5,0.9994859545705075
++,10644332.5,0.9996133004576555
+-,106500.0,nan
+-,109950.0,1.0644116852366394
+-,114435.0,1.1003128607014452
+-,120265.5,1.0901201934834714
+-,127845.0,1.1065857029943833
+-,137698.5,1.0962925343891543
+-,150508.0,1.101972003021277
+-,167160.5,1.1183506652194457
+-,188808.5,1.0994512989647738
+-,216951.0,1.1077082709952681
+-,253537.0,1.1085430889667491
+-,301098.0,1.0983126197770607
+-,362927.5,1.0869042854689412
+-,443306.0,1.0733063620080723
+-,547797.5,1.0568702062219701
+-,683637.0,1.0453118637080179
+-,860228.5,1.0299718383227925
+-,1089797.5,1.0169708967397066
+-,1388237.0,1.0112343760107894
+-,1776208.0,1.0036174363826944
+-,2280570.5,1.001022444251989
+-,2936241.5,0.9994507471549079
+-,3788614.0,0.9992920097689131
+-,4896698.5,0.9992751536206651
+-,6337208.5,0.9994033762055556
+-,8209871.5,0.9995760110911882
+-,10644332.5,0.9996219015525885
-+,106500.0,nan
-+,109950.0,0.970750860092611
-+,114435.0,0.9890951026974708
-+,120265.5,0.999289464452367
-+,127845.0,1.0094664962216382
-+,137698.5,1.0064214700345342
-+,150508.0,1.0151193442235473
-+,167160.5,1.0274386661359662
-+,188808.5,1.0320070133645156
-+,216951.0,1.0369027640452475
-+,253537.0,1.0294349401529752
-+,301098.0,1.027815928696726
-+,362927.5,1.0239086491686369
-+,443306.0,1.0159431413236406
-+,547797.5,1.0137203548824936
-+,683637.0,1.0091912613329024
-+,860228.5,1.0017996986412565
-+,1089797.5,0.9999911996117629
-+,1388237.0,0.9981720248633936
-+,1776208.0,0.9972379640575826
-+,2280570.5,0.9976568390800703
-+,2936241.5,0.9985273958194143
-+,3788614.0,0.998832605999999
-+,4896698.5,0.9992510815651026
-+,6337208.5,0.9993368070896994
-+,8209871.5,0.9995500441613531
-+,10644332.5,0.9996359003492942
--,106500.0,nan
--,109950.0,1.0201620903173196
--,114435.0,1.0307187722534386
--,120265.5,1.0232714241639105
--,127845.0,1.0329342677520266
--,137698.5,1.0804444155538802
--,150508.0,1.0502745262293995
--,167160.5,1.0641099278765442
--,188808.5,1.0620319459973449
--,216951.0,1.0647657985544023
--,253537.0,1.0622443886626534
--,301098.0,1.063061709881802
--,362927.5,1.0503293606067932
--,443306.0,1.0429012304937126
--,547797.5,1.039053312603144
--,683637.0,1.024519054053929
--,860228.5,1.0162741529363584
--,1089797.5,1.007685414194796
--,1388237.0,1.0044133231804848
--,1776208.0,1.0006231772171388
--,2280570.5,0.999240701128669
--,2936241.5,0.9988928374446842
--,3788614.0,0.9991558310446376
--,4896698.5,0.9992620018991422
--,6337208.5,0.9994287902113015
--,8209871.5,0.9995094964305676
--,10644332.5,0.9995864930272219
