orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.311997491584751
++,114435.0,1.2662150134895382
++,120265.5,1.2897458267871582
++,127845.0,1.2255469405852075
++,137698.5,1.2302523736911042
++,150508.0,1.2154215061251246
++,167160.5,1.2499108604116993
++,188808.5,1.226865370315467
++,216951.0,1.2336435503977192
++,253537.0,1.2264626436874273
++,301098.0,1.2312929269018422
++,362927.5,1.24040404676303
++,443306.0,1.200483727375997
++,547797.5,1.1784783747229564
++,683637.0,1.1584810553994014
++,860228.5,1.133621079803585
++,1089797.5,1.0966014315687214
++,1388237.0,1.0785371862048991
++,1776208.0,1.0230589994940102
++,2280570.5,0.9743567622987149
++,2936241.5,0.9064934196226446
++,3788614.0,0.8742858227209098
++,4896698.5,0.8406223536299501
++,6337208.5,0.8288159804218094
++,8209871.5,0.7787706540352023
++,10644332.5,0.8090999918497077
+-,106500.0,nan
+-,109950.0,1.338423984501973
+-,114435.0,1.418476260360976
+-,120265.5,1.372335879154707
+-,127845.0,1.3948096454155208
+-,137698.5,1.3464916799878952
+-,150508.0,1.3439856623214532
+-,167160.5,1.3769716406410695
+-,188808.5,1.3257238321051648
+-,216951.0,1.356497870771959
+-,253537.0,1.3746391640721347
+-,301098.0,1.3528371049328443
+-,362927.5,1.3446709174420841
+-,443306.0,1.3238329268620295
+-,547797.5,1.2897973714768982
+-,683637.0,1.2764229044724988
+-,860228.5,1.2337316859019944
+-,1089797.5,1.182703927921877
+-,1388237.0,1.1807857246244238
+-,1776208.0,1.0922321848370746
+-,2280570.5,1.0460082756805804
+-,2936241.5,0.9545127602734642
+-,3788614.0,0.8879193155768852
+-,4896698.5,0.8433255121922282
+-,6337208.5,0.7997036827946787
+-,8209871.5,0.8193243853944382
+-,10644332.5,0.8166132961827265
-+,106500.0,nan
-+,109950.0,1.1128655604091109
-+,114435.0,1.1445995622346246
-+,120265.5,1.1461122271365551
-+,127845.0,1.144525309277589
-+,137698.5,1.1102263146241746
-+,150508.0,1.116194269822833
-+,167160.5,1.1385796742424155
-+,188808.5,1.1424328130086248
-+,216951.0,1.1520266402076749
-+,253537.0,1.1272105633044531
-+,301098.0,1.1245187383139643
-+,362927.5,1.1161478180900526
-+,443306.0,1.0876770459403968
-+,547797.5,1.085324356064836
-+,683637.0,1.0714782412162325
-+,860228.5,1.0271158861757317
-+,1089797.5,1.011563374423456
-+,1388237.0,0.9809670909414634
-+,1776208.0,0.9376452662250524
-+,2280570.5,0.89503139137592
-+,2936241.5,0.876899200968589
-+,3788614.0,0.8231088934764581
-+,4896698.5,0.8287020117094517
-+,6337208.5,0.781334797103292
-+,8209871.5,0.8066509912727052
-+,10644332.5,0.8216126331560312
--,106500.0,nan
--,109950.0,1.240220612493495
--,114435.0,1.2580659354957833
--,120265.5,1.2067602507297523
--,127845.0,1.2100753101586659
--,137698.5,1.3106917125677706
--,150508.0,1.2095278814873538
--,167160.5,1.2367498795994496
--,188808.5,1.2290566983892417
--,216951.0,1.2340603431682045
--,253537.0,1.2325932668144814
--,301098.0,1.2426306995339762
--,362927.5,1.212805578470748
--,443306.0,1.202326820063795
--,547797.5,1.2090844365661226
--,683637.0,1.1628665734557249
--,860228.5,1.1354575445230652
--,1089797.5,1.0928281079900537
--,1388237.0,1.082289025298074
--,1776208.0,1.0241449591487386
--,2280570.5,0.9678320030853954
--,2936241.5,0.9134702873164791
--,3788614.0,0.8690135117585711
--,4896698.5,0.829351813703104
--,6337208.5,0.8095262930060133
--,8209871.5,0.7867041072526082
--,10644332.5,0.7936999206348788
