orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.010826143044674
++,114435.0,1.0158892097631345
++,120265.5,1.037802127562415
++,127845.0,1.0269000303230051
++,137698.5,1.0532760979572002
++,150508.0,1.048790204920531
++,167160.5,1.0523883238026515
++,188808.5,1.0436719875397504
++,216951.0,1.0482701387009732
++,253537.0,1.0407556696664064
++,301098.0,1.0385135590628227
++,362927.5,1.0297609670577215
++,443306.0,1.0206642013522618
++,547797.5,1.0115604894639127
++,683637.0,1.0060506302764471
++,860228.5,1.0022836376755355
++,1089797.5,1.000715445183609
++,1388237.0,0.9996452559101223
++,1776208.0,0.9993887883710924
++,2280570.5,0.9990655614119067
++,2936241.5,0.999492541901229
++,3788614.0,0.9993415989048063
++,4896698.5,0.9995340710987298
++,6337208.5,0.9997125713959385
++,8209871.5,0.9996772465255821
++,10644332.5,0.9996534323031482
+-,106500.0,nan
+-,109950.0,1.0724642752258173
+-,114435.0,1.1205076095855833
+-,120265.5,1.1207673538123195
+-,127845.0,1.1366789912667892
+-,137698.5,1.107731747301121
+-,150508.0,1.1224602680306712
+-,167160.5,1.1312459167043838
+-,188808.5,1.098335318049823
+-,216951.0,1.1028643174322361
+-,253537.0,1.1022633337522438
+-,301098.0,1.0770268830452752
+-,362927.5,1.0619940891588753
+-,443306.0,1.044726092130696
+-,547797.5,1.0274354783443593
+-,683637.0,1.0182031847209219
+-,860228.5,1.0087162538544552
+-,1089797.5,1.004701731103168
+-,1388237.0,1.0015516036714838
+-,1776208.0,0.9998574834688918
+-,2280570.5,0.9995445756054328
+-,2936241.5,0.9993149320237822
+-,3788614.0,0.9994435753280188
+-,4896698.5,0.9995685356675589
+-,6337208.5,0.9996718219186642
+-,8209871.5,0.9996980931312115
+-,10644332.5,0.99982519116974
-+,106500.0,nan
-+,109950.0,0.9426433939013823
-+,114435.0,0.9557966199497432
-+,120265.5,0.9785726191259886
-+,127845.0,0.9868254569770798
-+,137698.5,0.9875294013597309
-+,150508.0,0.9971479360084525
-+,167160.5,0.9988255184091058
-+,188808.5,1.0079460721398261
-+,216951.0,1.016911808870812
-+,253537.0,1.0083040753111698
-+,301098.0,1.0084726454193924
-+,362927.5,1.0053073723635049
-+,443306.0,1.0053199265546975
-+,547797.5,1.000989676061399
-+,683637.0,1.0006706989843324
-+,860228.5,0.9995434743976565
-+,1089797.5,0.9986936543665966
-+,1388237.0,0.9991477600754415
-+,1776208.0,0.9991313769936171
-+,2280570.5,0.9993735539186537
-+,2936241.5,0.999423848933102
-+,3788614.0,0.9995269724290424
-+,4896698.5,0.9996692645115581
-+,6337208.5,0.9996877964899181
-+,8209871.5,0.9997860431772213
-+,10644332.5,0.9998145484654339
--,106500.0,nan
--,109950.0,1.0235766503478567
--,114435.0,1.0425895158679992
--,120265.5,1.0280603773675339
--,127845.0,1.030595312642424
--,137698.5,1.069116695097028
--,150508.0,1.043137523074863
--,167160.5,1.0546892160643053
--,188808.5,1.0506081983354258
--,216951.0,1.055924355406426
--,253537.0,1.0401961451190989
--,301098.0,1.0372413414200305
--,362927.5,1.0263379865554538
--,443306.0,1.0215508976765346
--,547797.5,1.0131615193290846
--,683637.0,1.007031857799371
--,860228.5,1.003014788037464
--,1089797.5,1.000563506164253
--,1388237.0,0.9996975642447348
--,1776208.0,0.9997311712711625
--,2280570.5,0.9993446588616776
--,2936241.5,0.9993426228467328
--,3788614.0,0.9993293964751613
--,4896698.5,0.9997708006582606
--,6337208.5,0.9996830482469449
--,8209871.5,0.9997731937829122
--,10644332.5,0.9998284975503382
