orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.2468771660290034
++,114435.0,1.2394613439105655
++,120265.5,1.2784655624239691
++,127845.0,1.2197122634004476
++,137698.5,1.2706190596581663
++,150508.0,1.2401850032552049
++,167160.5,1.241313854001357
++,188808.5,1.2081712379603011
++,216951.0,1.2282726446092658
++,253537.0,1.2070247974797181
++,301098.0,1.2164599675424819
++,362927.5,1.1925633163121323
++,443306.0,1.163531931760875
++,547797.5,1.1169151869823468
++,683637.0,1.078035545374485
++,860228.5,1.044316354740308
++,1089797.5,1.021603199193533
++,1388237.0,0.9941513485267304
++,1776208.0,0.9776847594604909
++,2280570.5,0.9431123607449432
++,2936241.5,0.9576259956530043
++,3788614.0,0.9238980486322912
++,4896698.5,0.9348568784645888
++,6337208.5,0.9492075944687848
++,8209871.5,0.9294984720986289
++,10644332.5,0.9151638280640112
+-,106500.0,nan
+-,109950.0,1.399971859083217
+-,114435.0,1.517731288792502
+-,120265.5,1.4964643135477316
+-,127845.0,1.5205759995536765
+-,137698.5,1.4232597852845672
+-,150508.0,1.4546894415144371
+-,167160.5,1.4685397121029047
+-,188808.5,1.373403626466597
+-,216951.0,1.4109500969639153
+-,253537.0,1.4400526491478163
+-,301098.0,1.3632497888200716
+-,362927.5,1.341758459926574
+-,443306.0,1.2972891242468827
+-,547797.5,1.2354596004849263
+-,683637.0,1.1958155092698939
+-,860228.5,1.1313676208099768
+-,1089797.5,1.0995011074587269
+-,1388237.0,1.0456432193037575
+-,1776208.0,0.9964610537122093
+-,2280570.5,0.9729300440482886
+-,2936241.5,0.9445263529415957
+-,3788614.0,0.9382280037766262
+-,4896698.5,0.9394948930729504
+-,6337208.5,0.9417565990372062
+-,8209871.5,0.9340115202261045
+-,10644332.5,0.9574722952029244
-+,106500.0,nan
-+,109950.0,1.057486275657535
-+,114435.0,1.0729876724170717
-+,120265.5,1.1129492781817552
-+,127845.0,1.104900728409814
-+,137698.5,1.0761408362306246
-+,150508.0,1.0825068825158857
-+,167160.5,1.0743306957213805
-+,188808.5,1.0894597424189287
-+,216951.0,1.1181348316314168
-+,253537.0,1.076338196280087
-+,301098.0,1.0767242639274885
-+,362927.5,1.0610019870762253
-+,443306.0,1.0627569787460944
-+,547797.5,1.0310181190071612
-+,683637.0,1.0247491259224932
-+,860228.5,1.0064774231999756
-+,1089797.5,0.9803436697971168
-+,1388237.0,0.9814207599926178
-+,1776208.0,0.9652518899884771
-+,2280570.5,0.9596088519067354
-+,2936241.5,0.9515489011300678
-+,3788614.0,0.9466121197476804
-+,4896698.5,0.9538626820830849
-+,6337208.5,0.9458219474598568
-+,8209871.5,0.9524568830853901
-+,10644332.5,0.9544105708857217
--,106500.0,nan
--,109950.0,1.2765267833442877
--,114435.0,1.3218001278336222
--,120265.5,1.248614338374615
--,127845.0,1.2331645840064307
--,137698.5,1.3202749834320588
--,150508.0,1.225124574560794
--,167160.5,1.2492011333888882
--,188808.5,1.2353255778159016
--,216951.0,1.2565295595274089
--,253537.0,1.2069112461582396
--,301098.0,1.202607175952181
--,362927.5,1.168117272409076
--,443306.0,1.163242755963929
--,547797.5,1.1279840485203332
--,683637.0,1.0903906322062071
--,860228.5,1.055249645208543
--,1089797.5,1.0174094213645946
--,1388237.0,0.9939297964100119
--,1776208.0,0.9911376836765707
--,2280570.5,0.9597879014681352
--,2936241.5,0.9446708947740627
--,3788614.0,0.9265550194929291
--,4896698.5,0.9674842022425264
--,6337208.5,0.9472826149534225
--,8209871.5,0.9468887015247868
--,10644332.5,0.9542658766521228
