orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.0126130612154451
++,114435.0,1.0191481564227975
++,120265.5,1.0409800557985733
++,127845.0,1.0268456985678962
++,137698.5,1.0491398519821051
++,150508.0,1.0409760433585995
++,167160.5,1.0520999416964072
++,188808.5,1.0397106936957181
++,216951.0,1.0455672325961172
++,253537.0,1.0388139736303592
++,301098.0,1.0368000632256564
++,362927.5,1.0291226942191254
++,443306.0,1.0209325255367536
++,547797.5,1.0132487209946353
++,683637.0,1.0061107084766823
++,860228.5,1.00190353215495
++,1089797.5,1.0011495308530125
++,1388237.0,0.9992476684487471
++,1776208.0,0.9995551794436583
++,2280570.5,0.9988657134153911
++,2936241.5,0.999679991078787
++,3788614.0,0.9994295807114566
++,4896698.5,0.9997141481029044
++,6337208.5,0.9997045497347716
++,8209871.5,0.9996827405618333
++,10644332.5,0.9996198839633695
+-,106500.0,nan
+-,109950.0,1.0667631214328925
+-,114435.0,1.1256402551706963
+-,120265.5,1.1268012153631384
+-,127845.0,1.1399807399075468
+-,137698.5,1.1080265671097693
+-,150508.0,1.1275466936944698
+-,167160.5,1.1362501589254264
+-,188808.5,1.095963249658932
+-,216951.0,1.0982591382564948
+-,253537.0,1.1019146524253878
+-,301098.0,1.0757587988276136
+-,362927.5,1.0621415882742058
+-,443306.0,1.0451865635978055
+-,547797.5,1.0279339737476438
+-,683637.0,1.0178873161850375
+-,860228.5,1.0090968569393386
+-,1089797.5,1.0044253262884457
+-,1388237.0,1.0011216645332326
+-,1776208.0,1.000126883548219
+-,2280570.5,0.9991244121875837
+-,2936241.5,0.9994693763532922
+-,3788614.0,0.9994138210046615
+-,4896698.5,0.9996942377422707
+-,6337208.5,0.9997030005172413
+-,8209871.5,0.9996313017088709
+-,10644332.5,0.9997172595475916
-+,106500.0,nan
-+,109950.0,0.9507788608411065
-+,114435.0,0.9546685508150422
-+,120265.5,0.9791657088099821
-+,127845.0,0.9827934897637705
-+,137698.5,0.9885536574486808
-+,150508.0,0.9929412005877835
-+,167160.5,0.9960114593060893
-+,188808.5,1.0065171203811025
-+,216951.0,1.0168780610227774
-+,253537.0,1.009877970432623
-+,301098.0,1.0066973018992063
-+,362927.5,1.0040424619889763
-+,443306.0,1.0050807918075897
-+,547797.5,1.0018998455598573
-+,683637.0,1.001634505260601
-+,860228.5,0.9989040722006853
-+,1089797.5,0.9988503506584367
-+,1388237.0,0.9992827494591876
-+,1776208.0,0.9994651675330981
-+,2280570.5,0.9991383805645702
-+,2936241.5,0.999375732652751
-+,3788614.0,0.9994019580422663
-+,4896698.5,0.9998514995441709
-+,6337208.5,0.999649468400948
-+,8209871.5,0.9998536940498661
-+,10644332.5,0.9998374127446563
--,106500.0,nan
--,109950.0,1.0211004926989056
--,114435.0,1.0401694004199271
--,120265.5,1.025057261175984
--,127845.0,1.0295082851764745
--,137698.5,1.0711516079609555
--,150508.0,1.0453184542737024
--,167160.5,1.05288535982396
--,188808.5,1.050131777581641
--,216951.0,1.055464401445097
--,253537.0,1.0391373987656816
--,301098.0,1.0354876559011676
--,362927.5,1.0281581551808847
--,443306.0,1.0217626762445335
--,547797.5,1.0143633489060746
--,683637.0,1.009131025681661
--,860228.5,1.0025022586922545
--,1089797.5,1.0003292359030054
--,1388237.0,0.9996043448597497
--,1776208.0,1.0002126374130376
--,2280570.5,0.9994906851463651
--,2936241.5,0.9994687465978771
--,3788614.0,0.9992809778813967
--,4896698.5,0.999833702763361
--,6337208.5,0.9996652649471301
--,8209871.5,0.9997693667604475
--,10644332.5,1.0000324836537233
