orientation,dist,peak_score
++,106500.0,nan
++,109950.0,0.9212911496322271
++,114435.0,0.931098133800129
++,120265.5,0.937203203530542
++,127845.0,0.9483357084909961
++,137698.5,0.9666521810686854
++,150508.0,0.9782473801965824
++,167160.5,0.9858466486385538
++,188808.5,0.9924421068309045
++,216951.0,0.9950344169248282
++,253537.0,1.0005140650646946
++,301098.0,1.0024501555480678
++,362927.5,1.0040255502809141
++,443306.0,1.001912961130989
++,547797.5,1.0020307806547435
++,683637.0,1.0014812743691515
++,860228.5,1.0017633360775926
++,1089797.5,1.0023915977243862
++,1388237.0,1.0014625338527758
++,1776208.0,1.0009632544743798
++,2280570.5,1.0006892854469391
++,2936241.5,1.0009031166882045
++,3788614.0,1.0003465232328128
++,4896698.5,1.000256381902459
++,6337208.5,1.0000843551486862
++,8209871.5,1.0003656338726425
++,10644332.5,1.000206733216688
+-,106500.0,nan
+-,109950.0,0.9306539952952302
+-,114435.0,0.9361924399303181
+-,120265.5,0.9420411106196263
+-,127845.0,0.9628390912576947
+-,137698.5,0.9717198268211656
+-,150508.0,0.9792556948224405
+-,167160.5,0.9910355491906508
+-,188808.5,0.9933703254555879
+-,216951.0,1.0006772682811964
+-,253537.0,1.0027751037672004
+-,301098.0,1.0018183035353834
+-,362927.5,1.007340284498986
+-,443306.0,1.0044290411907895
+-,547797.5,1.0029227229288664
+-,683637.0,1.0028035487514468
+-,860228.5,1.0025224381522122
+-,1089797.5,1.0022652788030266
+-,1388237.0,1.0014932051335115
+-,1776208.0,1.0012507145215719
+-,2280570.5,1.0009444614777308
+-,2936241.5,1.000821737299619
+-,3788614.0,1.0003692740200374
+-,4896698.5,1.0004172053106593
+-,6337208.5,1.0002554529582115
+-,8209871.5,1.0002428352229933
+-,10644332.5,1.0002602157190557
-+,106500.0,nan
-+,109950.0,0.923048015862965
-+,114435.0,0.9165995158053377
-+,120265.5,0.9383376659616555
-+,127845.0,0.9462249139817568
-+,137698.5,0.9620292900465857
-+,150508.0,0.9751887382774899
-+,167160.5,0.9854751904997574
-+,188808.5,0.9886127992984935
-+,216951.0,0.9962706380448934
-+,253537.0,0.9991474260290163
-+,301098.0,1.0019930730537077
-+,362927.5,1.0023023473858426
-+,443306.0,1.0026701618852156
-+,547797.5,1.0017356066219312
-+,683637.0,1.0011787212172687
-+,860228.5,1.0019339767604594
-+,1089797.5,1.0011490877694595
-+,1388237.0,1.0011550757208534
-+,1776208.0,1.0013241588942783
-+,2280570.5,1.0006876581518174
-+,2936241.5,1.000793751589015
-+,3788614.0,1.0003574759769052
-+,4896698.5,1.0004064061008118
-+,6337208.5,1.0001089920986648
-+,8209871.5,1.000238711144985
-+,10644332.5,1.000228222361855
--,106500.0,nan
--,109950.0,0.9093772406535976
--,114435.0,0.9225974668553546
--,120265.5,0.9397745574464522
--,127845.0,0.952775135729494
--,137698.5,0.9668252218432907
--,150508.0,0.9787416809098617
--,167160.5,0.9868406507027302
--,188808.5,0.9930432240956869
--,216951.0,0.9986507423186914
--,253537.0,0.9987140542004639
--,301098.0,1.0024327066926406
--,362927.5,1.003076379340665
--,443306.0,1.0039631099692659
--,547797.5,1.002291537466577
--,683637.0,1.0028639679385718
--,860228.5,1.0023623503602166
--,1089797.5,1.0015273274584855
--,1388237.0,1.0016184954584875
--,1776208.0,1.0011268097330814
--,2280570.5,1.0006539980014721
--,2936241.5,1.000392557861448
--,3788614.0,1.0003435601492763
--,4896698.5,1.0005218967176175
--,6337208.5,1.000158563860652
--,8209871.5,1.00011179261529
--,10644332.5,1.0002132695275985
