orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.0297540227873696
++,114435.0,1.0475305438794857
++,120265.5,1.0241081500398004
++,127845.0,1.017737768864341
++,137698.5,1.0448597566147122
++,150508.0,1.0486975064136144
++,167160.5,1.0452847075413385
++,188808.5,1.045206801343431
++,216951.0,1.0323640502316098
++,253537.0,1.0484822595413468
++,301098.0,1.0525007744640344
++,362927.5,1.064914772823243
++,443306.0,1.0345803756352956
++,547797.5,1.0372077437825786
++,683637.0,1.0297662991660088
++,860228.5,1.0375771877441051
++,1089797.5,1.0572738944751536
++,1388237.0,1.041347539819279
++,1776208.0,1.0344536722377224
++,2280570.5,1.0298699880137008
++,2936241.5,1.051642899633964
++,3788614.0,1.0270802638418768
++,4896698.5,1.0227679668514231
++,6337208.5,1.0094157992544717
++,8209871.5,1.050214751875489
++,10644332.5,1.0329130142612697
+-,106500.0,nan
+-,109950.0,1.0628692502313746
+-,114435.0,1.0695632401585433
+-,120265.5,1.048195535552877
+-,127845.0,1.0925911367851548
+-,137698.5,1.0707662313393036
+-,150508.0,1.0538211967632838
+-,167160.5,1.0717931732543844
+-,188808.5,1.0457516216554494
+-,216951.0,1.0687289508781268
+-,253537.0,1.0655884587812825
+-,301098.0,1.0449461346749676
+-,362927.5,1.0981165590509256
+-,443306.0,1.0625020401997527
+-,547797.5,1.049046031374108
+-,683637.0,1.0501576828967543
+-,860228.5,1.0503083401348428
+-,1089797.5,1.05375640261339
+-,1388237.0,1.0417061026821752
+-,1776208.0,1.0439241716814067
+-,2280570.5,1.04096833183417
+-,2936241.5,1.046834388112334
+-,3788614.0,1.0247393035671273
+-,4896698.5,1.0387290381509
+-,6337208.5,1.0286666915401412
+-,8209871.5,1.0324242082224946
+-,10644332.5,1.0417925195647841
-+,106500.0,nan
-+,109950.0,1.0347641132321654
-+,114435.0,0.9853659364299365
-+,120265.5,1.0335569737347516
-+,127845.0,1.007803727347942
-+,137698.5,1.022658103234321
-+,150508.0,1.037496685275403
-+,167160.5,1.0470810119737932
-+,188808.5,1.0183435306321886
-+,216951.0,1.039639862751602
-+,253537.0,1.036916062636424
-+,301098.0,1.0484118203984578
-+,362927.5,1.0476028622870495
-+,443306.0,1.0441703790036132
-+,547797.5,1.0340513814424641
-+,683637.0,1.0246822382882619
-+,860228.5,1.0415693887174613
-+,1089797.5,1.0290235009189683
-+,1388237.0,1.0348085501081927
-+,1776208.0,1.0493060475042268
-+,2280570.5,1.0312713254434045
-+,2936241.5,1.0449474217901615
-+,3788614.0,1.0279859360990458
-+,4896698.5,1.0385321628583133
-+,6337208.5,1.0119787270459044
-+,8209871.5,1.0333428311122446
-+,10644332.5,1.0351433046091971
--,106500.0,nan
--,109950.0,0.9794442462090595
--,114435.0,1.015044928107582
--,120265.5,1.037312762066001
--,127845.0,1.0451881176001176
--,137698.5,1.0465159480007924
--,150508.0,1.0535616314009064
--,167160.5,1.0513346220322588
--,188808.5,1.0476732005279468
--,216951.0,1.0572169459595098
--,253537.0,1.0363279198348967
--,301098.0,1.0522091745809963
--,362927.5,1.0551402516011548
--,443306.0,1.0610721753022947
--,547797.5,1.041348529280643
--,683637.0,1.051943465876086
--,860228.5,1.0483438022470315
--,1089797.5,1.0372726609221692
--,1388237.0,1.0480201324469067
--,1776208.0,1.0425744485811306
--,2280570.5,1.0304734987641149
--,2936241.5,1.0220860450364189
--,3788614.0,1.0245818845812182
--,4896698.5,1.0484115598844572
--,6337208.5,1.0175378306260603
--,8209871.5,1.0136281363131674
--,10644332.5,1.0348368357492848
