orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.036756460467514
++,114435.0,1.0422478760382048
++,120265.5,1.0431343603659435
++,127845.0,1.032971252487251
++,137698.5,1.0529504693766025
++,150508.0,1.048212143123985
++,167160.5,1.0608354682494157
++,188808.5,1.0524439922561095
++,216951.0,1.0233720189361872
++,253537.0,1.050060224771176
++,301098.0,1.0435019499848561
++,362927.5,1.0580275341540597
++,443306.0,1.0305444750966055
++,547797.5,1.0410344340743607
++,683637.0,1.030410261315422
++,860228.5,1.035586141703533
++,1089797.5,1.0461659461289636
++,1388237.0,1.0445886997606808
++,1776208.0,1.0284156526543158
++,2280570.5,1.0256857366980296
++,2936241.5,1.0599990695693917
++,3788614.0,1.0129612765369234
++,4896698.5,1.0172186517498316
++,6337208.5,1.0256963274462558
++,8209871.5,1.0474115306309801
++,10644332.5,1.0298110839189594
+-,106500.0,nan
+-,109950.0,1.060508219078912
+-,114435.0,1.0774108204116213
+-,120265.5,1.0309190848681047
+-,127845.0,1.0847871577653174
+-,137698.5,1.0744634632057444
+-,150508.0,1.0532526526840424
+-,167160.5,1.0766721696672406
+-,188808.5,1.0269058556445017
+-,216951.0,1.0583616014129427
+-,253537.0,1.0554335776497863
+-,301098.0,1.0390548781781408
+-,362927.5,1.0967444400601019
+-,443306.0,1.0658344627544973
+-,547797.5,1.0529247842926674
+-,683637.0,1.0548241235358187
+-,860228.5,1.0465597267525562
+-,1089797.5,1.047971957628852
+-,1388237.0,1.0467946929711198
+-,1776208.0,1.0324795979317063
+-,2280570.5,1.037908597094857
+-,2936241.5,1.0556284304332557
+-,3788614.0,1.0143828028262005
+-,4896698.5,1.0226543082569677
+-,6337208.5,1.0352804861286196
+-,8209871.5,1.0544535034342977
+-,10644332.5,1.0445053674633946
-+,106500.0,nan
-+,109950.0,1.0504726013589423
-+,114435.0,1.0100333260759184
-+,120265.5,1.050451600128817
-+,127845.0,1.0149053990113854
-+,137698.5,1.0296668359102772
-+,150508.0,1.0416201691119087
-+,167160.5,1.0454142364303567
-+,188808.5,1.0274268227937124
-+,216951.0,1.0361957684184087
-+,253537.0,1.0370184660998296
-+,301098.0,1.0477357290602978
-+,362927.5,1.0536435087769191
-+,443306.0,1.0414017470696417
-+,547797.5,1.0417879419233909
-+,683637.0,1.0303307551862757
-+,860228.5,1.041544508173409
-+,1089797.5,1.0372388512648318
-+,1388237.0,1.0440925036315076
-+,1776208.0,1.0483045971768954
-+,2280570.5,1.0285344115896677
-+,2936241.5,1.058769705481593
-+,3788614.0,1.0256580013523282
-+,4896698.5,1.0314132059430747
-+,6337208.5,1.0447716713980963
-+,8209871.5,1.024681116450119
-+,10644332.5,1.037076145254953
--,106500.0,nan
--,109950.0,0.9931481631433635
--,114435.0,1.0224608429137712
--,120265.5,1.0312040404886642
--,127845.0,1.0560457163294217
--,137698.5,1.0362089457611523
--,150508.0,1.0706127660954323
--,167160.5,1.051272974789161
--,188808.5,1.0254530285805459
--,216951.0,1.0450738521886402
--,253537.0,1.0371830074111519
--,301098.0,1.0581328347669077
--,362927.5,1.0589070835229861
--,443306.0,1.071442941803655
--,547797.5,1.03944881238724
--,683637.0,1.0567150617072496
--,860228.5,1.044610914467053
--,1089797.5,1.0353934334493538
--,1388237.0,1.0658741683775683
--,1776208.0,1.0441041746667823
--,2280570.5,1.0283448411681548
--,2936241.5,1.0299502557318574
--,3788614.0,1.022926507051447
--,4896698.5,1.0394418258285785
--,6337208.5,1.0287145722307902
--,8209871.5,1.0365012682524082
--,10644332.5,1.0528627081607873
